"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"77",7,"Jordan Addison",MIN,"135.1","0","0","42","610","3","2","81","1"
"78",7,"Derrick Henry",BAL,"279.5","0","0","15","150","0","307","1595","16"
"79",7,"DJ Moore",BUF,"170.2","0","0","50","682","6","15","79","1"
"80",7,"DK Metcalf",PIT,"187.2","0","0","59","850","6","2","12","1"
"81",7,"Terry McLaurin",WAS,"114.2","0","0","38","582","3","0","0","0"
"82",7,"Jordan Love",GB,"241.1","3381","23","0","0","0","47","199","0"
"83",7,"Omar Cooper Jr.",NYJ,"0","0","0","0","0","0","0","0","0"
"84",7,"Michael Wilson",ARI,"220.6","0","0","78","1006","7","0","0","0"
"85",7,"Bhayshul Tuten",JAC,"88.6","0","0","10","79","2","83","307","5"
"86",7,"Dak Prescott",DAL,"323.8","4552","30","0","0","0","53","177","2"
"87",7,"D'Andre Swift",CHI,"228.6","0","0","34","299","1","223","1087","9"
"88",7,"Ricky Pearsall",SF,"88.6","0","0","36","528","0","2","-2","0"
"89",7,"Eli Stowers",PHI,"0","0","0","0","0","0","0","0","0"
"90",7,"Denzel Boston",CLE,"0","0","0","0","0","0","0","0","0"
"91",7,"Wan'Dale Robinson",TEN,"217.9","0","0","92","1014","4","3","5","0"
"92",7,"Oronde Gadsden II",LAC,"131.4","0","0","49","664","3","0","0","0"
"93",7,"RJ Harvey",DEN,"206.6","0","0","47","356","5","146","540","7"
"94",8,"Courtland Sutton",DEN,"219.7","0","0","74","1017","7","0","0","0"
"95",8,"Davante Adams",LAR,"222.9","0","0","60","789","14","0","0","0"
"96",8,"Fernando Mendoza",LV,"0","0","0","0","0","0","0","0","0"
"97",8,"Jayden Higgins",HOU,"129.5","0","0","41","525","6","0","0","0"
"98",8,"Mike Evans",SF,"84.8","0","0","30","368","3","0","0","0"
"99",8,"George Kittle",SF,"161.5","0","0","57","628","7","1","-3","0"
"100",8,"Jake Ferguson",DAL,"188.1","0","0","82","600","8","1","1","0"
"101",8,"Dalton Kincaid",BUF,"126.1","0","0","39","571","5","0","0","0"
"102",8,"Parker Washington",JAC,"184.7","0","0","58","847","5","7","0","0"
"103",8,"Xavier Worthy",KC,"109.9","0","0","42","532","1","11","87","0"
"104",8,"Michael Pittman Jr.",PIT,"202.4","0","0","80","784","7","0","0","0"
"105",8,"Isaiah Likely",NYG,"61.7","0","0","27","307","1","0","0","0"
"106",8,"Jakobi Meyers",JAC,"175.8","0","0","75","835","3","5","13","0"
"107",8,"Matthew Golden",GB,"70","0","0","29","361","0","10","49","0"
"108",8,"David Montgomery",HOU,"166.9","0","0","24","192","0","158","716","8"
"109",8,"Jared Goff",DET,"305.1","4564","34","0","0","0","19","45","0"
"110",8,"Josh Downs",IND,"136.4","0","0","58","566","4","2","-2","0"
"111",8,"Baker Mayfield",TB,"282.9","3693","26","0","0","0","55","382","1"
"112",8,"Zach Charbonnet",SEA,"181.4","0","0","20","144","0","184","730","12"
"113",8,"Cam Ward",TEN,"193.7","3169","15","0","0","0","39","159","2"
"114",8,"Kyle Monangai",CHI,"146.7","0","0","18","164","0","169","783","5"
"115",8,"Jayden Reed",GB,"48.5","0","0","19","207","1","3","28","0"
"116",8,"Jaylen Warren",PIT,"217.1","0","0","40","333","2","211","958","6"
"117",8,"C.J. Stroud",HOU,"216.5","3041","19","0","0","0","48","209","1"
"118",8,"Chris Godwin Jr.",TB,"83","0","0","33","360","2","0","0","0"
"119",8,"Quentin Johnston",LAC,"171.2","0","0","51","735","8","2","7","0"
"120",8,"Brenton Strange",JAC,"118","0","0","46","540","3","0","0","0"
"121",8,"Tyler Shough",NO,"164","2384","10","0","0","0","45","186","3"
"122",8,"Kyler Murray",MIN,"80.8","962","6","0","0","0","29","173","1"
"123",8,"Romeo Doubs",NE,"165.4","0","0","55","724","6","0","0","0"
"124",8,"Khalil Shakir",BUF,"166.4","0","0","72","719","4","1","5","0"
"125",8,"Rhamondre Stevenson",NE,"178.8","0","0","32","345","2","130","603","7"
"126",8,"Travis Hunter",JAC,"63.8","0","0","28","298","1","1","0","0"
"127",8,"Sam Darnold",SEA,"249.4","4048","25","0","0","0","35","95","0"
"128",8,"Rico Dowdle",PIT,"216.3","0","0","39","297","1","236","1076","6"
"129",8,"Jonah Coleman",DEN,"0","0","0","0","0","0","0","0","0"
"130",8,"Blake Corum",LAR,"122.2","0","0","8","36","0","145","746","6"
"131",8,"Chuba Hubbard",CAR,"125.4","0","0","30","223","3","134","511","1"
"132",9,"Antonio Williams",WAS,"0","0","0","0","0","0","0","0","0"
"133",9,"Malik Willis",MIA,"51.2","422","3","0","0","0","22","123","2"
"134",9,"Tony Pollard",TEN,"185.8","0","0","33","206","0","242","1082","5"
"135",9,"Daniel Jones",IND,"234.4","3101","19","0","0","0","45","164","5"
"136",9,"Jalen Coker",CAR,"90.4","0","0","33","394","3","0","0","0"
"137",9,"Bryce Young",CAR,"229","3011","23","0","0","0","54","216","2"
"138",9,"Kenneth Gainwell",TB,"221.3","0","0","73","486","3","114","537","5"
"139",9,"Mark Andrews",BAL,"131","0","0","48","422","5","10","48","1"
"140",9,"Dallas Goedert",PHI,"185.1","0","0","60","591","11","0","0","0"
"141",9,"Germie Bernard",PIT,"0","0","0","0","0","0","0","0","0"
"142",9,"Chris Bell",MIA,"0","0","0","0","0","0","0","0","0"
"143",9,"AJ Barner",SEA,"147.3","0","0","52","519","6","10","14","1"
"144",9,"Tyler Allgeier",ARI,"123","0","0","14","96","0","143","514","8"
"145",9,"Terrance Ferguson",LAR,"52.1","0","0","11","231","3","1","0","0"
"146",9,"Ted Hurst III",TB,"0","0","0","0","0","0","0","0","0"
"147",9,"J.K. Dobbins",DEN,"115.9","0","0","11","37","0","153","772","4"
"148",9,"Matthew Stafford",LAR,"358.4","4707","46","0","0","0","29","1","0"
"149",9,"Tyrone Tracy Jr.",NYG,"160.8","0","0","36","288","2","176","740","2"
"150",9,"Chig Okonkwo",WAS,"124","0","0","56","560","2","0","0","0"
"151",9,"Woody Marks",HOU,"151.1","0","0","24","208","3","196","703","2"
"152",9,"Jacory Croskey-Merritt",WAS,"140.3","0","0","9","68","0","175","805","8"
"153",9,"Jonathon Brooks",CAR,"0","0","0","0","0","0","0","0","0"
"154",9,"Tre' Harris",LAC,"69.4","0","0","30","324","1","2","10","0"
"155",9,"De'Zhaun Stribling",SF,"0","0","0","0","0","0","0","0","0"
"156",9,"Nicholas Singleton",TEN,"0","0","0","0","0","0","0","0","0"
"157",9,"Ty Simpson",LAR,"0","0","0","0","0","0","0","0","0"
"158",9,"Jalen McMillan",TB,"29.9","0","0","12","178","0","1","1","0"
"159",9,"Rashid Shaheed",SEA,"156.6","0","0","59","687","2","9","69","0"
"160",9,"Jauan Jennings",MIN,"173.3","0","0","55","643","9","0","0","0"
"161",9,"Rachaad White",WAS,"143","0","0","40","218","0","132","572","4"
"162",9,"Travis Kelce",KC,"193.2","0","0","76","851","5","1","1","0"
"163",10,"Brandon Aiyuk",SF,"0","0","0","0","0","0","0","0","0"
"164",10,"Juwan Johnson",NO,"179.9","0","0","77","889","3","0","0","0"
"165",10,"Emmett Johnson",KC,"0","0","0","0","0","0","0","0","0"
"166",10,"Jordan Mason",MIN,"128.9","0","0","14","51","0","159","758","6"
"167",10,"Max Klare",LAR,"0","0","0","0","0","0","0","0","0"
"168",10,"T.J. Hockenson",MIN,"112.8","0","0","51","438","3","1","0","0"
"169",10,"Chris Rodriguez Jr.",JAC,"92","0","0","3","30","0","112","500","6"
"170",10,"Dylan Sampson",CLE,"87.6","0","0","33","271","2","65","175","0"
"171",10,"Elijah Sarratt",BAL,"0","0","0","0","0","0","0","0","0"
"172",10,"Hunter Henry",NE,"178.8","0","0","60","768","7","0","0","0"
"173",10,"Michael Penix Jr.",ATL,"123.3","1982","9","0","0","0","21","70","1"
"174",10,"Oscar Delp",NO,"0","0","0","0","0","0","0","0","0"
"175",10,"Jaylin Noel",HOU,"68.4","0","0","26","292","2","6","12","0"
"176",10,"Mason Taylor",NYJ,"88.9","0","0","44","369","1","0","0","0"
"177",10,"Tyjae Spears",TEN,"111.7","0","0","45","264","0","72","283","2"
"178",10,"Mike Washington Jr.",LV,"0","0","0","0","0","0","0","0","0"
"179",10,"Kaytron Allen",WAS,"0","0","0","0","0","0","0","0","0"
"180",10,"Gunnar Helm",TEN,"91.7","0","0","44","357","2","0","0","0"
"181",10,"Zachariah Branch",ATL,"0","0","0","0","0","0","0","0","0"
"182",10,"Aaron Jones Sr.",MIN,"118.7","0","0","28","199","1","132","548","2"
"183",10,"Stefon Diggs",FA,"210.3","0","0","85","1013","4","0","0","0"
"184",10,"Isiah Pacheco",DET,"87.3","0","0","19","101","1","118","462","1"
"185",10,"Jerry Jeudy",CLE,"120.7","0","0","50","602","2","1","5","0"
"186",10,"Troy Franklin",DEN,"177.1","0","0","65","709","6","5","12","0"
"187",10,"Malachi Fields",NYG,"0","0","0","0","0","0","0","0","0"
"188",10,"Braelon Allen",NYJ,"15.3","0","0","2","17","0","18","76","1"
"189",10,"Dalton Schultz",HOU,"177.7","0","0","82","777","3","0","0","0"
"190",10,"Pat Bryant",DEN,"74.8","0","0","31","378","1","0","0","0"
"191",10,"J.J. McCarthy",MIN,"137.4","1632","11","0","0","0","37","181","4"
"192",10,"Chris Brazzell II",CAR,"0","0","0","0","0","0","0","0","0"
"193",10,"Kayshon Boutte",NE,"124.1","0","0","33","551","6","0","0","0"
"194",10,"Adonai Mitchell",NYJ,"87.9","0","0","33","453","2","1","-4","0"
"195",10,"Tank Bigsby",PHI,"53.8","0","0","3","32","0","63","356","2"
"196",10,"Brian Robinson Jr.",ATL,"62.5","0","0","8","25","0","92","400","2"
"197",10,"David Njoku",LAC,"86.3","0","0","33","293","4","0","0","0"
"198",10,"Chimere Dike",TEN,"126.1","0","0","48","423","4","11","18","0"
"199",10,"Skyler Bell",BUF,"0","0","0","0","0","0","0","0","0"
