"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"340",13,"Tyson Bagent",CHI,"2.6","47","0","0","0","0","2","7","0"
"341",13,"Buffalo Bills",BUF,"110","0","0","0","0","0","0","0","0"
"342",13,"Devin Singletary",NYG,"108.8","0","0","18","151","0","119","437","5"
"343",13,"Luke McCaffrey",WAS,"51.3","0","0","11","203","3","0","0","0"
"344",13,"Marlin Klein",HOU,"0","0","0","0","0","0","0","0","0"
"345",13,"New England Patriots",NE,"127","0","0","0","0","0","0","0","0"
"346",13,"Justice Hill",BAL,"65.2","0","0","21","169","1","18","93","2"
"347",13,"Michael Trigg",DAL,"0","0","0","0","0","0","0","0","0"
"348",13,"Tanner McKee",PHI,"14.8","274","1","0","0","0","8","8","0"
"349",13,"Joshua Palmer",BUF,"52.3","0","0","22","303","0","0","0","0"
"350",13,"Jalen Tolbert",MIA,"46.3","0","0","18","203","1","0","0","0"
"351",13,"Roman Hemby",LV,"0","0","0","0","0","0","0","0","0"
"352",14,"Cleveland Browns",CLE,"133","0","0","0","0","0","0","0","0"
"353",14,"Joe Mixon",FA,"0","0","0","0","0","0","0","0","0"
"354",14,"Savion Williams",GB,"25.5","0","0","10","78","1","11","37","0"
"355",14,"Los Angeles Chargers",LAC,"111","0","0","0","0","0","0","0","0"
"356",14,"Spencer Rattler",NO,"104.1","1586","8","0","0","0","31","167","0"
"357",14,"CJ Daniels",LAR,"0","0","0","0","0","0","0","0","0"
"358",14,"Chicago Bears",CHI,"115","0","0","0","0","0","0","0","0"
"359",14,"Jake Elliott",PHI,"116","0","0","0","0","0","0","0","0"
"360",14,"Jam Miller",NE,"0","0","0","0","0","0","0","0","0"
"361",14,"Riley Leonard",IND,"32","415","2","0","0","0","6","27","2"
"362",14,"John Metchie III",CAR,"71.9","0","0","33","274","2","3","-5","0"
"363",14,"Joe Milton III",DAL,"12.3","183","1","0","0","0","5","50","0"
"364",14,"San Francisco 49ers",SF,"78","0","0","0","0","0","0","0","0"
"365",14,"Jaylin Lane",WAS,"49.2","0","0","16","225","0","1","7","0"
"366",14,"Cyrus Allen",KC,"0","0","0","0","0","0","0","0","0"
"367",14,"Blake Grupe",IND,"129","0","0","0","0","0","0","0","0"
"368",14,"Daniel Carlson",LV,"103","0","0","0","0","0","0","0","0"
"369",14,"Davis Mills",HOU,"69.6","915","5","0","0","0","13","60","1"
"370",14,"New Orleans Saints",NO,"118","0","0","0","0","0","0","0","0"
"371",14,"Jordan Whittington",LAR,"36.3","0","0","18","171","0","3","12","0"
"372",14,"Dawson Knox",BUF,"103.7","0","0","36","417","4","0","0","0"
"373",14,"Raheim Sanders",CLE,"20.3","0","0","3","21","0","27","92","1"
"374",14,"Dallas Cowboys",DAL,"59","0","0","0","0","0","0","0","0"
"375",14,"Washington Commanders",WAS,"76","0","0","0","0","0","0","0","0"
"376",14,"Calvin Austin III",NYG,"86.2","0","0","31","372","3","0","0","0"
"377",14,"Zavion Thomas",CHI,"0","0","0","0","0","0","0","0","0"
"378",14,"Andy Borregales",NE,"149","0","0","0","0","0","0","0","0"
"379",14,"Kareem Hunt",FA,"145.4","0","0","18","143","1","163","611","8"
"380",14,"Tyler Higbee",LAR,"71.1","0","0","25","281","3","0","0","0"
"381",14,"Matt Hibner",BAL,"0","0","0","0","0","0","0","0","0"
"382",14,"Noah Fant",NO,"74.8","0","0","34","288","3","0","0","0"
"383",14,"Tyler Bass",BUF,"0","0","0","0","0","0","0","0","0"
"384",14,"Joe Flacco",CIN,"156.7","2479","15","0","0","0","21","35","1"
"385",14,"Robert Henry Jr.",WAS,"0","0","0","0","0","0","0","0","0"
"386",14,"Jahan Dotson",ATL,"50.2","0","0","18","262","1","0","0","0"
"387",14,"KeAndre Lambert-Smith",LAC,"16.1","0","0","5","51","1","0","0","0"
"388",14,"Dillon Gabriel",CLE,"72.1","937","7","0","0","0","14","86","0"
"389",14,"George Holani",SEA,"20.8","0","0","2","15","0","22","73","1"
"390",14,"Jason Sanders",NYJ,"0","0","0","0","0","0","0","0","0"
"391",14,"Konata Mumpfield",LAR,"25.2","0","0","10","92","1","0","0","0"
"392",14,"Eric McAlister",FA,"0","0","0","0","0","0","0","0","0"
"393",14,"Zach Ertz",FA,"126.4","0","0","50","504","4","0","0","0"
"394",14,"Audric Estime",NO,"48.1","0","0","12","103","0","46","198","1"
"395",14,"Brandon McManus",FA,"113","0","0","0","0","0","0","0","0"
"396",14,"Tutu Atwell",MIA,"31.2","0","0","6","192","1","0","0","0"
"397",14,"Malik Davis",DAL,"40.6","0","0","2","16","0","52","250","2"
"398",14,"Luke Musgrave",GB,"49.2","0","0","24","252","0","0","0","0"
"399",14,"Joe Royer",CLE,"0","0","0","0","0","0","0","0","0"
"400",14,"New York Giants",NYG,"77","0","0","0","0","0","0","0","0"
"401",14,"Carson Wentz",MIN,"75.3","1216","6","0","0","0","11","57","0"
"402",14,"Jonnu Smith",FA,"85.2","0","0","38","222","2","9","70","1"
"403",14,"Trey Lance",LAC,"14.5","226","0","0","0","0","17","85","0"
"404",14,"Josh Cameron",JAC,"0","0","0","0","0","0","0","0","0"
"405",14,"Jeff Caldwell",KC,"0","0","0","0","0","0","0","0","0"
"406",14,"Tyler Huntley",BAL,"40.1","426","2","0","0","0","24","151","0"
"407",14,"Kendrick Bourne",ARI,"92.1","0","0","37","551","0","0","0","0"
"408",14,"Arizona Cardinals",ARI,"77","0","0","0","0","0","0","0","0"
"409",14,"Jaleel McLaughlin",DEN,"31.4","0","0","4","27","0","37","187","1"
"410",14,"Erick All Jr.",CIN,"0","0","0","0","0","0","0","0","0"
"411",14,"Will Levis",TEN,"0","0","0","0","0","0","0","0","0"
"412",14,"Terion Stewart",KC,"0","0","0","0","0","0","0","0","0"
"413",14,"Nate Boerkircher",JAC,"0","0","0","0","0","0","0","0","0"
"414",14,"Gardner Minshew II",ARI,"0.7","37","0","0","0","0","6","2","0"
"415",14,"Treylon Burks",WAS,"29","0","0","10","130","1","0","0","0"
"416",14,"Malik Benson",LV,"0","0","0","0","0","0","0","0","0"
"417",14,"Ja'Lynn Polk",NO,"0","0","0","0","0","0","0","0","0"
"418",14,"Nick Chubb",FA,"88.3","0","0","13","67","0","122","506","3"
"419",14,"Noah Gray",KC,"38.8","0","0","21","178","0","0","0","0"
"420",14,"Roschon Johnson",CHI,"1.7","0","0","0","0","0","2","17","0"
"421",14,"Samaje Perine",CIN,"77.9","0","0","17","87","0","84","382","3"
"422",15,"Barion Brown",NO,"0","0","0","0","0","0","0","0","0"
"423",15,"Mitchell Trubisky",TEN,"31.1","313","4","0","0","0","9","6","0"
"424",15,"Eric Rivers Jr.",TB,"0","0","0","0","0","0","0","0","0"
"425",15,"Will Kacmarek",MIA,"0","0","0","0","0","0","0","0","0"
"426",15,"Ty Johnson",BUF,"100.3","0","0","24","263","2","50","200","3"
"427",15,"Jaydn Ott",KC,"0","0","0","0","0","0","0","0","0"
"428",15,"Tai Felton",MIN,"5.5","0","0","3","25","0","0","0","0"
"429",15,"Mitchell Evans",CAR,"48.2","0","0","19","171","2","1","1","0"
"430",15,"Charlie Kolar",LAC,"36.2","0","0","10","142","2","0","0","0"
"431",15,"Mack Hollins",NE,"113.4","0","0","46","550","2","1","4","0"
"432",15,"DeAndre Hopkins",BAL,"67","0","0","22","330","2","0","0","0"
"433",15,"Luke Schoonmaker",DAL,"27.2","0","0","14","132","0","0","0","0"
"434",15,"Mason Rudolph",PIT,"17","310","2","0","0","0","7","6","0"
"435",15,"Bam Knight",ARI,"92.9","0","0","22","160","1","82","269","4"
"436",15,"Elijah Moore",PHI,"28.6","0","0","9","112","0","6","24","1"
"437",15,"Tyren Montgomery",TEN,"0","0","0","0","0","0","0","0","0"
"438",15,"Reggie Virgil",ARI,"0","0","0","0","0","0","0","0","0"
"439",15,"Dyami Brown",WAS,"49.7","0","0","20","227","1","6","30","0"
"440",15,"Jarrett Stidham",DEN,"-0.1","0","0","0","0","0","1","-1","0"
"441",15,"Harrison Mevis",LAR,"82","0","0","0","0","0","0","0","0"
"442",15,"Darren Waller",FA,"88.7","0","0","24","283","6","1","4","0"
"443",15,"Elijah Higgins",ARI,"58.1","0","0","30","301","0","0","0","0"
"444",15,"Dameon Pierce",PHI,"3.6","0","0","0","0","0","14","36","0"
"445",15,"Jawhar Jordan",HOU,"29.7","0","0","7","34","0","43","193","0"
"446",15,"Emari Demercado",KC,"58.3","0","0","13","101","1","44","312","0"
"447",15,"Dae'Quan Wright",PHI,"0","0","0","0","0","0","0","0","0"
"448",15,"Devontez Walker",BAL,"37.6","0","0","6","136","3","0","0","0"
"449",15,"Josh Cuevas",BAL,"0","0","0","0","0","0","0","0","0"
"450",15,"Eddy Pineiro",SF,"140","0","0","0","0","0","0","0","0"
"451",15,"Jake Browning",TB,"56.7","771","6","0","0","0","9","39","1"
"452",15,"Efton Chism III",NE,"16.5","0","0","3","75","1","0","0","0"
"453",15,"Dallen Bentley",DEN,"0","0","0","0","0","0","0","0","0"
"454",15,"Haynes King",CAR,"0","0","0","0","0","0","0","0","0"
"455",15,"Cairo Santos",CHI,"132","0","0","0","0","0","0","0","0"
"456",15,"Jeremy McNichols",WAS,"72.7","0","0","25","196","0","44","221","1"
"457",15,"Cade Stover",HOU,"19.9","0","0","12","76","0","4","3","0"
"458",15,"Aaron Anderson",CLE,"0","0","0","0","0","0","0","0","0"
"459",15,"Michael Carter",TEN,"99","0","0","33","267","0","92","333","1"
"460",15,"John Michael Gyllenborg",KC,"0","0","0","0","0","0","0","0","0"
"461",15,"Phil Mafah",DAL,"10.9","0","0","2","11","0","5","18","1"
"462",15,"Russell Wilson",FA,"52.8","831","3","0","0","0","18","106","0"
"463",15,"Jimmy Garoppolo",LAR,"-1","0","0","0","0","0","9","-10","0"
"464",15,"Davis Allen",LAR,"62.8","0","0","24","208","3","0","0","0"
"465",15,"Xavier Hutchinson",HOU,"98","0","0","35","428","3","3","22","0"
"466",15,"Desmond Reid",BUF,"0","0","0","0","0","0","0","0","0"
"467",15,"Olamide Zaccheaus",ATL,"84.8","0","0","39","313","2","4","25","0"
"468",15,"Spencer Shrader",IND,"57","0","0","0","0","0","0","0","0"
"469",15,"Nick Westbrook-Ikhine",IND,"19.9","0","0","11","89","0","0","0","0"
"470",15,"RJ Maryland",GB,"0","0","0","0","0","0","0","0","0"
"471",15,"Jaren Kanak",TEN,"0","0","0","0","0","0","0","0","0"
"472",15,"Zach Wilson",NO,"1.4","32","0","0","0","0","3","1","0"
"473",15,"Jalin Hyatt",NYG,"8.5","0","0","5","35","0","0","0","0"
"474",15,"Aidan O'Connell",LV,"4.8","102","0","0","0","0","1","7","0"
"475",15,"Chase Roberts",LV,"0","0","0","0","0","0","0","0","0"
"476",15,"Kenny Pickett",CAR,"9.7","188","1","0","0","0","5","22","0"
"477",15,"Jahdae Walker",CHI,"26.7","0","0","6","87","2","0","0","0"
"478",15,"Dean Connors",LAR,"0","0","0","0","0","0","0","0","0"
"479",15,"Austin Hooper",ATL,"59.3","0","0","21","263","2","0","0","0"
"480",15,"Xavier Restrepo",TEN,"7.1","0","0","3","41","0","0","0","0"
"481",15,"Brock Wright",DET,"36.8","0","0","14","108","2","0","0","0"
"482",15,"Tyrod Taylor",GB,"64.5","779","5","0","0","0","27","143","1"
"483",15,"Riley Nowakowski",PIT,"0","0","0","0","0","0","0","0","0"
"484",15,"Damien Martinez",GB,"0","0","0","0","0","0","0","0","0"
"485",15,"Daniel Bellinger",TEN,"59.6","0","0","19","286","2","0","0","0"
"486",15,"Tyler Lockett",LV,"73.1","0","0","32","291","1","0","0","0"
"487",15,"Rasheen Ali",BAL,"24.2","0","0","9","68","1","7","24","0"
"488",15,"Kendrick Law",DET,"0","0","0","0","0","0","0","0","0"
"489",15,"Kaden Wetjen",PIT,"0","0","0","0","0","0","0","0","0"
"490",15,"Dane Key",DEN,"0","0","0","0","0","0","0","0","0"
"491",15,"Andy Dalton",PHI,"10.5","293","1","0","0","0","5","-2","0"
"492",16,"Miles Sanders",FA,"26.7","0","0","8","30","0","20","117","1"
"493",16,"Seydou Traore",MIA,"0","0","0","0","0","0","0","0","0"
"494",16,"Josh Oliver",MIN,"55","0","0","15","160","4","0","0","0"
"495",16,"Harrison Wallace III",ARI,"0","0","0","0","0","0","0","0","0"
"496",16,"Romello Brinson",DAL,"0","0","0","0","0","0","0","0","0"
"497",16,"Demarcus Robinson",SF,"58.2","0","0","22","276","1","1","6","0"
"498",16,"Grant Calcaterra",PHI,"22.6","0","0","9","76","1","0","0","0"
"499",16,"Jeremy Ruckert",NYJ,"46.9","0","0","23","179","1","0","0","0"
"500",16,"Jared Wiley",KC,"1.4","0","0","1","4","0","0","0","0"
"501",16,"Jordan Watkins",SF,"4.6","0","0","2","26","0","0","0","0"
"502",16,"Tommy Tremble",CAR,"63.9","0","0","27","249","2","0","0","0"
"503",16,"Raheem Mostert",LV,"29.4","0","0","12","70","0","22","104","0"
"504",16,"Greg Dortch",DET,"75.1","0","0","29","206","3","7","15","1"
"505",16,"Colbie Young",CIN,"0","0","0","0","0","0","0","0","0"
"506",16,"Ashton Dulin",IND,"20","0","0","5","106","0","3","44","0"
"507",16,"Gabe Davis",FA,"30.9","0","0","12","129","1","0","0","0"
"508",16,"Bo Melton",GB,"24.2","0","0","4","107","1","5","35","0"
"509",16,"Jimmy Horn Jr.",CAR,"28.7","0","0","11","108","0","8","69","0"
"510",16,"Carsen Ryan",CLE,"0","0","0","0","0","0","0","0","0"
"511",16,"Roman Wilson",PIT,"0","0","0","12","166","2","0","0","0"
"512",16,"Austin Ekeler",FA,"13.1","0","0","5","38","0","14","43","0"
"513",16,"Hunter Long",JAC,"32.5","0","0","12","85","2","0","0","0"
"514",16,"Julian Hill",NE,"31","0","0","15","140","0","0","0","0"
"515",16,"Adam Trautman",DEN,"45.5","0","0","20","195","1","0","0","0"
"516",16,"KaVontae Turpin",DAL,"84.5","0","0","26","396","2","17","89","0"
"517",16,"Thomas Fidone II",NYG,"0","0","0","0","0","0","0","0","0"
"518",16,"Malachi Corley",CLE,"31.6","0","0","11","79","0","13","127","0"
"519",16,"Jackson Hawes",BUF,"52.7","0","0","16","187","3","0","0","0"
