"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Ja'Kobi Lane","BAL","37.8","569.3","5.2","1.5","8.5","0.0","0.7","125.7"
"Cooper Kupp","SEA","47.4","584.8","3.4","0.5","1.5","0.0","0.7","125.2"
"Adonai Mitchell","NYJ","39.7","548.8","3.3","2.1","5.1","0.1","0.7","113.8"
"Malik Washington","MIA","45.6","414.2","2.4","13.5","80.3","0.7","0.8","112.0"
"Jaylin Noel","HOU","41.6","484.3","3.4","5.1","17.6","0.1","0.2","111.9"
"Travis Hunter","JAC","41.6","496.6","3.3","2.0","10.8","0.1","0.4","111.8"
"Germie Bernard","PIT","41.2","507.7","2.9","2.1","10.8","0.0","0.7","109.2"
"Kayshon Boutte","NE","33.2","501.5","4.3","0.0","0.0","0.0","0.1","109.1"
"Dontayvion Wicks","PHI","39.5","517.8","2.9","0.0","0.0","0.0","0.4","107.9"
"Jordyn Tyson","NO","37.8","529.1","2.9","0.5","3.5","0.0","0.7","106.8"
"Bub Means","NO","38.0","519.0","3.0","1.0","6.0","0.0","1.0","106.5"
"Caleb Douglas","MIA","39.6","511.4","2.6","1.0","5.5","0.0","0.7","105.4"
"Antonio Williams","WAS","35.5","497.2","3.1","3.5","18.7","0.1","1.2","104.2"
"Darius Slayton","NYG","35.8","526.4","2.0","1.6","8.6","0.0","0.7","100.2"
"Troy Franklin","DEN","36.5","402.7","3.4","3.0","10.8","0.0","0.6","97.3"
"Chris Bell","MIA","35.4","445.9","2.6","1.0","5.5","0.0","0.6","94.8"
"Tory Horton","SEA","30.3","401.5","4.2","0.5","3.0","0.0","0.6","94.5"
"Xavier Legette","CAR","35.9","417.5","2.6","2.1","10.8","0.1","0.4","93.8"
"Omar Cooper Jr.","NYJ","34.6","410.3","2.9","2.1","12.5","0.1","0.6","93.1"
"Tyquan Thornton","KC","25.4","467.1","3.5","0.0","0.0","0.0","0.1","92.8"
"Jahan Dotson","ATL","35.2","443.3","2.3","0.0","0.0","0.0","0.3","92.5"
"Xavier Hutchinson","HOU","34.0","423.4","2.2","2.1","14.2","0.0","0.1","91.2"
"Christian Kirk","SF","34.5","406.4","2.6","0.0","0.0","0.0","0.1","90.4"
"Tre' Harris","LAC","34.5","410.5","2.5","0.0","0.0","0.0","0.4","89.8"
