,PASSING,,,,,Rushing,,,MISC,
Player,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
Tyrod Taylor GB,20,12.8,136.1,0.9,0.5,2.3,12.4,0.1,0.2,9.7
Adrian Martinez SF,16,11,115,1,0,3,7,0,0,9.3
Jameis Winston NYG,21.6,13.3,153.7,1,1,2.9,12.3,0,0.6,9.2
Garrett Nussmeier KC,17,11,110,1,0,2,8,0,0,9.2
Cole Payton PHI,14,9,105,1,0,2,10,0,0,9.2
Jalen Milroe SEA,11,7,89,1,0,5,14,0,0,9
Drew Allar PIT,16,10,102,1,0,2,8,0,0,8.9
Mitchell Trubisky TEN,22.8,13.5,135,0.8,0.4,2.6,4.7,0,0.1,8.9
Quinn Ewers MIA,20.9,13.7,139.1,0.8,0.8,2.5,11.5,0,0.1,8.9
Cade Klubnik NYJ,18.4,11.6,116.7,0.9,0.4,1.8,7.8,0,0.1,8.7
Kyle Allen BUF,18.5,10.6,117,1,0.4,2,3,0,0.1,8.3
Brady Cook NYJ,10,6.5,60,0.5,0.5,2,10,0,0,4.9
Will Howard PIT,8,5,51,0.5,0,1,4,0,0,4.4
Josh Johnson CIN,0,0,0,0,0,0,0,0,0,0
Stetson Bennett IV LAR,0,0,0,0,0,0,0,0,0,0
Aidan O'Connell LV,0,0,0,0,0,0,0,0,0,0
