,RECEIVING,,,RUSHING,,,MISC,
Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
Ja'Kobi Lane BAL,30.4,459.2,3.4,1.5,8.5,0,0.6,66.1
Caleb Douglas MIA,39.6,506.8,2.5,1,5.5,0,0.7,65
Tory Horton SEA,29.8,400.4,4.2,0.5,3,0,0.6,64
Darius Slayton NYG,35.4,520.9,2,1.6,8.6,0,0.7,63.8
Troy Franklin DEN,36.5,396.4,3.9,3,10.8,0,0.6,63.1
Malik Washington MIA,42.1,371.2,2.2,13.3,79.3,0.7,0.8,61.1
Nick Westbrook-Ikhine IND,34.3,432.7,3,0,0,0,0.3,60.9
De'Zhaun Stribling SF,33.1,452.9,2.6,1.5,6.5,0,0.6,60.1
Isaac TeSlaa DET,25.4,351.8,4.1,0,0,0,0.1,59.6
Devaughn Vele NO,35.1,422.8,2.8,0,0,0,0.1,59.1
Hollywood Brown PHI,31.3,388.8,3.3,0,0,0,0.1,58.2
Jack Bech LV,41.4,483,1.8,0,0,0,0.4,58.1
Andrei Iosivas CIN,31.1,393.6,2.9,2.5,11.1,0,0.1,57.8
Ryan Flournoy DAL,34,384.6,2.7,2.2,12.4,0.1,0.4,55.5
Dyami Brown WAS,29.9,394.6,2.7,0,0,0,0.3,55
Tre' Harris LAC,34.5,407.7,2.5,0,0,0,0.4,54.8
Ted Hurst III TB,28.9,389.3,2.6,1,6.5,0,0.6,53.7
Adonai Mitchell NYJ,26.5,381.5,2.3,2.2,11.1,0.1,0.3,53
Jahan Dotson ATL,31.9,402.9,2.1,0,0,0,0.2,52.2
Ashton Dulin IND,22.5,378.9,1.5,5.1,46.2,0.1,0.1,51.6
Olamide Zaccheaus ATL,37.2,352.9,2.1,1.5,9.5,0,0.2,48.7
Chimere Dike TEN,25.1,240.2,3.3,10.6,34.1,0.3,0.6,47.5
Dontayvion Wicks PHI,29.6,333.6,2.3,0.5,3,0,0.1,47.1
Van Jefferson WAS,28,357.7,1.9,0,0,0,0.2,47
Keon Coleman BUF,22.5,309.4,2.6,0,0,0,0.2,46
Xavier Hutchinson HOU,26.4,320.6,2.1,2.1,14.2,0,0.1,45.9
KaVontae Turpin DAL,18.3,230.4,1.7,17.7,102.4,0.4,0.4,45.4
Savion Williams GB,23.9,272,2,9,47,0.3,0.3,45.1
Jalen Tolbert MIA,30.1,364.3,1.4,0,0,0,0.3,44.5
Elic Ayomanor TEN,21.5,287.8,2.6,0,0,0,0,44.3
Xavier Legette CAR,26.6,307.9,2.1,2.1,10.8,0.1,0.3,44.1
Pat Bryant DEN,28.5,319.6,2.1,0,0,0,0.3,44
Joshua Palmer BUF,25.9,337.2,1.6,0,0,0,0.1,43.3
Marvin Mims Jr. DEN,24.2,272.4,1.6,8.2,45,0.3,0.4,42.6
Jahdae Walker CHI,18.7,243.8,2.8,0.5,3.5,0,0,41.6
Calvin Austin III NYG,20.5,273.7,2.2,0,0,0,0,40.8
Cedric Tillman CLE,21.5,269.4,2.3,0,-0.5,0,0,40.4
Elijah Sarratt BAL,19.5,294.5,1.8,0,0,0,0.2,39.7
DeMario Douglas NE,22.7,271.1,1.5,4.1,21.4,0.2,0.3,38.6
Jaylin Lane WAS,22.8,281,1.8,0,0,0,0.2,38.4
Chris Brazzell II CAR,22.5,287.7,1.7,0,0,0,0.2,38.3
Kalif Raymond CHI,26.7,264.8,1.3,4.6,27.2,0.2,0.3,37.1
Demarcus Robinson SF,17.7,252.4,1.7,0.5,2.5,0,0,35.4
Jaylin Noel HOU,21.6,239.3,1.4,4.2,22.2,0.1,0.3,34.6
Tutu Atwell MIA,20.7,292.1,0.4,2.1,11.1,0.1,0.2,32.9
Zachariah Branch ATL,21,251.6,1.3,0,0,0,0.2,32.4
Luke McCaffrey WAS,12,189,2,0,0,0,0,30.9
Treylon Burks WAS,15.8,215.5,1.3,0,0,0,0.1,29
Jalen Royals KC,17,198,1.5,0,0,0,0.2,28.7
Kendrick Bourne ARI,22.7,239.7,0.7,0,0,0,0.2,27.5
Jordan Whittington LAR,15,172,1.2,2.3,12.1,0.1,0.2,26.2
