"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Puka Nacua (LAR)","166","28.6","129","1,715","13.3","27","10","10","105","1","1","16","375.0","23.4","99.5%"
"2","Jaxon Smith-Njigba (SEA)","163","36","119","1,793","15.1","27","10","7","36","0","1","17","359.9","21.2","99.4%"
"3","Amon-Ra St. Brown (DET)","172","31.4","117","1,401","12.0","19","11","3","9","0","0","17","324.0","19.1","99.2%"
"4","Ja'Marr Chase (CIN)","185","30.2","125","1,412","11.3","15","8","3","14","0","1","16","313.6","19.6","99.3%"
"5","George Pickens (DAL)","137","22.7","93","1,429","15.4","22","9","0","0","0","0","17","291.9","17.2","98.9%"
"6","Chris Olave (NO)","156","27.7","100","1,163","11.6","11","9","1","-3","0","0","16","269.0","16.8","98.0%"
"7","Zay Flowers (BAL)","118","28.9","86","1,211","14.1","19","5","10","62","1","3","17","243.3","14.3","97.1%"
"8","Nico Collins (HOU)","120","21.5","71","1,117","15.7","18","6","2","15","1","1","15","226.2","15.1","99.3%"
"9","Davante Adams (LAR)","114","19.6","60","789","13.2","14","14","0","0","0","0","14","222.9","15.9","97.1%"
"10","Michael Wilson (ARI)","126","20.1","78","1,006","12.9","14","7","0","0","0","0","17","220.6","13.0","89.6%"
"11","A.J. Brown (PHI)","121","26","78","1,003","12.9","14","7","0","0","0","0","15","220.3","14.7","98.6%"
"12","Jameson Williams (DET)","102","18.5","65","1,117","17.2","23","7","6","12","0","0","17","219.9","12.9","95.1%"
"13","Courtland Sutton (DEN)","124","21.1","74","1,017","13.7","17","7","0","0","0","0","17","219.7","12.9","91.9%"
"14","Wan'Dale Robinson (NYG)","140","28","92","1,014","11.0","14","4","3","5","0","0","16","217.9","13.6","82.2%"
"15","Tee Higgins (CIN)","98","16.1","59","846","14.3","14","11","0","0","0","0","15","211.6","14.1","97.5%"
"16","Tetairoa McMillan (CAR)","122","25.6","70","1,014","14.5","17","7","0","0","0","1","17","211.4","12.4","98.0%"
"17","Stefon Diggs (NE)","102","21.1","85","1,013","11.9","17","4","0","0","0","0","17","210.3","12.4","51.8%"
"18","Michael Pittman Jr. (IND)","111","21","80","784","9.8","5","7","0","0","0","0","17","202.4","11.9","88.8%"
"19","Drake London (ATL)","112","21.4","68","919","13.5","13","7","0","0","0","1","12","201.9","16.8","99.0%"
"20","DeVonta Smith (PHI)","113","24.3","77","1,008","13.1","14","4","0","0","0","0","17","201.8","11.9","98.0%"
"21","Justin Jefferson (MIN)","141","30.4","84","1,048","12.5","12","2","2","7","0","0","17","201.5","11.9","99.0%"
"22","CeeDee Lamb (DAL)","117","19.2","75","1,077","14.4","16","3","1","2","0","0","14","200.9","14.4","99.1%"
"23","Emeka Egbuka (TB)","127","23.7","63","938","14.9","20","6","2","9","0","0","17","195.7","11.5","95.6%"
"24","Jaylen Waddle (MIA)","100","21.8","64","910","14.2","14","6","2","28","0","0","16","194.1","12.1","96.1%"
"25","Deebo Samuel Sr. (WAS)","99","23.2","72","727","10.1","10","5","17","75","1","0","16","188.2","11.8","37.5%"
"26","DK Metcalf (PIT)","99","19","59","850","14.4","15","6","2","12","1","0","15","187.2","12.5","92.4%"
"27","Parker Washington (JAC)","95","17.1","58","847","14.6","17","5","7","0","0","0","16","184.7","11.5","88.4%"
"28","Alec Pierce (IND)","84","15.8","47","1,003","21.3","17","6","0","0","0","0","15","183.3","12.2","90.7%"
"29","Keenan Allen (LAC)","122","22.6","81","777","9.6","6","4","0","0","0","0","17","182.7","10.7","12.2%"
"30","Ladd McConkey (LAC)","106","19.7","66","789","12.0","8","6","0","0","0","0","16","180.9","11.3","96.5%"
"31","Troy Franklin (DEN)","104","17.9","65","709","10.9","9","6","5","12","0","1","17","177.1","10.4","20.9%"
"32","Jakobi Meyers (JAC)","110","20.9","75","835","11.1","10","3","5","13","0","1","16","175.8","11.0","86.7%"
"33","Jauan Jennings (SF)","90","16.3","55","643","11.7","9","9","0","0","0","1","15","173.3","11.6","41.0%"
"34","Quentin Johnston (LAC)","85","15.9","51","735","14.4","13","8","2","7","0","1","14","171.2","12.2","78.8%"
"35","DJ Moore (CHI)","85","15.8","50","682","13.6","12","6","15","79","1","1","17","170.2","10.0","94.5%"
"36","Khalil Shakir (BUF)","95","19.7","72","719","10.0","8","4","1","5","0","1","16","166.4","10.4","70.1%"
"37","Romeo Doubs (GB)","85","18.6","55","724","13.2","12","6","0","0","0","0","16","165.4","10.3","75.9%"
"38","Tre Tucker (LV)","92","18.4","57","696","12.2","9","5","11","51","0","0","17","161.7","9.5","27.3%"
"39","Rashid Shaheed (SEA)","92","17.4","59","687","11.6","6","2","9","69","0","1","18","156.6","8.7","46.8%"
"40","Rashee Rice (KC)","78","14.2","53","571","10.8","9","5","5","20","1","0","8","150.1","18.8","98.0%"
"41","Rome Odunze (CHI)","90","16.9","44","661","15.0","13","6","0","0","0","0","12","146.1","12.2","93.4%"
"42","Brian Thomas Jr. (JAC)","91","16.6","48","707","14.7","11","2","3","21","1","0","14","138.8","9.9","90.5%"
"43","Hollywood Brown (KC)","74","13.4","49","587","12.0","7","5","0","0","0","0","16","137.7","8.6","9.4%"
"44","Josh Downs (IND)","88","16.5","58","566","9.8","4","4","2","-2","0","1","16","136.4","8.5","79.8%"
"45","Jordan Addison (MIN)","79","16.9","42","610","14.5","11","3","2","81","1","0","14","135.1","9.7","85.8%"
"46","Christian Watson (GB)","55","12.1","35","611","17.5","11","6","1","3","0","0","10","132.4","13.2","91.8%"
"47","Jayden Higgins (HOU)","68","12.2","41","525","12.8","5","6","0","0","0","0","17","129.5","7.6","51.7%"
"48","Luther Burden III (CHI)","60","11.4","47","652","13.9","11","2","6","37","0","0","15","127.9","8.5","93.9%"
"49","Marvin Harrison Jr. (ARI)","73","11.8","41","608","14.8","9","4","0","0","0","0","12","127.8","10.7","91.7%"
"50","Chimere Dike (TEN)","74","14","48","423","8.8","6","4","11","18","0","1","17","126.1","7.4","20.3%"
"51","Kayshon Boutte (NE)","46","9.3","33","551","16.7","10","6","0","0","0","0","14","124.1","8.9","27.6%"
"52","Jerry Jeudy (CLE)","106","20.5","50","602","12.0","6","2","1","5","0","1","17","120.7","7.1","41.1%"
"53","Cooper Kupp (SEA)","70","15.6","47","593","12.6","8","2","0","0","0","1","16","117.3","7.3","19.9%"
"54","Malik Washington (MIA)","65","14.4","46","317","6.9","2","3","17","110","1","1","17","116.7","6.9","21.6%"
"55","Elic Ayomanor (TEN)","89","16.6","41","515","12.6","8","4","0","0","0","0","16","116.5","7.3","16.5%"
"56","Terry McLaurin (WAS)","60","13.7","38","582","15.3","7","3","0","0","0","0","10","114.2","11.4","94.9%"
"57","Ryan Flournoy (DAL)","56","9.2","40","475","11.9","5","4","4","25","0","0","15","114.0","7.6","19.7%"
"58","Mack Hollins (NE)","65","13.4","46","550","12.0","8","2","1","4","0","0","15","113.4","7.6","6.8%"
"59","Xavier Worthy (KC)","73","13.2","42","532","12.7","9","1","11","87","0","0","14","109.9","7.9","81.7%"
"60","Keon Coleman (BUF)","59","12.2","38","404","10.6","5","4","0","0","0","1","13","102.4","7.9","15.4%"
"61","Jalen Nailor (MIN)","53","11.4","29","444","15.3","9","4","2","13","0","0","17","100.7","5.9","30.2%"
"62","Garrett Wilson (NYJ)","59","12.5","36","395","11.0","4","4","0","0","0","0","7","99.5","14.2","97.2%"
"63","Darius Slayton (NYG)","63","12.6","37","538","14.5","7","1","0","0","0","1","14","98.8","7.1","8.6%"
"64","Xavier Hutchinson (HOU)","57","10.2","35","428","12.2","7","3","3","22","0","0","17","98.0","5.8","2.1%"
"65","DeMario Douglas (NE)","46","9.3","31","447","14.4","7","3","7","21","0","0","17","95.8","5.6","9.5%"
"66","Marvin Mims Jr. (DEN)","51","8.7","37","322","8.7","6","1","12","78","1","1","16","93.0","5.8","14.6%"
"67","Tez Johnson (TB)","44","8.3","28","322","11.5","3","5","8","24","0","0","16","92.6","5.8","5.0%"
"68","Kendrick Bourne (SF)","53","9.6","37","551","14.9","5","0","0","0","0","0","16","92.1","5.8","3.6%"
"69","Jalen Coker (CAR)","43","8.8","33","394","11.9","6","3","0","0","0","1","11","90.4","8.2","52.1%"
"70","Andrei Iosivas (CIN)","58","9.9","33","435","13.2","7","2","3","14","0","0","17","89.9","5.3","8.1%"
"71","Xavier Legette (CAR)","64","13.2","35","363","10.4","7","3","1","0","0","0","15","89.3","6.0","5.3%"
"72","Ricky Pearsall (SF)","53","9.7","36","528","14.7","9","0","2","-2","0","0","10","88.6","8.9","85.9%"
"73","Adonai Mitchell (NYJ)","74","15.5","33","453","13.7","6","2","1","-4","0","1","16","87.9","5.5","22.1%"
"74","Calvin Austin III (PIT)","55","10.8","31","372","12.0","5","3","0","0","0","0","14","86.2","6.2","4.7%"
"75","Mike Evans (TB)","61","11.3","30","368","12.3","5","3","0","0","0","0","8","84.8","10.6","93.4%"
"75","Olamide Zaccheaus (CHI)","65","12.3","39","313","8.0","1","2","4","25","0","0","16","84.8","5.3","4.7%"
"77","KaVontae Turpin (DAL)","38","6.3","26","396","15.2","5","2","17","89","0","1","15","84.5","5.6","6.5%"
