"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"54","Erick All Jr. (CIN)","22","3.4","20","158","7.9","1","0","0","0","0","0","9","35.8","4.0","1.4%"
"55","Brock Wright (DET)","16","3.2","13","100","7.7","0","2","0","0","0","0","17","35.0","2.1","0.8%"
"56","Stone Smartt (LAC)","19","3.8","16","208","13.0","4","0","0","0","0","1","9","34.8","3.9","1.0%"
"57","Payne Durham (TB)","14","2.5","11","115","10.5","2","2","0","0","0","0","16","34.5","2.2","0.6%"
"58","Cade Stover (HOU)","22","4.2","15","133","8.9","1","1","0","0","0","0","15","34.3","2.3","1.6%"
"59","Lucas Krull (DEN)","23","4.2","19","152","8.0","1","0","0","0","0","0","13","34.2","2.6","1.0%"
"60","Mo Alie-Cox (IND)","22","4.4","12","147","12.3","2","1","0","0","0","0","17","32.7","1.9","0.6%"
"61","Kylen Granson (IND)","31","6.2","14","182","13.0","3","0","0","0","0","0","16","32.2","2.0","1.2%"
"62","Jeremy Ruckert (NYJ)","28","4.5","18","105","5.8","0","0","0","0","0","0","17","28.5","1.7","0.6%"
"63","Charlie Kolar (BAL)","11","2.3","9","131","14.6","2","1","1","2","0","0","13","28.3","2.2","3.6%"
"64","Eric Saubert (SF)","14","2.8","11","97","8.8","0","1","0","0","0","0","13","26.7","2.1","0.9%"
"65","Tyler Higbee (LAR)","12","2.3","8","66","8.3","0","2","0","0","0","0","3","26.6","8.9","5.2%"
"66","Daniel Bellinger (NYG)","17","3.2","14","125","8.9","0","0","0","0","0","0","17","26.5","1.6","4.5%"
"67","Drew Ogletree (IND)","14","2.8","9","109","12.1","3","1","0","0","0","0","17","25.9","1.5","0.6%"
"68","Julian Hill (MIA)","19","3.6","12","100","8.3","0","0","0","0","0","0","16","22.0","1.4","0.6%"
"69","Luke Farrell (JAC)","17","3.4","12","67","5.6","0","0","0","0","0","0","12","18.7","1.6","0.6%"
"70","Brevyn Spann-Ford (DAL)","14","2.3","9","88","9.8","0","0","0","0","0","0","17","17.8","1.0","0.1%"
"71","Harrison Bryant (LV)","12","1.9","9","86","9.6","0","0","0","0","0","0","6","17.6","2.9","0.0%"
"72","Blake Whiteheart (CLE)","9","1.7","6","51","8.5","1","1","0","0","0","0","11","17.1","1.6","0.1%"
"73","MyCole Pruitt (PIT)","10","2.1","6","40","6.7","0","1","0","0","0","0","8","16.0","2.0","1.0%"
"73","Connor Heyward (PIT)","8","1.7","6","40","6.7","0","1","0","0","0","0","17","16.0","0.9","0.2%"
"75","Kenny Yeboah (NYJ)","8","1.4","5","47","9.4","0","1","0","0","0","0","7","15.7","2.2","0.0%"
"76","Hayden Hurst (LAC)","13","2.6","8","73","9.1","1","0","0","0","0","0","7","15.3","2.2","1.3%"
"77","Quintin Morris (BUF)","8","1.6","5","36","7.2","0","1","0","0","0","0","10","14.6","1.5","1.4%"
"78","John Bates (WAS)","13","2.6","8","84","10.5","1","0","0","0","0","1","17","14.4","0.8","0.7%"
"79","Durham Smythe (MIA)","17","3.3","9","53","5.9","0","0","0","0","0","0","14","14.3","1.0","0.6%"
"80","Ben Sinnott (WAS)","5","1","5","28","5.6","0","1","0","0","0","0","17","13.8","0.8","3.4%"
"80","Devin Culp (TB)","6","1.1","5","88","17.6","2","0","0","0","0","0","5","13.8","2.8","0.7%"
"82","Hunter Long (LAR)","9","1.8","7","60","8.6","0","0","0","0","0","0","11","13.0","1.2","0.6%"
"83","Pharaoh Brown (SEA)","12","2.4","8","65","8.1","0","0","0","0","0","1","10","12.5","1.3","0.0%"
"84","Chris Manhertz (NYG)","4","0.8","3","30","10.0","0","1","0","0","0","0","17","12.0","0.7","0.1%"
"85","Gerald Everett (CHI)","13","2.6","8","36","4.5","0","0","0","0","0","0","10","11.6","1.2","1.4%"
"85","Charlie Woerner (ATL)","12","2.4","7","46","6.6","0","0","0","0","0","0","16","11.6","0.7","0.1%"
"87","Luke Musgrave (GB)","10","2","7","45","6.4","0","0","0","0","0","0","7","11.5","1.6","7.8%"
"88","Tucker Fisk (LAC)","8","1.6","7","39","5.6","0","0","0","0","0","0","9","10.9","1.2","1.2%"
"89","Peyton Hendershot (KC)","5","1","5","51","10.2","0","0","0","0","0","0","5","10.1","2.0","0.0%"
"90","Davis Allen (LAR)","13","2.5","6","39","6.5","0","0","0","0","0","0","14","9.9","0.7","0.6%"
"91","Tip Reiman (ARI)","7","1.4","6","37","6.2","0","0","0","0","0","0","17","9.7","0.6","0.1%"
"92","Ben Sims (GB)","5","1","4","42","10.5","1","0","0","0","0","0","17","8.2","0.5","0.1%"
"93","Cam Grandy (CIN)","5","0.9","5","28","5.6","0","0","0","0","0","0","8","7.8","1.0","0.0%"
"93","Greg Dulcich (NYG)","12","2.2","5","28","5.6","0","0","0","0","0","0","9","7.8","0.9","15.0%"
"95","E.J. Jenkins (PHI)","2","0.4","1","7","7.0","0","1","0","0","0","0","8","7.7","1.0","1.0%"
"96","Will Mallory (IND)","8","1.6","4","29","7.3","0","0","0","0","0","0","10","6.9","0.7","1.0%"
"97","Dallin Holker (NO)","4","0.8","3","21","7.0","0","0","0","0","0","0","12","5.1","0.4","1.0%"
"98","Tanner Conner (MIA)","4","0.8","3","16","5.3","0","0","0","0","0","0","7","4.6","0.7","1.2%"
"99","Josiah Deguara (JAC)","3","0.6","3","14","4.7","0","0","0","0","0","0","7","4.4","0.6","0.0%"
"100","Jaheim Bell (NE)","3","0.6","2","20","10.0","0","0","0","0","0","0","13","4.0","0.3","0.6%"
"101","Ian Thomas (CAR)","6","1.2","3","7","2.3","0","0","0","0","0","0","3","3.7","1.2","0.1%"
"102","Shane Zylstra (DET)","1","0.2","1","22","22.0","1","0","0","0","0","0","12","3.2","0.3","1.1%"
"103","Jack Stoll (PHI)","3","0.7","2","10","5.0","0","0","0","0","0","0","5","3.0","0.6","0.1%"
"104","Eric Tomlinson (LAC)","4","0.8","2","9","4.5","0","0","0","0","0","0","5","2.9","0.6","0.0%"
"105","Brevin Jordan (HOU)","3","0.6","2","7","3.5","0","0","0","0","0","0","2","2.7","1.4","0.6%"
"106","John Samuel Shenker (LV)","1","0.2","1","7","7.0","0","0","0","0","0","0","3","1.7","0.6","0.0%"
"106","Geoff Swaim (CLE)","1","0.2","1","7","7.0","0","0","0","0","0","0","3","1.7","0.6","0.0%"
"106","Jared Wiley (KC)","1","0.2","1","7","7.0","0","0","0","0","0","0","7","1.7","0.2","1.0%"
"109","David Martin-Robinson (TEN)","2","0.4","1","6","6.0","0","0","0","0","0","0","5","1.6","0.3","0.0%"
"110","Zach Davidson (BUF)","2","0.4","1","5","5.0","0","0","0","0","0","0","3","1.5","0.5","1.0%"
"110","Jody Fortson Jr. (KC)","3","0.6","1","5","5.0","0","0","0","0","0","0","3","1.5","0.5","0.0%"
"110","Ross Dwelley (ATL)","1","0.2","1","5","5.0","0","0","0","0","0","0","4","1.5","0.4","0.0%"
"113","John FitzPatrick (GB)","1","0.2","1","2","2.0","0","0","0","0","0","0","9","1.2","0.1","0.0%"
"113","Marcedes Lewis (CHI)","2","0.4","1","2","2.0","0","0","0","0","0","0","6","1.2","0.2","0.0%"
"115","Irv Smith Jr. (HOU)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"115","Andrew Beck (HOU)","2","0.4","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.2%"
"115","Zach Wood (NO)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","1.5%"
"115","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"115","Patrick Scales (CHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"115","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"115","Anthony Firkser (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"115","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"115","Stephen Sullivan (CAR)","1","0.2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"115","Matt Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"115","Parker Hesse (DET)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"115","Feleipe Franks (CAR)","3","0","1","12","12.0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"115","C.J. Uzomah (PHI)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"115","Jordan Matthews (CAR)","1","0.2","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"115","Leroy Watson IV (TEN)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","1.0%"
"115","Jake Tonges (SF)","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","23.6%"
"115","Rodney Williams (PIT)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"115","Nick Muse (MIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"115","Ko Kieft (TB)","0","0","0","0","0","0","0","0","0","0","0","17","0.0","0.0","0.0%"
"115","Teagan Quitoriano (HOU)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"115","Brady Russell (SEA)","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.0%"
"115","Travis Vokolek (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"115","Princeton Fant (DAL)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"115","Thomas Odukoya (TEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"115","Zack Kuntz (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","4.1%"
"115","Brayden Willis (SF)","2","0.4","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"115","Baylor Cupp (KC)","1","0.2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"115","Justin Shorter (LV)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","2.9%"
"115","Colson Yankoff (WAS)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","1.1%"
"115","Tanner McLachlan (CIN)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"115","Jack Westover (NE)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"115","Brenden Bates (CLE)","1","0.2","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
""
""
