"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"139","Jakob Johnson (NE)","0","0","0","0","0","0","2","1","5","5.0","0","0","4","1.5","0.4","0.0%"
"140","Senorise Perry (BUF)","3","3","1.0","6","0","0","1","1","1","1.0","0","0","11","1.4","0.1","0.0%"
"141","Josh Adams (NYJ)","8","12","1.5","10","0","0","0","0","0","0","0","0","3","1.2","0.4","0.0%"
"141","Damien Harris (NE)","4","12","3.0","13","0","0","0","0","0","0","0","0","2","1.2","0.6","9.0%"
"143","Dexter Williams (GB)","5","11","2.2","5","0","0","0","0","0","0","0","0","4","1.1","0.3","0.0%"
"144","Buddy Howell (HOU)","5","10","2.0","4","0","0","0","0","0","0","0","0","16","1.0","0.1","0.0%"
"145","John Kelly Jr. (LAR)","3","9","3.0","6","0","0","0","0","0","0","0","0","5","0.9","0.2","0.0%"
"145","Josh Ferguson (WAS)","3","9","3.0","7","0","0","0","0","0","0","0","0","2","0.9","0.5","0.0%"
"145","Jordan Scarlett (CAR)","4","9","2.3","6","0","0","0","0","0","0","0","0","9","0.9","0.1","0.0%"
"148","Ryan Nall (CHI)","2","8","4.0","7","0","0","0","0","0","0","0","0","8","0.8","0.1","0.0%"
"149","Tony Brooks-James (PIT)","8","7","0.9","8","0","0","0","0","0","0","0","0","3","0.7","0.2","0.0%"
"150","De'Lance Turner (MIA)","4","6","1.5","5","0","0","0","0","0","0","0","0","9","0.6","0.1","0.1%"
"151","Alfred Morris (ARI)","1","4","4.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"152","James Develin (NE)","2","3","1.5","2","0","0","0","0","0","0","0","0","2","0.3","0.2","0.0%"
"153","Lavon Coleman (GB)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"153","Jason Cabinda (DET)","0","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","1.1%"
"153","Trenton Cannon (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"153","Detrez Newsome (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"153","Justin Davis (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"153","Bryce Love (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"153","Trayveon Williams (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.0%"
"153","Jordan Chunn (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"153","Donnie Ernsberger (TB)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"153","Chandler Cox (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","13","0.0","0.0","0.0%"
"153","Rod Smith (OAK)","0","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"153","Alex Collins (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","19.0%"
"153","Kenneth Dixon (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"153","D.J. Foster (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"153","Michael Burton (WAS)","0","0","0","0","0","0","1","0","0","0","0","0","11","0.0","0.0","1.0%"
"153","Brandin Bryant (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","1.0%"
"153","Tre Madden (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"153","Jeremy McNichols (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.8%"
"153","Joe Williams (NO)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"153","Cethan Carter (CIN)","0","0","0","0","0","0","3","2","13","6.5","1","0","15","0.0","0.0","0.0%"
"153","J.P. Holtz (CHI)","0","0","0","0","0","0","8","7","91","13.0","0","0","15","0.0","0.0","0.0%"
"153","Cullen Gillaspia (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"153","Austin Walter (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"153","Andrew Beck (DEN)","1","3","3.0","3","0","0","12","9","90","10.0","1","0","16","0.0","0.0","0.2%"
"153","Craig Reynolds (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","1.1%"
"153","LeGarrette Blount (DET)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"153","Stevan Ridley (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"153","Chris Ivory (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"153","Jamaal Charles (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"153","Jonathan Stewart (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"153","David Fluellen (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"153","Derrick Coleman (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"153","Jeremy Hill (NE)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"153","Cameron Artis-Payne (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"153","Jeremy Langford (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"153","Robert Turbin (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"153","DuJuan Harris (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"153","Lamar Miller (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"153","Christine Michael (IND)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"153","Mike Gillislee (NO)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"153","Travaris Cadet (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"153","Jamize Olawale (DAL)","0","0","0","0","0","0","2","0","0","0","0","0","16","0.0","0.0","0.0%"
"195","Corey Clement (PHI)","0","0","0","0","0","0","0","0","0","0","0","2","4","-4.0","-1.0","0.0%"
""
""
