"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Justin Tucker (BAL)","37","43","86.0","58","0","13","11","4","9","31","32","17","164.0","9.6","0.8%"
"2","Daniel Carlson (LV)","34","37","91.9","57","0","9","11","3","11","35","36","17","162.0","9.5","1.0%"
"3","Brett Maher (DAL)","29","32","90.6","60","0","9","5","6","9","50","53","17","161.0","9.5","1.4%"
"4","Jason Myers (SEA)","34","37","91.9","56","0","9","15","4","6","41","42","17","159.0","9.4","90.0%"
"5","Younghoe Koo (ATL)","32","37","86.5","54","0","9","7","9","7","33","35","17","152.0","8.9","0.7%"
"6","Tyler Bass (BUF)","28","32","87.5","56","0","5","11","10","2","48","50","17","146.0","8.6","11.5%"
"6","Eddy Pineiro (CAR)","33","35","94.3","54","0","2","16","13","2","30","32","17","146.0","8.6","64.8%"
"6","Nick Folk (NE)","32","37","86.5","54","1","9","8","10","4","32","35","17","146.0","8.6","6.4%"
"9","Graham Gano (NYG)","29","32","90.6","57","0","2","9","10","8","32","34","17","145.0","8.5","1.0%"
"10","Robbie Gould (SF)","27","32","84.4","51","0","13","5","7","2","50","51","17","142.0","8.4","0.6%"
"11","Riley Patterson (JAC)","30","35","85.7","53","0","8","10","10","2","36","37","17","140.0","8.2","4.2%"
"12","Greg Zuerlein (NYJ)","30","37","81.1","60","0","5","10","9","6","28","29","17","139.0","8.2","1.4%"
"13","Chase McLaughlin (IND)","30","36","83.3","54","0","7","5","9","9","21","21","16","138.0","8.6","26.3%"
"14","Brandon McManus (DEN)","28","36","77.8","55","0","6","4","10","8","25","27","17","135.0","7.9","1.4%"
"14","Jason Sanders (MIA)","26","32","81.3","55","0","5","7","12","2","41","44","17","135.0","7.9","3.8%"
"16","Ryan Succop (TB)","31","38","81.6","54","0","10","7","12","2","24","25","17","133.0","7.8","1.0%"
"16","Greg Joseph (MIN)","26","33","78.8","61","0","10","5","7","4","40","46","17","133.0","7.8","0.6%"
"16","Matt Gay (LAR)","28","30","93.3","58","0","9","8","4","7","31","32","17","133.0","7.8","5.0%"
"19","Ka'imi Fairbairn (HOU)","29","31","93.5","56","0","7","7","9","6","24","24","17","132.0","7.8","87.6%"
"19","Evan McPherson (CIN)","24","29","82.8","59","1","5","4","9","5","41","45","17","132.0","7.8","40.3%"
"21","Jake Elliott (PHI)","20","23","87.0","56","0","6","8","1","5","51","53","16","122.0","7.6","7.9%"
"22","Cade York (CLE)","24","32","75.0","58","0","5","9","6","4","35","37","17","121.0","7.1","8.4%"
"23","Mason Crosby (GB)","25","29","86.2","56","0","10","8","6","1","37","39","17","120.0","7.1","0.6%"
"24","Michael Badgley (DET)","24","28","85.7","53","0","6","7","9","2","33","33","13","118.0","9.1","1.7%"
"25","Joey Slye (WAS)","25","30","83.3","58","1","8","4","8","4","24","28","17","115.0","6.8","3.0%"
"26","Wil Lutz (NO)","23","31","74.2","60","0","6","9","4","4","33","33","17","114.0","6.7","9.0%"
"27","Cairo Santos (CHI)","21","23","91.3","51","0","4","7","6","4","27","32","16","104.0","6.5","21.0%"
"28","Harrison Butker (KC)","18","24","75.0","62","0","7","4","4","3","38","41","13","102.0","7.8","40.5%"
"29","Matt Prater (ARI)","22","25","88.0","57","0","1","10","6","5","17","18","13","99.0","7.6","0.9%"
"30","Chris Boswell (PIT)","20","28","71.4","59","0","4","4","5","7","18","18","12","97.0","8.1","43.6%"
"31","Cameron Dicker (LAC)","21","22","95.5","48","0","7","7","7","0","24","24","11","94.0","8.5","94.1%"
"32","Randy Bullock (TEN)","17","20","85.0","51","0","5","5","6","1","28","28","16","87.0","5.4","1.0%"
"33","Matthew Wright (PIT)","15","18","83.3","59","0","1","6","6","2","15","15","6","70.0","11.7","0.6%"
"34","Dustin Hopkins (LAC)","9","10","90.0","43","0","2","6","1","0","12","12","5","40.0","8.0","0.6%"
"35","Austin Seibert (DET)","3","5","60.0","48","0","0","1","2","0","12","12","3","23.0","7.7","0.6%"
"36","Matt Ammendola (ARI)","5","7","71.4","31","1","3","1","0","0","5","7","4","20.0","5.0","1.9%"
"37","Rodrigo Blankenship (ARI)","4","5","80.0","50","0","2","0","1","1","4","5","3","19.0","6.3","0.7%"
"38","Taylor Bertolet (LAC)","3","3","100.0","28","0","3","0","0","0","6","6","3","15.0","5.0","0.0%"
"39","Caleb Shudak (TEN)","3","4","75.0","38","0","1","2","0","0","1","1","1","10.0","10.0","8.0%"
"39","Tristan Vizcaino (NE)","2","2","100.0","46","0","0","1","1","0","3","3","3","10.0","3.3","0.0%"
"41","Nick Sciba (PIT)","2","2","100.0","38","0","1","1","0","0","1","1","1","7.0","7.0","10.0%"
"42","Dominik Eberle (DET)","1","1","100.0","49","0","0","0","1","0","2","4","1","6.0","6.0","1.3%"
"43","Josh Lambo (TEN)","0","0","0","0","0","0","0","0","0","3","4","1","3.0","3.0","0.6%"
"44","Ramiz Ahmed (GB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"44","Quinn Nordin (NE)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","8.8%"
""
""
