"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Alvin Kamara (NO)","187","932","5.0","49","7","16","107","83","756","9.1","5","0","15","377.8","25.2","56.7%"
"2","Dalvin Cook (MIN)","312","1,557","5.0","70","6","16","54","44","361","8.2","1","3","14","337.8","24.1","0.6%"
"3","Derrick Henry (TEN)","378","2,027","5.4","94","16","17","31","19","114","6.0","0","2","16","333.1","20.8","98.7%"
"4","David Montgomery (CHI)","247","1,070","4.3","80","5","8","68","54","438","8.1","2","1","15","264.8","17.7","93.6%"
"5","Aaron Jones Sr. (GB)","201","1,104","5.5","77","6","9","63","47","355","7.6","2","0","14","258.9","18.5","87.5%"
"6","Jonathan Taylor (IND)","232","1,169","5.0","62","7","11","40","36","299","8.3","1","1","15","252.8","16.9","99.1%"
"7","James Robinson (JAC)","240","1,070","4.5","47","5","7","60","49","344","7.0","3","1","14","250.4","17.9","0.0%"
"8","Josh Jacobs (LV)","273","1,065","3.9","28","3","12","45","33","238","7.2","0","2","15","231.3","15.4","98.5%"
"9","Ezekiel Elliott (DAL)","244","979","4.0","31","3","6","71","52","338","6.5","2","5","15","223.7","14.9","1.5%"
"10","Kareem Hunt (CLE)","198","841","4.2","33","3","6","51","38","304","8.0","5","0","16","218.5","13.7","2.7%"
"11","Nick Chubb (CLE)","190","1,067","5.6","59","12","12","18","16","150","9.4","0","1","12","207.7","17.3","1.4%"
"12","Mike Davis (CAR)","165","642","3.9","25","2","6","70","59","373","6.3","2","1","15","206.5","13.8","1.0%"
"13","Antonio Gibson (WAS)","170","795","4.7","40","5","11","44","36","247","6.9","0","2","14","202.2","14.4","0.8%"
"14","Melvin Gordon III (DEN)","215","986","4.6","65","5","9","44","32","158","4.9","1","4","15","198.4","13.2","0.0%"
"15","Nyheim Miller-Hines (IND)","89","380","4.3","31","3","3","76","63","482","7.7","4","0","16","193.2","12.1","0.0%"
"16","Kenyan Drake (ARI)","239","955","4.0","69","6","10","31","25","137","5.5","0","1","15","192.2","12.8","1.1%"
"17","J.D. McKissic (WAS)","85","365","4.3","17","0","1","110","80","589","7.4","2","1","16","191.4","12.0","1.0%"
"18","D'Andre Swift (DET)","114","521","4.6","54","1","8","57","46","357","7.8","2","2","13","189.8","14.6","93.7%"
"19","Chris Carson (SEA)","141","681","4.8","29","3","5","46","37","287","7.8","4","0","12","187.8","15.7","0.3%"
"20","Ronald Jones II (TB)","192","978","5.1","98","6","7","42","28","165","5.9","1","2","14","186.3","13.3","0.0%"
"21","David Johnson (HOU)","147","691","4.7","48","4","6","46","33","314","9.5","2","1","12","179.5","15.0","0.0%"
"22","Clyde Edwards-Helaire (KC)","181","803","4.4","31","3","4","54","36","297","8.3","1","0","13","176.0","13.5","0.6%"
"23","Miles Sanders (PHI)","164","867","5.3","82","4","6","52","28","197","7.0","0","2","12","170.4","14.2","0.7%"
"24","J.K. Dobbins (BAL)","134","805","6.0","72","8","9","24","18","120","6.7","0","0","15","168.5","11.2","87.9%"
"25","Chase Edmonds (ARI)","97","448","4.6","32","4","1","67","53","402","7.6","4","0","16","168.0","10.5","0.0%"
"26","Austin Ekeler (LAC)","116","530","4.6","27","2","1","65","54","403","7.5","2","0","10","165.3","16.5","2.6%"
"27","James Conner (PIT)","169","721","4.3","59","5","6","43","35","215","6.1","0","0","13","164.6","12.7","37.7%"
"28","Myles Gaskin (MIA)","142","584","4.1","26","3","3","47","41","388","9.5","2","2","10","164.2","16.4","0.0%"
"29","Todd Gurley II (ATL)","195","678","3.5","35","2","9","35","25","164","6.6","0","0","15","163.2","10.9","0.6%"
"30","Giovani Bernard (CIN)","124","416","3.4","15","0","3","59","47","355","7.6","3","1","16","158.1","9.9","0.0%"
"31","Devin Singletary (BUF)","156","687","4.4","51","3","2","50","38","269","7.1","0","1","16","143.6","9.0","2.9%"
"32","Jeff Wilson Jr. (SF)","126","600","4.8","34","3","7","28","13","133","10.2","3","2","12","142.3","11.9","1.0%"
"33","Wayne Gallman Jr. (NYG)","147","682","4.6","60","3","6","27","21","114","5.4","0","0","15","136.6","9.1","0.0%"
"34","Latavius Murray (NO)","146","656","4.5","36","3","4","26","23","176","7.7","1","0","15","136.2","9.1","0.0%"
"35","Leonard Fournette (TB)","97","367","3.8","46","3","6","47","36","233","6.5","0","0","13","132.0","10.2","0.1%"
"36","Darrell Henderson Jr. (LAR)","138","624","4.5","40","3","5","24","16","159","9.9","1","0","15","130.3","8.7","0.0%"
"37","Gus Edwards (BAL)","144","723","5.0","36","8","6","13","9","129","14.3","0","1","16","128.2","8.0","1.0%"
"38","Jamaal Williams (GB)","119","505","4.2","25","1","2","35","31","236","7.6","1","0","14","127.1","9.1","2.0%"
"39","Jerick McKinnon (SF)","81","319","3.9","55","1","5","46","33","253","7.7","1","0","16","126.2","7.9","0.0%"
"40","Adrian Peterson (DET)","156","604","3.9","38","4","7","18","12","101","8.4","0","0","16","124.5","7.8","1.9%"
"41","Tony Pollard (DAL)","101","435","4.3","42","4","4","40","28","193","6.9","1","0","16","120.8","7.6","89.5%"
"42","James White (NE)","35","121","3.5","10","0","2","62","49","375","7.7","1","0","14","116.6","8.3","0.1%"
"43","Malcolm Brown (LAR)","101","419","4.1","19","0","5","33","23","162","7.0","0","1","16","109.1","6.8","0.0%"
"44","Rex Burkhead (NE)","67","274","4.1","18","0","3","33","25","192","7.7","3","0","10","107.6","10.8","10.0%"
"45","Cam Akers (LAR)","145","625","4.3","61","4","2","14","11","123","11.2","1","1","12","101.8","8.5","0.6%"
"46","Zack Moss (BUF)","112","481","4.3","31","4","4","18","14","95","6.8","1","0","13","101.6","7.8","1.6%"
"47","Frank Gore (NYJ)","187","653","3.5","17","0","2","19","16","89","5.6","0","1","15","100.2","6.7","8.4%"
"48","Raheem Mostert (SF)","104","521","5.0","80","2","2","19","16","156","9.8","1","1","8","99.7","12.5","0.7%"
"49","Joe Mixon (CIN)","119","428","3.6","34","3","3","26","21","138","6.6","1","1","6","99.6","16.6","15.1%"
"50","Boston Scott (PHI)","80","374","4.7","56","2","1","36","25","212","8.5","1","0","16","95.6","6.0","0.0%"
"51","Brian Hill (ATL)","100","465","4.7","62","3","1","30","25","199","8.0","0","1","16","95.4","6.0","0.0%"
