"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"52","Kalen Ballage (LAC)","91","303","3.3","17","0","3","37","29","166","5.7","0","0","11","93.9","8.5","0.0%"
"53","Damien Harris (NE)","137","691","5.0","41","4","2","7","5","52","10.4","0","0","10","91.3","9.1","9.0%"
"54","Christian McCaffrey (CAR)","59","225","3.8","15","0","5","19","17","149","8.8","1","0","3","90.4","30.1","99.4%"
"55","Alexander Mattison (MIN)","96","434","4.5","25","4","2","15","13","125","9.6","1","0","13","86.9","6.7","0.6%"
"56","Devontae Booker (LV)","93","423","4.5","43","4","3","21","17","84","4.9","0","0","16","85.7","5.4","0.0%"
"57","Carlos Hyde (SEA)","81","356","4.4","50","2","4","20","16","93","5.8","0","0","10","84.9","8.5","0.0%"
"58","Duke Johnson Jr. (HOU)","77","235","3.1","23","1","1","35","28","249","8.9","1","2","11","84.4","7.7","0.0%"
"59","Kyle Juszczyk (SF)","17","64","3.8","10","0","2","29","19","202","10.6","4","0","16","81.6","5.1","1.4%"
"60","Joshua Kelley (LAC)","111","354","3.2","33","3","2","23","23","148","6.4","0","2","14","81.2","5.8","0.0%"
"61","Sony Michel (NE)","79","449","5.7","48","4","1","9","7","114","16.3","1","0","9","75.3","8.4","0.0%"
"62","Benny Snell Jr. (PIT)","111","368","3.3","30","3","4","14","10","61","6.1","0","1","16","74.9","4.7","0.0%"
"63","Le'Veon Bell (KC)","82","328","4.0","16","0","2","20","16","138","8.6","0","0","11","74.6","6.8","0.2%"
"64","Kerryon Johnson (DET)","52","181","3.5","14","0","2","26","19","187","9.8","1","1","16","71.8","4.5","1.0%"
"65","Salvon Ahmed (MIA)","75","319","4.3","31","1","3","14","11","61","5.5","0","0","6","69.0","11.5","0.0%"
"66","Phillip Lindsay (DEN)","118","502","4.3","55","6","1","14","7","28","4.0","0","0","11","66.0","6.0","0.0%"
"67","Samaje Perine (CIN)","63","301","4.8","46","1","3","12","11","66","6.0","0","0","16","65.7","4.1","4.5%"
"68","Justin Jackson (LAC)","59","270","4.6","36","3","0","24","19","173","9.1","0","0","9","65.3","7.3","0.0%"
"69","Ty Johnson (NYJ)","54","254","4.7","34","1","1","21","16","99","6.2","1","0","13","63.3","4.9","5.9%"
"70","Jordan Wilkins (IND)","84","308","3.7","22","1","1","16","12","105","8.8","0","0","15","61.3","4.1","0.0%"
"71","Ito Smith (ATL)","63","268","4.3","24","1","1","26","17","75","4.4","0","0","14","57.3","4.1","1.0%"
"72","Dion Lewis (NYG)","29","115","4.0","19","0","2","30","19","127","6.7","1","2","16","57.2","3.6","2.0%"
"73","DeeJay Dallas (SEA)","34","108","3.2","13","0","2","20","17","111","6.5","1","0","12","56.9","4.7","0.1%"
"74","Cordarrelle Patterson (CHI)","64","232","3.6","13","0","1","25","21","132","6.3","0","0","16","56.5","3.5","1.0%"
"75","Peyton Barber (WAS)","94","258","2.7","15","0","4","7","4","12","3.0","0","0","16","55.0","3.4","1.0%"
"76","Darrel Williams (KC)","39","169","4.3","13","0","1","26","18","116","6.4","0","0","16","54.5","3.4","0.0%"
"77","Mark Ingram II (BAL)","72","299","4.2","30","2","2","8","6","50","8.3","0","0","11","52.9","4.8","2.1%"
"78","La'Mical Perine (NYJ)","64","232","3.6","20","1","2","15","11","63","5.7","0","0","10","52.5","5.3","0.0%"
"79","Jalen Richard (LV)","22","123","5.6","20","1","1","23","19","138","7.3","0","0","13","51.1","3.9","1.0%"
"80","Jeremy McNichols (TEN)","47","204","4.3","20","1","1","17","12","55","4.6","0","0","16","43.9","2.7","0.8%"
"81","Chris Thompson (JAC)","7","20","2.9","5","0","0","23","20","146","7.3","1","0","8","42.6","5.3","0.0%"
"82","Matt Breida (MIA)","59","254","4.3","24","1","0","10","9","96","10.7","0","1","12","42.0","3.5","0.0%"
"83","Alfred Morris (NYG)","55","238","4.3","20","1","1","4","3","19","6.3","1","0","9","40.7","4.5","0.0%"
"84","AJ Dillon (GB)","46","242","5.3","30","2","2","2","2","21","10.5","0","0","11","40.3","3.7","0.6%"
"85","Royce Freeman (DEN)","35","170","4.9","23","2","0","13","12","81","6.8","0","0","16","37.1","2.3","0.0%"
"86","Josh Adams (NYJ)","29","157","5.4","25","1","2","8","6","29","4.8","0","0","8","36.6","4.6","0.0%"
"87","Rodney Smith (CAR)","41","156","3.8","13","0","1","11","9","59","6.6","0","0","7","36.5","5.2","0.0%"
"88","Devonta Freeman (NYG)","54","172","3.2","14","0","1","10","7","58","8.3","0","0","5","36.0","7.2","0.0%"
"89","Darwin Thompson (KC)","27","97","3.6","14","0","1","11","7","65","9.3","1","1","13","33.2","2.6","0.0%"
"90","Travis Homer (SEA)","25","88","3.5","12","0","0","10","9","90","10.0","1","0","9","32.8","3.6","0.6%"
"91","JaMycal Hasty (SF)","39","148","3.8","20","1","1","8","7","33","4.7","0","0","8","31.1","3.9","1.1%"
"92","Jordan Howard (PHI)","35","60","1.7","11","0","4","1","1","-3","-3.0","0","0","7","30.7","4.4","0.0%"
"93","Ameer Abdullah (MIN)","8","42","5.3","13","0","0","9","8","58","7.3","2","0","16","30.0","1.9","0.6%"
"94","Dare Ogunbowale (JAC)","32","145","4.5","25","1","0","20","10","54","5.4","0","0","14","29.9","2.1","1.0%"
"95","Alec Ingold (LV)","3","4","1.3","3","0","0","17","12","110","9.2","1","0","16","29.4","1.8","0.6%"
"96","LeSean McCoy (TB)","10","31","3.1","14","0","0","19","15","101","6.7","0","0","10","28.2","2.8","2.0%"
"97","Tyler Ervin (GB)","13","67","5.2","21","1","0","15","11","84","7.6","0","0","8","26.1","3.3","0.0%"
"98","C.J. Ham (MIN)","5","18","3.6","10","0","0","14","8","97","12.1","1","0","15","25.5","1.7","1.0%"
"99","Ke'Shawn Vaughn (TB)","26","109","4.2","19","0","0","10","5","34","6.8","1","1","10","23.3","2.3","0.0%"
"100","Anthony McFarland Jr. (PIT)","33","113","3.4","20","1","0","10","6","54","9.0","0","0","11","22.7","2.1","1.1%"
"101","Patrick Laird (MIA)","13","72","5.5","17","0","0","12","10","68","6.8","0","1","16","22.0","1.4","0.0%"
"102","Trayveon Williams (CIN)","26","157","6.0","55","1","0","5","5","30","6.0","0","1","10","21.7","2.2","0.0%"
"103","Antonio Williams (BUF)","12","63","5.3","18","0","2","1","1","20","20.0","0","0","1","21.3","21.3","7.5%"
"104","Alex Collins (SEA)","18","77","4.3","13","0","2","2","1","4","4.0","0","0","3","21.1","7.0","19.0%"
"105","Corey Clement (PHI)","21","75","3.6","7","0","1","6","5","25","5.0","0","0","15","21.0","1.4","0.0%"
"105","D'Ernest Johnson (CLE)","33","166","5.0","28","3","0","4","3","14","4.7","0","0","16","21.0","1.3","1.0%"
"107","Ryan Nall (CHI)","3","0","0.0","0","0","0","9","8","67","8.4","1","0","15","20.7","1.4","0.0%"
"108","Gabe Nabers (LAC)","2","7","3.5","4","0","0","7","5","25","5.0","2","0","16","20.2","1.3","0.6%"
"109","Troymaine Pope (LAC)","15","76","5.1","26","1","0","10","8","42","5.3","0","0","6","19.8","3.3","0.0%"
"110","Keith Smith (ATL)","4","7","1.8","3","0","0","15","11","59","5.4","0","0","16","17.6","1.1","0.0%"
"111","Jakob Johnson (NE)","0","0","0","0","0","0","9","8","35","4.4","1","0","16","17.5","1.1","0.0%"
"111","Tarik Cohen (CHI)","14","74","5.3","17","0","0","9","6","41","6.8","0","0","3","17.5","5.8","0.0%"
"113","Patrick Ricard (BAL)","1","-1","-1.0","0","0","0","12","9","45","5.0","1","1","15","17.4","1.2","0.8%"
"114","DeAndre Washington (MIA)","31","91","2.9","16","0","0","10","5","30","6.0","0","0","4","17.1","4.3","11.0%"
"115","D'Onta Foreman (TEN)","22","95","4.3","15","0","0","1","1","5","5.0","1","0","6","17.0","2.8","2.7%"
"116","Reggie Bonnafon (CAR)","12","69","5.8","22","1","0","2","2","18","9.0","1","0","2","16.7","8.4","0.0%"
"117","Jaylen Samuels (PIT)","9","28","3.1","6","0","0","14","9","46","5.1","0","0","14","16.4","1.2","0.0%"
"118","T.J. Yeldon (BUF)","10","70","7.0","34","1","0","4","1","22","22.0","1","0","3","16.2","5.4","0.0%"
"119","Darrynton Evans (TEN)","14","54","3.9","9","0","0","4","2","27","13.5","1","0","5","16.1","3.2","0.0%"
"120","Ty Montgomery II (NO)","19","101","5.3","36","1","0","6","3","27","9.0","0","0","6","15.8","2.6","0.0%"
"121","Saquon Barkley (NYG)","19","34","1.8","18","0","0","9","6","60","10.0","0","0","2","15.4","7.7","99.2%"
"122","Mike Boone (MIN)","11","59","5.4","19","0","1","2","2","10","5.0","0","0","16","14.9","0.9","1.0%"
"123","Devine Ozigbo (JAC)","1","1","1.0","1","0","0","9","9","42","4.7","0","0","8","13.3","1.7","1.0%"
"124","Justice Hill (BAL)","12","60","5.0","19","0","0","5","5","20","4.0","0","0","12","13.0","1.1","10.4%"
"125","C.J. Prosise (HOU)","10","19","1.9","7","0","0","5","5","18","3.6","1","1","10","12.7","1.3","0.0%"
"125","Tevin Coleman (SF)","28","53","1.9","12","0","0","5","4","34","8.5","0","0","8","12.7","1.6","0.0%"
"127","J.J. Taylor (NE)","23","110","4.8","28","1","0","2","1","4","4.0","0","0","6","12.4","2.1","1.0%"
"128","Theo Riddick (LV)","6","14","2.3","11","0","0","6","5","43","8.6","0","0","5","10.7","2.1","0.0%"
"129","Reggie Gilliam (BUF)","0","0","0","0","0","0","2","2","16","8.0","1","0","14","9.6","0.7","0.2%"
"130","Artavis Pierce (CHI)","6","34","5.7","23","1","1","0","0","0","0","0","0","5","9.4","1.9","0.0%"
"131","Michael Burton (NO)","7","18","2.6","7","0","0","4","4","28","7.0","0","0","15","8.6","0.6","1.0%"
"131","Marlon Mack (IND)","4","26","6.5","18","0","0","3","3","30","10.0","0","0","1","8.6","8.6","0.0%"
"133","Anthony Sherman (KC)","3","8","2.7","6","0","0","2","1","5","5.0","1","0","12","8.3","0.7","5.3%"
"134","Jonathan Ward (ARI)","0","0","0","0","0","0","1","1","11","11.0","1","0","14","8.1","0.6","0.0%"
"135","Khari Blasingame (TEN)","0","0","0","0","0","0","5","4","39","9.8","0","0","15","7.9","0.5","0.0%"
"135","Trenton Cannon (CAR)","10","33","3.3","13","0","0","3","3","16","5.3","0","0","14","7.9","0.6","0.0%"
"137","Alex Armah Jr. (CAR)","6","9","1.5","3","0","0","9","5","18","3.6","0","0","16","7.7","0.5","0.0%"
"137","Buddy Howell (HOU)","16","64","4.0","9","0","0","2","1","3","3.0","0","0","14","7.7","0.6","0.0%"
"139","Dontrell Hilliard (HOU)","9","48","5.3","19","0","0","1","1","2","2.0","0","0","7","6.0","0.9","0.0%"
"140","Elijhaa Penny (NYG)","6","15","2.5","5","0","0","3","2","20","10.0","0","0","14","5.5","0.4","0.0%"
"141","Jonathan Williams (DET)","1","5","5.0","5","0","0","4","4","21","5.3","0","1","5","4.6","0.9","0.0%"
"142","Austin Walter (SF)","1","3","3.0","3","0","0","1","1","27","27.0","0","0","4","4.0","1.0","0.0%"
"143","Andy Janovich (CLE)","2","4","2.0","2","0","0","5","2","13","6.5","0","0","14","3.7","0.3","0.0%"
"144","Rashaad Penny (SEA)","11","34","3.1","7","0","0","0","0","0","0","0","0","3","3.4","1.1","0.0%"
"145","Bo Scarbrough (SEA)","6","31","5.2","12","0","0","0","0","0","0","0","0","1","3.1","3.1","0.0%"
"146","Chandler Cox (MIA)","0","0","0","0","0","0","2","2","9","4.5","0","0","8","2.9","0.4","0.0%"
"146","Jason Huntley (PHI)","5","19","3.8","10","0","0","2","1","0","0.0","0","0","5","2.9","0.6","0.0%"
"148","LeVante Bellamy (DEN)","4","11","2.8","8","0","0","1","1","5","5.0","0","0","5","2.6","0.5","0.0%"
"148","Lamar Miller (CHI)","0","0","0","0","0","0","2","2","6","3.0","0","0","1","2.6","2.6","0.0%"
"148","Scottie Phillips (HOU)","2","9","4.5","5","0","0","1","1","7","7.0","0","0","8","2.6","0.3","0.0%"
"151","Rico Dowdle (DAL)","7","24","3.4","7","0","0","0","0","0","0","0","0","15","2.4","0.2","90.2%"
"152","D.J. Foster (ARI)","2","2","1.0","2","0","0","1","1","7","7.0","0","0","10","1.9","0.2","0.0%"
"153","Craig Reynolds (JAC)","1","4","4.0","4","0","0","1","1","3","3.0","0","0","2","1.7","0.9","1.1%"
"154","Cullen Gillaspia (HOU)","0","0","0","0","0","0","1","1","6","6.0","0","0","7","1.6","0.2","0.0%"
"155","Dwayne Washington (NO)","8","15","1.9","5","0","0","0","0","0","0","0","0","11","1.5","0.1","0.0%"
"156","Tony Jones Jr. (NO)","3","13","4.3","6","0","0","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"157","Senorise Perry (TEN)","2","9","4.5","6","0","0","0","0","0","0","0","0","7","0.9","0.1","0.0%"
"158","Dexter Williams (GB)","2","8","4.0","5","0","0","0","0","0","0","0","0","3","0.8","0.3","0.0%"
"159","Tony Brooks-James (ATL)","3","4","1.3","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"160","Qadree Ollison (ATL)","1","3","3.0","3","0","0","0","0","0","0","0","0","3","0.3","0.1","0.0%"
"161","Cethan Carter (CIN)","0","0","0","0","0","0","7","5","53","10.6","0","0","15","0.0","0.0","0.0%"
"161","J.P. Holtz (CHI)","0","0","0","0","0","0","1","0","0","0","0","0","16","0.0","0.0","0.0%"
"161","Brandin Bryant (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"161","Jason Cabinda (DET)","1","0","0.0","0","0","0","3","2","8","4.0","0","0","16","0.0","0.0","1.1%"
"161","Trey Edmunds (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"161","Wendell Smallwood (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"161","Derek Watt (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"161","Nathan Cottrell (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"161","Jake Bargas (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"161","Andrew Beck (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","10","0.0","0.0","0.2%"
"161","Elijah Holyfield (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"161","Johnny Stanton IV (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"161","Xavier Jones (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","13","0.0","0.0","0.0%"
"161","Adrian Killins Jr. (PHI)","1","-12","-12.0","0","0","0","1","1","2","2.0","0","0","1","0.0","0.0","0.0%"
"161","Raymond Calais (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"161","Sewo Olonilua (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"161","Kirk Merritt (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"161","Darius Bradwell (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"161","John Lovett (GB)","3","6","2.0","4","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"161","Jeremy Cox (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"161","Michael Warren II (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.4%"
"161","Javon Leake (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"161","Taiwan Jones (BUF)","0","0","0","0","0","0","2","0","0","0","0","0","13","0.0","0.0","1.1%"
"161","Bruce Miller (JAC)","0","0","0","0","0","0","2","1","2","2.0","0","0","8","0.0","0.0","6.1%"
"161","Kenjon Barner (TB)","0","0","0","0","0","0","1","0","0","0","0","0","6","0.0","0.0","0.0%"
""
""
