"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"109","Adam Humphries (TEN)","35","7.5","23","228","9.9","2","2","1","0","0","0","7","57.8","8.3","0.0%"
"110","Steven Sims Jr. (WAS)","37","6.3","27","265","9.8","3","1","1","18","0","2","12","57.3","4.8","0.0%"
"111","Julian Edelman (NE)","39","9.2","21","315","15.0","3","0","2","22","0","0","6","56.2","9.4","8.4%"
"112","Isaiah Ford (MIA)","44","8","28","276","9.9","0","0","0","0","0","0","10","55.6","5.6","0.0%"
"113","Andy Isabella (ARI)","35","6.7","21","224","10.7","3","2","1","-6","0","0","13","54.8","4.2","0.0%"
"114","Lynn Bowden Jr. (MIA)","37","6.7","28","211","7.5","1","0","9","32","0","0","10","53.6","5.4","0.0%"
"115","Olamide Zaccheaus (ATL)","32","5.4","20","274","13.7","2","1","1","0","0","0","11","53.4","4.9","4.7%"
"116","Devin Duvernay (BAL)","26","7","20","201","10.1","1","0","4","70","0","0","16","53.1","3.3","0.6%"
"117","Cedrick Wilson Jr. (DAL)","28","4.6","17","189","11.1","2","2","3","-12","0","0","16","51.6","3.2","1.1%"
"118","Chad Beebe (MIN)","30","6","20","201","10.1","1","2","0","0","0","1","14","50.1","3.6","0.0%"
"119","Deonte Harty (NO)","25","5","20","186","9.3","1","1","6","51","0","1","9","47.7","5.3","0.0%"
"120","Van Jefferson (LAR)","31","5.7","19","220","11.6","2","1","1","-1","0","0","16","46.9","2.9","1.0%"
"121","Chad Hansen (HOU)","24","4.6","17","236","13.9","3","1","0","0","0","0","5","46.6","9.3","0.0%"
"122","Isaiah Wright (WAS)","35","6.1","27","197","7.3","1","0","3","16","0","1","14","46.3","3.3","0.0%"
"122","Dontrelle Inman (WAS)","28","5","18","163","9.1","0","2","0","0","0","0","10","46.3","4.6","0.0%"
"124","DeSean Jackson (PHI)","26","4.7","14","236","16.9","3","1","1","12","0","0","5","44.8","9.0","0.6%"
"125","Mohamed Sanu Sr. (DET)","24","4.4","17","187","11.0","3","1","1","3","0","0","10","44.0","4.4","0.0%"
"126","Marquez Callaway (NO)","27","5.4","21","213","10.1","1","0","0","0","0","0","11","42.3","3.8","0.0%"
"127","Byron Pringle (KC)","17","2.9","13","160","12.3","3","1","0","0","0","0","12","41.0","3.4","0.0%"
"128","Freddie Swain (SEA)","21","4.1","13","159","12.2","3","2","0","0","0","0","16","40.9","2.6","0.0%"
"128","Tyler Johnson (TB)","17","3","12","169","14.1","3","2","0","0","0","0","14","40.9","2.9","1.1%"
"130","Marcus Johnson (IND)","28","5.3","14","255","18.2","6","0","0","0","0","0","11","39.5","3.6","0.0%"
"131","Mack Hollins (MIA)","25","4.5","16","176","11.0","2","1","0","0","0","1","16","37.6","2.4","6.8%"
