"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Travis Kelce (KC)","136","24.2","97","1,229","12.7","13","5","1","4","1","1","16","254.3","15.9","91.9%"
"2","George Kittle (SF)","107","22.8","85","1,053","12.4","16","5","5","22","0","0","14","222.5","15.9","92.0%"
"3","Darren Waller (OAK)","117","23.5","90","1,145","12.7","14","3","2","5","0","1","16","221.0","13.8","4.1%"
"4","Zach Ertz (PHI)","135","22.5","88","916","10.4","12","6","0","0","0","1","15","215.6","14.4","3.8%"
"5","Mark Andrews (BAL)","98","23.2","64","852","13.3","16","10","0","0","0","1","15","207.2","13.8","85.5%"
"6","Austin Hooper (ATL)","97","15","75","787","10.5","8","6","0","0","0","0","13","191.7","14.7","1.9%"
"7","Jared Cook (NO)","65","11.8","43","705","16.4","15","9","0","0","0","0","14","167.5","12.0","0.0%"
"8","Tyler Higbee (LAR)","89","14.7","69","734","10.6","11","3","0","0","0","0","15","160.4","10.7","5.2%"
"9","Hunter Henry (LAC)","76","13.1","55","652","11.9","8","5","0","0","0","1","12","150.2","12.5","64.6%"
"10","Dallas Goedert (PHI)","87","14.5","58","607","10.5","8","5","0","0","0","2","15","144.7","9.6","89.9%"
"11","Jason Witten (DAL)","83","14.5","63","529","8.4","2","4","0","0","0","1","16","139.9","8.7","1.0%"
"12","Mike Gesicki (MIA)","89","14.9","51","570","11.2","7","5","0","0","0","1","16","136.0","8.5","17.7%"
"13","Greg Olsen (CAR)","82","13.7","52","597","11.5","6","2","0","0","0","0","14","123.7","8.8","7.0%"
"14","Kyle Rudolph (MIN)","48","10.9","39","367","9.4","3","6","0","0","0","0","16","113.7","7.1","1.9%"
"15","Jack Doyle (IND)","72","14.5","43","448","10.4","4","4","0","0","0","0","16","111.8","7.0","2.0%"
"16","Noah Fant (DEN)","66","13.4","40","562","14.1","10","3","3","-12","0","1","16","111.0","6.9","3.6%"
"17","Darren Fells (HOU)","48","9.6","34","341","10.0","2","7","0","0","0","0","16","110.1","6.9","0.0%"
"18","Evan Engram (NYG)","68","11.7","44","467","10.6","4","3","3","7","0","0","8","109.4","13.7","17.5%"
"19","Tyler Eifert (CIN)","63","10.9","43","436","10.1","4","3","0","0","0","0","16","106.6","6.7","0.0%"
"20","Jonnu Smith (TEN)","44","10.3","35","439","12.5","8","3","4","78","0","0","16","104.7","6.5","5.9%"
"21","Taysom Hill (NO)","22","4.2","19","234","12.3","5","6","27","156","1","0","16","102.2","6.4","0.8%"
"22","Jimmy Graham (GB)","60","11.1","38","447","11.8","7","3","0","0","0","0","16","100.7","6.3","0.1%"
"23","Ryan Griffin (NYJ)","41","8.2","34","320","9.4","4","5","0","0","0","0","13","98.0","7.5","0.0%"
"24","Jacob Hollister (SEA)","59","11.8","41","349","8.5","3","3","0","0","0","0","11","93.9","8.5","1.0%"
