"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Christian McCaffrey (SF)","272","1,459","5.4","72","9","14","83","67","564","8.4","7","2","16","391.3","24.5","99.4%"
"2","Breece Hall (NYJ)","223","994","4.5","83","7","5","95","76","591","7.8","4","0","17","290.5","17.1","97.4%"
"3","Travis Etienne Jr. (JAC)","267","1,008","3.8","62","6","11","73","58","476","8.2","1","0","17","282.4","16.6","96.9%"
"4","Rachaad White (TB)","272","990","3.6","38","3","6","70","64","549","8.6","3","2","17","267.9","15.8","77.7%"
"5","Raheem Mostert (MIA)","209","1,012","4.8","49","7","18","32","25","175","7.0","3","1","15","267.7","17.8","0.7%"
"6","Joe Mixon (CIN)","257","1,034","4.0","44","3","9","64","52","376","7.2","3","0","17","267.0","15.7","15.1%"
"7","Kyren Williams (LAR)","228","1,144","5.0","56","7","12","48","32","206","6.4","3","2","12","255.0","21.3","98.0%"
"8","Derrick Henry (TEN)","280","1,167","4.2","69","5","12","36","28","214","7.6","0","0","17","246.7","14.5","98.7%"
"9","Bijan Robinson (ATL)","214","976","4.6","38","7","4","86","58","487","8.4","4","3","17","246.3","14.5","99.1%"
"10","Jahmyr Gibbs (DET)","182","945","5.2","36","10","10","71","52","316","6.1","1","1","15","242.1","16.1","99.2%"
"11","Alvin Kamara (NO)","180","694","3.9","17","0","5","86","75","466","6.2","1","0","13","233.0","17.9","56.7%"
"12","James Cook III (BUF)","237","1,122","4.7","42","6","2","54","44","445","10.1","4","2","17","232.7","13.7","99.3%"
"13","Saquon Barkley (NYG)","247","962","3.9","36","7","6","60","41","280","6.8","4","2","14","223.2","15.9","99.2%"
"14","Tony Pollard (DAL)","252","1,005","4.0","31","6","6","67","55","311","5.7","0","1","17","222.6","13.1","89.5%"
"15","Isiah Pacheco (KC)","205","935","4.6","48","6","7","49","44","244","5.5","2","1","14","213.9","15.3","57.4%"
"16","Jerome Ford (CLE)","204","813","4.0","69","5","4","63","44","319","7.3","5","1","17","211.2","12.4","5.4%"
"17","David Montgomery (DET)","219","1,015","4.6","75","4","13","24","16","117","7.3","0","1","14","207.2","14.8","93.6%"
"18","James Conner (ARI)","208","1,040","5.0","44","11","7","33","27","165","6.1","2","0","13","201.5","15.5","37.7%"
"19","Kenneth Walker III (SEA)","219","905","4.1","45","7","8","37","29","259","8.9","1","0","15","199.4","13.3","99.0%"
"20","D'Andre Swift (PHI)","229","1,049","4.6","43","6","5","49","39","214","5.5","1","1","16","199.3","12.5","93.7%"
"21","Brian Robinson Jr. (WAS)","178","733","4.1","29","4","5","43","36","368","10.2","4","2","15","198.1","13.2","37.8%"
"22","Jaylen Warren (PIT)","149","784","5.3","74","6","4","74","61","370","6.1","0","2","17","196.4","11.6","91.1%"
"23","Najee Harris (PIT)","255","1,035","4.1","25","8","8","38","29","170","5.9","0","1","17","195.5","11.5","14.8%"
"24","De'Von Achane (MIA)","103","800","7.8","76","8","8","37","27","197","7.3","3","1","11","190.7","17.3","99.1%"
"25","Gus Edwards (BAL)","198","810","4.1","42","6","13","13","12","180","15.0","0","2","17","187.0","11.0","1.0%"
"26","Austin Ekeler (LAC)","179","628","3.5","55","3","5","74","51","436","8.5","1","4","14","185.4","13.2","2.6%"
"27","Chuba Hubbard (CAR)","238","902","3.8","22","4","5","44","39","233","6.0","0","0","17","182.5","10.7","92.7%"
"28","Josh Jacobs (LV)","233","805","3.5","63","3","6","54","37","296","8.0","0","1","13","181.1","13.9","98.5%"
"29","Javonte Williams (DEN)","217","774","3.6","31","2","3","58","47","228","4.9","2","1","16","179.2","11.2","97.1%"
"30","Ezekiel Elliott (NE)","184","642","3.5","17","0","3","65","51","313","6.1","2","1","17","174.5","10.3","1.5%"
"31","Zack Moss (IND)","183","794","4.3","56","6","5","37","27","192","7.1","2","0","14","169.6","12.1","1.6%"
"32","Devin Singletary (HOU)","216","898","4.2","34","3","4","38","30","193","6.4","0","0","17","167.3","9.8","2.9%"
"33","Jonathan Taylor (IND)","169","741","4.4","49","4","7","23","19","153","8.1","1","0","10","156.4","15.6","99.1%"
"34","Tyjae Spears (TEN)","100","453","4.5","23","3","2","70","52","385","7.4","1","0","17","153.8","9.0","55.3%"
"35","Rhamondre Stevenson (NE)","156","619","4.0","64","1","4","51","38","238","6.3","0","1","12","145.7","12.1","90.1%"
"36","Tyler Allgeier (ATL)","186","683","3.7","31","2","4","23","18","193","10.7","1","0","17","137.6","8.1","55.2%"
"37","Aaron Jones Sr. (GB)","142","656","4.6","39","3","2","43","30","233","7.8","1","1","11","134.9","12.3","87.5%"
"38","Alexander Mattison (MIN)","180","700","3.9","21","1","0","44","30","192","6.4","3","2","16","133.2","8.3","0.6%"
"39","Antonio Gibson (WAS)","65","265","4.1","16","0","1","59","48","389","8.1","2","2","16","127.4","8.0","0.8%"
"40","Samaje Perine (DEN)","53","238","4.5","24","1","1","56","50","455","9.1","0","2","17","121.3","7.1","4.5%"
"41","Kareem Hunt (CLE)","135","411","3.0","16","0","9","21","15","84","5.6","0","0","15","118.5","7.9","2.7%"
"42","AJ Dillon (GB)","178","613","3.4","40","1","2","28","22","223","10.1","0","0","15","117.6","7.8","0.6%"
"43","Khalil Herbert (CHI)","132","611","4.6","38","5","2","31","20","134","6.7","1","1","12","112.5","9.4","1.1%"
"44","Justice Hill (BAL)","84","387","4.6","41","2","3","39","28","206","7.4","1","1","16","109.3","6.8","10.4%"
"45","Zach Charbonnet (SEA)","108","462","4.3","23","4","1","40","33","209","6.3","0","0","16","106.1","6.6","71.9%"
"46","Jaleel McLaughlin (DEN)","76","410","5.4","38","4","1","36","31","160","5.2","2","0","17","106.0","6.2","1.2%"
"47","Roschon Johnson (CHI)","81","352","4.3","29","2","2","40","34","209","6.1","0","0","15","102.1","6.8","0.7%"
"48","Ty Chandler (MIN)","102","461","4.5","31","3","3","25","21","159","7.6","0","0","16","101.0","6.3","0.6%"
"49","Kenneth Gainwell (PHI)","84","364","4.3","32","3","2","37","30","183","6.1","0","1","16","97.4","6.1","86.2%"
"50","Rico Dowdle (DAL)","89","361","4.1","21","2","2","22","17","144","8.5","2","0","16","91.5","5.7","90.2%"
"51","D'Onta Foreman (CHI)","109","425","3.9","22","1","4","16","11","77","7.0","1","0","9","91.2","10.1","2.7%"
