"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Travis Kelce (KC)","145","23.7","105","1,416","13.5","23","11","0","0","0","1","15","312.8","20.9","91.9%"
"2","Darren Waller (LV)","145","27.8","107","1,196","11.2","16","9","0","0","0","2","16","278.6","17.4","4.1%"
"3","Logan Thomas (WAS)","110","19.2","72","670","9.3","5","6","3","5","0","0","16","176.6","11.0","0.0%"
"3","Robert Tonyan (GB)","59","11.8","52","586","11.3","9","11","0","0","0","0","16","176.6","11.0","0.0%"
"5","T.J. Hockenson (DET)","101","18.1","67","723","10.8","6","6","1","0","0","1","16","175.3","11.0","61.2%"
"6","Mark Andrews (BAL)","88","22.5","58","701","12.1","10","7","0","0","0","0","14","170.1","12.2","85.5%"
"7","Mike Gesicki (MIA)","85","15.4","53","703","13.3","10","6","0","0","0","0","15","159.3","10.6","17.7%"
"8","Taysom Hill (NO)","13","2.6","8","98","12.3","2","1","87","457","8","5","16","156.0","9.8","0.8%"
"9","Noah Fant (DEN)","93","17.4","62","673","10.9","8","3","0","0","0","0","15","149.3","10.0","3.6%"
"9","Rob Gronkowski (TB)","77","12.9","45","623","13.8","10","7","0","0","0","0","16","149.3","9.3","1.3%"
"11","Hayden Hurst (ATL)","88","14.6","56","571","10.2","5","6","0","0","0","0","16","149.1","9.3","1.3%"
"12","Dalton Schultz (DAL)","89","14.6","63","615","9.8","3","4","0","0","0","1","16","146.5","9.2","36.1%"
"13","Hunter Henry (LAC)","93","15","60","613","10.2","5","4","0","0","0","0","14","145.3","10.4","64.6%"
"14","Jimmy Graham (CHI)","76","12.7","50","456","9.1","4","8","0","0","0","0","16","143.6","9.0","0.1%"
"15","Eric Ebron (PIT)","91","14.1","56","558","10.0","6","5","0","0","0","1","15","141.8","9.5","0.0%"
"16","Evan Engram (NYG)","109","21.8","63","654","10.4","6","1","6","26","1","1","16","141.0","8.8","17.5%"
"17","Jonnu Smith (TEN)","65","13.9","41","448","10.9","4","8","2","4","1","0","15","140.2","9.3","5.9%"
"18","Tyler Higbee (LAR)","60","10.9","44","521","11.8","9","5","1","1","0","0","15","128.2","8.5","5.2%"
"19","Jared Cook (NO)","60","12","37","504","13.6","6","7","0","0","0","1","15","127.4","8.5","0.0%"
"20","George Kittle (SF)","63","11.3","48","634","13.2","8","2","2","17","0","0","8","125.1","15.6","92.0%"
"21","Dallas Goedert (PHI)","65","11.7","46","524","11.4","7","3","0","0","0","0","11","116.4","10.6","89.9%"
"22","Austin Hooper (CLE)","70","15.1","46","435","9.5","3","4","0","0","0","0","13","113.5","8.7","1.9%"
"23","Irv Smith Jr. (MIN)","43","8.7","30","365","12.2","6","5","0","0","0","0","13","98.5","7.6","0.0%"
"24","Dan Arnold (ARI)","45","8.4","31","438","14.1","8","4","0","0","0","1","16","96.8","6.1","0.0%"
"25","Gerald Everett (LAR)","62","11","41","417","10.2","3","1","1","2","1","1","16","92.9","5.8","1.4%"
"26","Anthony Firkser (TEN)","53","11.2","39","387","9.9","4","1","0","0","0","0","16","83.7","5.2","0.0%"
"26","Jordan Akins (HOU)","49","9.4","37","403","10.9","7","1","1","4","0","0","13","83.7","6.4","1.0%"
"28","Trey Burton (IND)","47","8.6","28","250","8.9","1","3","2","3","2","0","13","83.3","6.4","0.0%"
"29","Tyler Eifert (JAC)","60","10.3","36","349","9.7","1","2","0","0","0","0","15","82.9","5.5","0.0%"
"30","Mo Alie-Cox (IND)","39","7.4","31","394","12.7","6","2","0","0","0","1","15","80.4","5.4","0.6%"
"31","Drew Sample (CIN)","53","9.6","40","349","8.7","1","1","0","0","0","1","16","78.9","4.9","0.6%"
"32","Zach Ertz (PHI)","72","13.1","36","335","9.3","4","1","0","0","0","0","11","77.5","7.0","3.8%"
"33","Darren Fells (HOU)","28","5.5","21","312","14.9","3","4","0","0","0","0","16","76.2","4.8","0.0%"
"34","Chris Herndon IV (NYJ)","46","9.8","31","287","9.3","3","3","0","0","0","2","16","73.7","4.6","0.0%"
"35","Jordan Reed (SF)","46","8.4","26","231","8.9","1","4","0","0","0","0","10","73.1","7.3","19.0%"
"36","Richard Rodgers (PHI)","31","5.6","24","345","14.4","5","2","0","0","0","0","14","70.5","5.0","0.0%"
"37","Cameron Brate (TB)","34","5.8","28","282","10.1","2","2","0","0","0","0","16","68.2","4.3","2.0%"
"38","Dawson Knox (BUF)","44","7.6","24","288","12.0","3","3","0","0","0","2","12","66.8","5.6","10.4%"
"39","Jacob Hollister (SEA)","40","7.6","25","209","8.4","1","3","0","0","0","0","16","65.9","4.1","1.0%"
"40","Kyle Rudolph (MIN)","37","7.4","28","334","11.9","5","1","0","0","0","1","12","65.4","5.5","1.9%"
"41","Jack Doyle (IND)","33","6.4","23","251","10.9","2","3","0","0","0","1","14","64.1","4.6","2.0%"
"42","Cole Kmet (CHI)","44","7.4","28","243","8.7","1","2","1","-3","0","1","16","62.0","3.9","11.6%"
"43","Harrison Bryant (CLE)","38","8","24","238","9.9","1","3","0","0","0","2","15","61.8","4.1","0.0%"
"44","Will Dissly (SEA)","29","5.6","24","251","10.5","3","2","0","0","0","0","16","61.1","3.8","0.6%"
"45","Durham Smythe (MIA)","29","5.4","26","208","8.0","0","2","0","0","0","0","15","58.8","3.9","0.6%"
