"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Trey McBride (ARI)","169","27.5","126","1,239","9.8","12","11","0","0","0","0","17","315.9","18.6","99.1%"
"2","Kyle Pitts Sr. (ATL)","118","22.8","88","928","10.5","12","5","0","0","0","0","17","210.8","12.4","96.0%"
"3","Travis Kelce (KC)","108","19.7","76","851","11.2","9","5","1","1","0","0","17","193.2","11.4","91.9%"
"4","Tyler Warren (IND)","112","20.9","76","817","10.8","10","4","6","8","1","0","17","188.5","11.1","98.2%"
"5","Jake Ferguson (DAL)","102","17.1","82","600","7.3","2","8","1","1","0","2","17","188.1","11.1","90.6%"
"6","Harold Fannin Jr. (CLE)","107","20.8","72","731","10.2","8","6","7","13","1","1","16","186.4","11.7","95.4%"
"7","Dallas Goedert (PHI)","82","17.6","60","591","9.9","7","11","0","0","0","0","15","185.1","12.3","89.9%"
"8","Juwan Johnson (NO)","102","18","77","889","11.5","11","3","0","0","0","2","17","179.9","10.6","52.3%"
"9","Hunter Henry (NE)","87","17.8","60","768","12.8","11","7","0","0","0","0","17","178.8","10.5","64.6%"
"10","Dalton Schultz (HOU)","106","18.9","82","777","9.5","5","3","0","0","0","0","17","177.7","10.5","36.1%"
"11","Brock Bowers (LV)","86","17.2","64","680","10.6","8","7","2","2","0","0","12","176.2","14.7","99.1%"
"12","Colston Loveland (CHI)","82","15.5","58","713","12.3","10","6","1","-2","0","0","16","165.1","10.3","98.5%"
"13","George Kittle (SF)","69","12.5","57","628","11.0","9","7","1","-3","0","0","11","161.5","14.7","92.0%"
"14","AJ Barner (SEA)","68","15.1","52","519","10.0","3","6","10","14","1","0","17","147.3","8.7","35.3%"
"15","Oronde Gadsden II (LAC)","69","12.8","49","664","13.6","11","3","0","0","0","1","15","131.4","8.8","63.2%"
"16","Mark Andrews (BAL)","70","16.9","48","422","8.8","3","5","10","48","1","0","17","131.0","7.7","85.5%"
"17","Colby Parkinson (LAR)","56","9.6","43","408","9.5","4","8","0","0","0","1","15","129.8","8.7","23.2%"
"18","Theo Johnson (NYG)","74","14.8","45","528","11.7","8","5","0","0","0","0","15","127.8","8.5","20.6%"
"19","Zach Ertz (WAS)","72","16.8","50","504","10.1","5","4","0","0","0","0","13","126.4","9.7","3.8%"
"20","Dalton Kincaid (BUF)","49","10.2","39","571","14.6","13","5","0","0","0","0","12","126.1","10.5","74.4%"
"21","Chig Okonkwo (TEN)","79","14.8","56","560","10.0","6","2","0","0","0","0","17","124.0","7.3","38.5%"
"22","Cade Otton (TB)","81","14.9","59","572","9.7","7","1","0","0","0","0","16","122.2","7.6","25.2%"
"23","Brenton Strange (JAC)","60","10.9","46","540","11.7","9","3","0","0","0","0","12","118.0","9.8","53.7%"
"24","Tucker Kraft (GB)","44","9.7","32","489","15.3","6","6","1","3","0","0","8","117.2","14.7","93.4%"
"25","Pat Freiermuth (PIT)","54","10.8","41","486","11.9","6","4","0","0","0","0","17","113.6","6.7","23.9%"
"26","T.J. Hockenson (MIN)","66","14.1","51","438","8.6","3","3","1","0","0","0","15","112.8","7.5","61.2%"
"27","Sam LaPorta (DET)","49","8.8","40","489","12.2","6","3","0","0","0","0","9","106.9","11.9","95.1%"
"28","Dawson Knox (BUF)","49","9.9","36","417","11.6","5","4","0","0","0","0","17","103.7","6.1","10.4%"
"29","Evan Engram (DEN)","76","13","50","461","9.2","4","1","1","7","0","0","16","102.8","6.4","17.5%"
"30","Jake Tonges (SF)","46","8.3","34","293","8.6","2","5","0","0","0","0","16","93.3","5.8","23.6%"
"31","Gunnar Helm (TEN)","55","10.5","44","357","8.1","2","2","0","0","0","0","16","91.7","5.7","25.0%"
"32","Mason Taylor (NYJ)","65","13.7","44","369","8.4","2","1","0","0","0","0","13","88.9","6.8","20.6%"
"33","Darren Waller (MIA)","34","7.6","24","283","11.8","5","6","1","4","0","0","9","88.7","9.9","4.1%"
"34","David Njoku (CLE)","48","9.4","33","293","8.9","2","4","0","0","0","0","12","86.3","7.2","30.6%"
"35","Jonnu Smith (PIT)","54","10.8","38","222","5.8","1","2","9","70","1","0","17","85.2","5.0","5.9%"
"36","Cole Kmet (CHI)","48","9.4","30","347","11.6","5","2","0","0","0","0","16","78.7","4.9","11.6%"
"37","Noah Fant (CIN)","41","6.9","34","288","8.5","3","3","0","0","0","3","15","74.8","5.0","3.6%"
"38","Michael Mayer (LV)","50","10","35","328","9.4","3","1","0","0","0","0","13","73.8","5.7","14.9%"
"39","Darnell Washington (PIT)","43","8.6","31","364","11.7","3","1","0","0","0","1","16","73.4","4.6","13.8%"
"40","Tyler Higbee (LAR)","36","6.1","25","281","11.2","6","3","0","0","0","0","10","71.1","7.1","5.2%"
"41","Mike Gesicki (CIN)","42","7","28","307","11.0","2","2","0","0","0","0","13","70.7","5.4","17.7%"
"42","Tommy Tremble (CAR)","37","7.5","27","249","9.2","1","2","0","0","0","0","17","63.9","3.8","1.8%"
"43","Greg Dulcich (MIA)","33","7.3","26","335","12.9","7","1","1","-7","0","1","10","62.8","6.3","15.0%"
