"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Christian McCaffrey (SF)","311","1,202","3.9","41","3","10","129","102","924","9.1","7","0","17","416.6","24.5","99.4%"
"2","Bijan Robinson (ATL)","287","1,478","5.1","93","8","7","103","79","820","10.4","4","3","17","370.8","21.8","99.1%"
"3","Jahmyr Gibbs (DET)","243","1,223","5.0","78","10","13","94","77","616","8.0","5","1","17","366.9","21.6","99.2%"
"4","Jonathan Taylor (IND)","323","1,585","4.9","83","9","18","55","46","378","8.2","2","1","17","362.3","21.3","99.1%"
"5","De'Von Achane (MIA)","238","1,350","5.7","59","13","8","85","67","488","7.3","4","0","16","322.8","20.2","99.1%"
"6","James Cook III (BUF)","309","1,621","5.2","64","9","12","40","33","291","8.8","2","3","17","302.2","17.8","99.3%"
"7","Chase Brown (CIN)","232","1,019","4.4","37","6","6","88","69","437","6.3","5","0","17","282.6","16.6","98.4%"
"8","Derrick Henry (BAL)","307","1,595","5.2","59","17","16","21","15","150","10.0","0","3","17","279.5","16.4","98.7%"
"9","Kyren Williams (LAR)","259","1,252","4.8","34","6","10","50","36","281","7.8","3","2","17","263.3","15.5","98.0%"
"10","Travis Etienne Jr. (JAC)","260","1,107","4.3","71","7","7","52","36","292","8.1","6","0","17","253.9","14.9","96.9%"
"11","Ashton Jeanty (LV)","266","975","3.7","64","3","5","73","55","346","6.3","5","1","17","245.1","14.4","99.1%"
"12","Javonte Williams (DAL)","252","1,201","4.8","66","6","11","51","35","137","3.9","2","2","16","242.8","15.2","97.1%"
"13","Josh Jacobs (GB)","234","929","4.0","40","3","13","44","36","282","7.8","1","2","15","237.1","15.8","98.5%"
"14","Saquon Barkley (PHI)","280","1,140","4.1","65","4","7","50","37","273","7.4","2","1","16","232.3","14.5","99.2%"
"15","D'Andre Swift (CHI)","223","1,087","4.9","25","5","9","48","34","299","8.8","1","2","16","228.6","14.3","93.7%"
"16","Kenneth Gainwell (PIT)","114","537","4.7","55","2","5","85","73","486","6.7","3","1","17","221.3","13.0","86.2%"
"17","Jaylen Warren (PIT)","211","958","4.5","45","6","6","45","40","333","8.3","2","0","16","217.1","13.6","91.1%"
"18","Rico Dowdle (CAR)","236","1,076","4.6","53","5","6","50","39","297","7.6","1","1","17","216.3","12.7","90.2%"
"19","Breece Hall (NYJ)","243","1,065","4.4","59","8","4","48","36","350","9.7","1","2","16","207.7","13.0","97.4%"
"20","RJ Harvey (DEN)","146","540","3.7","50","3","7","58","47","356","7.6","5","1","17","206.6","12.2","90.5%"
"21","TreVeyon Henderson (NE)","180","911","5.1","69","6","9","42","35","221","6.3","1","1","17","206.2","12.1","94.6%"
"22","Kenneth Walker III (SEA)","221","1,027","4.6","55","10","5","36","31","282","9.1","0","0","17","191.9","11.3","99.0%"
"23","Tony Pollard (TEN)","242","1,082","4.5","65","6","5","41","33","206","6.2","0","3","17","185.8","10.9","89.5%"
"24","Zach Charbonnet (SEA)","184","730","4.0","30","5","12","24","20","144","7.2","0","0","16","181.4","11.3","71.9%"
"25","Rhamondre Stevenson (NE)","130","603","4.6","56","7","7","37","32","345","10.8","2","3","14","178.8","12.8","90.1%"
