"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"26","Quinshon Judkins (CLE)","230","827","3.6","46","4","7","36","26","171","6.6","0","0","14","169.8","12.1","94.9%"
"27","David Montgomery (DET)","158","716","4.5","72","3","8","29","24","192","8.0","0","1","17","166.9","9.8","93.6%"
"28","Tyrone Tracy Jr. (NYG)","176","740","4.2","31","3","2","48","36","288","8.0","2","1","15","160.8","10.7","46.2%"
"29","Woody Marks (HOU)","196","703","3.6","23","2","2","36","24","208","8.7","3","0","16","151.1","9.4","63.6%"
"30","Kyle Monangai (CHI)","169","783","4.6","39","3","5","30","18","164","9.1","0","0","17","146.7","8.6","89.0%"
"31","Kareem Hunt (KC)","163","611","3.7","33","1","8","25","18","143","7.9","1","1","17","145.4","8.6","2.7%"
"32","Rachaad White (TB)","132","572","4.3","39","2","4","45","40","218","5.5","0","0","17","143.0","8.4","77.7%"
"33","Jacory Croskey-Merritt (WAS)","175","805","4.6","72","3","8","13","9","68","7.6","0","2","17","140.3","8.3","79.4%"
"34","Bucky Irving (TB)","173","588","3.4","32","1","1","35","30","277","9.2","3","1","10","138.5","13.9","96.3%"
"35","Omarion Hampton (LAC)","124","545","4.4","54","3","4","35","32","192","6.0","1","0","9","135.7","15.1","98.8%"
"36","Jordan Mason (MIN)","159","758","4.8","24","4","6","16","14","51","3.6","0","1","16","128.9","8.1","65.1%"
"37","Cam Skattebo (NYG)","101","410","4.1","24","1","5","32","24","207","8.6","2","1","8","127.7","16.0","97.0%"
"38","Chuba Hubbard (CAR)","134","511","3.8","14","0","1","39","30","223","7.4","3","1","15","125.4","8.4","92.7%"
"39","Tyler Allgeier (ATL)","143","514","3.6","21","1","8","16","14","96","6.9","0","0","17","123.0","7.2","55.2%"
"40","Blake Corum (LAR)","145","746","5.1","48","5","6","14","8","36","4.5","0","0","17","122.2","7.2","86.3%"
"41","Aaron Jones Sr. (MIN)","132","548","4.2","31","1","2","41","28","199","7.1","1","1","12","118.7","9.9","87.5%"
"42","Kimani Vidal (LAC)","155","643","4.1","59","4","3","22","16","136","8.5","1","0","13","117.9","9.1","24.0%"
"43","J.K. Dobbins (DEN)","153","772","5.0","41","5","4","14","11","37","3.4","0","0","10","115.9","11.6","87.9%"
"44","Tyjae Spears (TEN)","72","283","3.9","41","2","2","50","45","264","5.9","0","0","13","111.7","8.6","55.3%"
"45","Devin Singletary (NYG)","119","437","3.7","29","2","5","19","18","151","8.4","0","0","17","108.8","6.4","2.9%"
"46","Alvin Kamara (NO)","131","471","3.6","18","0","1","39","33","186","5.6","0","2","11","100.7","9.2","56.7%"
"47","Ty Johnson (BUF)","50","200","4.0","23","1","3","33","24","263","11.0","2","0","17","100.3","5.9","5.9%"
"48","Michael Carter (ARI)","92","333","3.6","22","2","1","45","33","267","8.1","0","0","13","99.0","7.6","1.1%"
"49","Emanuel Wilson (GB)","125","496","4.0","15","0","3","17","15","99","6.6","0","0","17","94.5","5.6","26.6%"
"50","Bam Knight (ARI)","82","269","3.3","17","0","4","31","22","160","7.3","1","1","12","92.9","7.7","1.0%"
"51","Chris Rodriguez Jr. (WAS)","112","500","4.5","48","2","6","4","3","30","10.0","0","0","13","92.0","7.1","50.4%"
"52","Sean Tucker (TB)","86","320","3.7","43","1","7","11","8","34","4.3","1","0","17","91.4","5.4","22.4%"
"53","Bhayshul Tuten (JAC)","83","307","3.7","15","0","5","14","10","79","7.9","2","1","15","88.6","5.9","91.8%"
"54","Nick Chubb (HOU)","122","506","4.1","30","3","3","20","13","67","5.2","0","0","15","88.3","5.9","1.4%"
"55","Dylan Sampson (CLE)","65","175","2.7","26","1","0","40","33","271","8.2","2","1","15","87.6","5.8","33.5%"
"56","Isiah Pacheco (KC)","118","462","3.9","16","0","1","26","19","101","5.3","1","0","13","87.3","6.7","57.4%"
"57","Samaje Perine (CIN)","84","382","4.5","32","2","3","21","17","87","5.1","0","2","15","77.9","5.2","4.5%"
"58","Jeremy McNichols (WAS)","44","221","5.0","60","1","1","31","25","196","7.8","0","1","17","72.7","4.3","0.8%"
"59","Isaiah Davis (NYJ)","43","236","5.5","50","2","1","28","21","186","8.9","0","0","16","71.2","4.5","5.1%"
"60","Justice Hill (BAL)","18","93","5.2","71","1","2","27","21","169","8.0","1","0","10","65.2","6.5","10.4%"
"61","Ray Davis (BUF)","58","275","4.7","23","1","0","13","10","86","8.6","2","0","17","64.1","3.8","20.5%"
"62","Brashard Smith (KC)","44","151","3.4","14","0","0","35","25","172","6.9","1","0","17","63.3","3.7","9.7%"
"63","Brian Robinson Jr. (SF)","92","400","4.3","19","0","2","12","8","25","3.1","0","0","17","62.5","3.7","37.8%"
"64","Devin Neal (NO)","57","206","3.6","21","1","2","19","17","104","6.1","0","0","9","60.0","6.7","12.8%"
"65","Emari Demercado (ARI)","44","312","7.1","71","2","0","20","13","101","7.8","1","1","13","58.3","4.5","3.6%"
"66","Kyle Juszczyk (SF)","2","-3","-1.5","0","0","0","28","24","213","8.9","2","0","17","57.0","3.4","1.4%"
"67","Keaton Mitchell (BAL)","59","341","5.8","55","4","1","12","9","63","7.0","0","0","13","55.4","4.3","34.6%"
"68","Ollie Gordon II (MIA)","70","199","2.8","20","1","3","9","7","32","4.6","1","0","17","54.1","3.2","7.9%"
"69","Tank Bigsby (PHI)","63","356","5.7","29","2","2","4","3","32","10.7","0","0","16","53.8","3.4","29.0%"
"70","Jaylen Wright (MIA)","70","288","4.1","32","1","2","9","5","44","8.8","0","1","11","48.2","4.4","17.0%"
"71","Audric Estime (NO)","46","198","4.3","32","1","1","13","12","103","8.6","0","0","7","48.1","6.9","5.2%"
"72","Jerome Ford (CLE)","24","73","3.0","12","0","0","32","26","103","4.0","0","0","13","43.6","3.4","5.4%"
"73","Malik Davis (DAL)","52","250","4.8","43","3","2","5","2","16","8.0","0","0","10","40.6","4.1","4.5%"
"74","Zavier Scott (MIN)","32","114","3.6","11","0","0","16","14","98","7.0","1","1","11","39.2","3.6","0.7%"
"75","Hunter Luepke (DAL)","16","71","4.4","9","0","0","15","13","109","8.4","1","0","17","37.0","2.2","0.7%"
"76","Ameer Abdullah (IND)","14","60","4.3","14","0","1","17","16","99","6.2","0","1","13","35.9","2.8","0.6%"
"77","Tyler Badie (DEN)","8","23","2.9","7","0","0","31","19","141","7.4","0","0","16","35.4","2.2","1.2%"
"77","Trey Benson (ARI)","29","160","5.5","52","2","0","16","13","64","4.9","0","0","5","35.4","7.1","21.8%"
"79","James Conner (ARI)","32","95","3.0","12","0","1","9","8","38","4.8","1","0","4","33.3","8.3","37.7%"
"79","Kendre Miller (NO)","47","193","4.1","18","0","1","5","5","30","6.0","0","0","7","33.3","4.8","8.2%"
"81","Chris Brooks (GB)","27","106","3.9","12","0","0","17","13","91","7.0","0","0","17","32.7","1.9","10.5%"
"82","Jaleel McLaughlin (DEN)","37","187","5.1","16","0","1","6","4","27","6.8","0","0","8","31.4","3.9","1.2%"
"83","Jawhar Jordan (HOU)","43","193","4.5","50","1","0","7","7","34","4.9","0","0","4","29.7","7.4","0.9%"
"84","Raheem Mostert (LV)","22","104","4.7","37","1","0","12","12","70","5.8","0","0","12","29.4","2.5","0.7%"
"85","Miles Sanders (DAL)","20","117","5.9","49","1","1","8","8","30","3.8","0","1","4","26.7","6.7","0.7%"
"86","Jaret Patterson (LAC)","41","159","3.9","22","1","1","4","3","8","2.7","0","0","6","25.7","4.3","0.6%"
"87","LeQuint Allen Jr. (JAC)","23","94","4.1","12","0","0","11","10","54","5.4","0","0","17","24.8","1.5","10.2%"
"88","Rasheen Ali (BAL)","7","24","3.4","9","0","0","11","9","68","7.6","1","0","15","24.2","1.6","2.4%"
"89","Dare Ogunbowale (HOU)","11","25","2.3","9","0","1","13","10","76","7.6","0","1","17","24.1","1.4","1.0%"
"90","Antonio Gibson (NE)","25","106","4.2","21","1","1","3","2","6","3.0","0","1","5","23.2","4.6","0.8%"
"91","George Holani (SEA)","22","73","3.3","9","0","1","2","2","15","7.5","0","1","10","20.8","2.1","9.2%"
"92","Jaydon Blue (DAL)","38","129","3.4","27","1","1","1","1","5","5.0","0","0","5","20.4","4.1","15.0%"
"93","Raheim Sanders (CLE)","27","92","3.4","14","0","1","4","3","21","7.0","0","0","5","20.3","4.1","1.0%"
"94","Will Shipley (PHI)","14","49","3.5","20","1","0","12","9","56","6.2","0","1","15","17.5","1.2","2.6%"
"95","Trayveon Williams (CLE)","10","36","3.6","11","0","0","9","8","55","6.9","0","0","7","17.1","2.4","0.0%"
"96","Adam Prentice (DEN)","10","44","4.4","18","0","0","8","6","53","8.8","0","0","17","15.7","0.9","0.6%"
"97","C.J. Ham (MIN)","3","5","1.7","3","0","2","2","2","11","5.5","0","0","11","15.6","1.4","1.0%"
"98","Braelon Allen (NYJ)","18","76","4.2","15","0","1","3","2","17","8.5","0","1","4","15.3","3.8","30.3%"
"99","Terrell Jennings (NE)","23","73","3.2","11","0","1","1","1","9","9.0","0","0","6","15.2","2.5","0.6%"
"100","Alec Ingold (MIA)","2","9","4.5","6","0","0","11","8","52","6.5","0","0","17","14.1","0.8","0.6%"
"101","Austin Ekeler (WAS)","14","43","3.1","6","0","0","7","5","38","7.6","0","0","3","13.1","4.4","2.6%"
"102","Trevor Etienne (CAR)","20","94","4.7","22","1","0","3","3","13","4.3","0","1","17","11.7","0.7","3.1%"
"103","Najee Harris (LAC)","15","61","4.1","7","0","0","3","3","25","8.3","0","0","3","11.6","3.9","14.8%"
"104","Kene Nwangwu (NYJ)","13","49","3.8","16","0","0","1","0","0","0","0","0","10","10.9","1.1","0.1%"
"104","Phil Mafah (DAL)","5","18","3.6","8","0","1","2","2","11","5.5","0","0","1","10.9","10.9","0.9%"
"106","Hassan Haskins (LAC)","17","47","2.8","10","0","0","4","4","13","3.3","0","0","13","10.0","0.8","0.6%"
"107","Brittain Brown (CHI)","5","37","7.4","22","1","1","1","0","0","0","0","0","2","9.7","4.9","1.4%"
"108","DJ Giddens (IND)","26","96","3.7","12","0","0","2","0","0","0","0","0","9","9.6","1.1","5.6%"
"108","Zamir White (LV)","12","32","2.7","9","0","0","6","4","24","6.0","0","0","5","9.6","1.9","0.9%"
"110","Corey Kiner (ARI)","12","58","4.8","9","0","0","3","2","15","7.5","0","0","4","9.3","2.3","1.0%"
"111","AJ Dillon (PHI)","12","60","5.0","11","0","0","3","3","21","7.0","0","1","7","9.1","1.3","0.6%"
"112","Kaleb Johnson (PIT)","28","69","2.5","9","0","0","2","1","9","9.0","0","0","10","8.8","0.9","16.1%"
"112","Ty Chandler (MIN)","17","47","2.8","5","0","0","4","3","11","3.7","0","0","3","8.8","2.9","0.6%"
"114","British Brooks (HOU)","17","78","4.6","20","1","0","0","0","0","0","0","0","13","7.8","0.6","0.1%"
"115","Cam Akers (SEA)","5","19","3.8","14","0","0","1","0","0","0","0","0","4","7.2","1.8","0.6%"
"116","Khalil Herbert (NYJ)","16","52","3.3","7","0","0","4","1","4","4.0","0","0","5","6.6","1.3","1.1%"
"117","Evan Hull (NO)","19","48","2.5","8","0","0","1","1","6","6.0","0","0","6","6.4","1.1","2.8%"
"117","Tahj Brooks (CIN)","16","45","2.8","7","0","0","2","1","9","9.0","0","0","12","6.4","0.5","2.4%"
"119","Tyler Goodson (IND)","9","24","2.7","6","0","0","3","2","8","4.0","0","0","11","5.2","0.5","0.7%"
"120","Reggie Gilliam (BUF)","2","4","2.0","5","0","0","2","2","24","12.0","0","0","17","4.8","0.3","0.2%"
"121","Ronnie Rivers (LAR)","9","46","5.1","9","0","0","0","0","0","0","0","0","7","4.6","0.7","0.6%"
"122","Clyde Edwards-Helaire (KC)","7","13","1.9","7","0","0","2","2","9","4.5","0","0","2","4.2","2.1","0.6%"
"123","Nathan Carter (ATL)","9","60","6.7","12","0","0","0","0","0","0","0","1","4","4.0","1.0","0.6%"
"123","Julius Chestnut (TEN)","11","40","3.6","27","1","0","2","0","0","0","0","0","17","4.0","0.2","0.9%"
"125","Dylan Laube (LV)","7","9","1.3","3","0","0","4","3","18","6.0","0","1","17","3.7","0.2","0.7%"
"126","Dameon Pierce (KC)","14","36","2.6","10","0","0","1","0","0","0","0","0","5","3.6","0.7","1.2%"
"127","D'Ernest Johnson (NE)","14","25","1.8","5","0","0","0","0","0","0","0","0","6","2.5","0.4","1.0%"
"128","Patrick Ricard (BAL)","1","3","3.0","3","0","0","2","1","8","8.0","0","0","12","2.1","0.2","0.8%"
"128","DeeJay Dallas (JAC)","3","21","7.0","17","0","0","1","0","0","0","0","0","5","2.1","0.4","0.1%"
"130","Jacardia Wright (SEA)","5","20","4.0","10","0","0","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"131","Roschon Johnson (CHI)","2","17","8.5","11","0","0","0","0","0","0","0","0","6","1.7","0.3","0.7%"
"132","Josh Williams (TB)","4","11","2.8","4","0","0","0","0","0","0","0","0","2","1.1","0.6","0.1%"
"132","Jacob Saylors (DET)","2","11","5.5","9","0","0","0","0","0","0","0","0","11","1.1","0.1","0.2%"
"134","Amar Johnson (LAC)","2","8","4.0","6","0","0","1","0","0","0","0","0","1","0.8","0.8","0.0%"
"135","Kalel Mullings (TEN)","3","7","2.3","4","0","0","0","0","0","0","0","0","5","0.7","0.1","0.6%"
"136","Owen Wright (TB)","3","6","2.0","4","0","0","0","0","0","0","0","0","3","0.6","0.2","0.0%"
"136","Myles Gaskin (SEA)","3","6","2.0","3","0","0","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"138","Sione Vaki (DET)","1","4","4.0","4","0","0","0","0","0","0","0","0","8","0.4","0.1","0.7%"
"138","Craig Reynolds (DET)","3","4","1.3","3","0","0","0","0","0","0","0","0","6","0.4","0.1","1.1%"
"140","Kendall Milton (CIN)","2","2","1.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.1%"
"141","Michael Burton (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"141","Andrew Beck (NYJ)","1","5","5.0","5","0","0","9","6","45","7.5","2","0","17","0.0","0.0","0.2%"
"141","Alexander Mattison (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.6%"
"141","Jakob Johnson (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"141","Trey Sermon (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","1.0%"
"141","Chase Edmonds (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"141","Jeff Wilson Jr. (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.0%"
"141","Robbie Ouzts (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"141","Jordan James (SF)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","17.1%"
"141","Kye Robichaux (DET)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"141","Deion Hankins (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"141","Scott Matlock (LAC)","0","0","0","0","0","0","4","4","12","3.0","1","0","16","0.0","0.0","0.6%"
"141","Brady Russell (SEA)","0","0","0","0","0","0","1","0","0","0","0","0","16","0.0","0.0","0.0%"
"141","Jordan Mims (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"141","Xazavian Valladay (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"141","Lew Nichols III (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","5.7%"
"141","Isaac Guerendo (SF)","0","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","2.8%"
"141","Jack Westover (NE)","0","0","0","0","0","0","2","1","0","0.0","0","0","17","0.0","0.0","0.0%"
"141","Chris Collier (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"141","Raheem Blackshear (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.6%"
"141","Avery Williams (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"141","Gary Brightwell (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.1%"
"141","Connor Heyward (PIT)","15","43","2.9","29","1","2","4","3","21","7.0","1","0","16","0.0","0.0","0.2%"
"141","Velus Jones Jr. (SEA)","4","32","8.0","25","1","0","0","0","0","0","0","0","6","0.0","0.0","0.9%"
"141","Elijah Mitchell (KC)","0","0","0","0","0","0","1","0","0","0","0","0","1","0.0","0.0","0.7%"
"141","Keilan Robinson (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"141","Ulysses Bentley IV (IND)","1","0","0.0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"141","Keaontay Ingram (KC)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.0%"
"141","Sincere McCormick (SF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"141","Eric Gray (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.6%"
"141","Jashaun Corbin (NE)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"172","Travis Homer (CHI)","1","-2","-2.0","0","0","0","0","0","0","0","0","0","8","-0.2","0.0","0.6%"
"172","Nyheim Miller-Hines (NO)","2","-2","-1.0","1","0","0","0","0","0","0","0","0","4","-0.2","-0.1","0.0%"
""
""
