"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"34","Gardner Minshew II (LV)","203","306","66.3","2,013","6.6","9","10","29","19","58","0","4","10","106.5","10.7","3.4%"
"35","Joe Flacco (IND)","162","248","65.3","1,761","7.1","12","7","18","9","26","0","4","7","106.2","15.2","8.1%"
"36","Mason Rudolph (TEN)","146","228","64.0","1,530","6.7","9","9","11","25","106","1","1","8","104.8","13.1","1.6%"
"37","Mac Jones (JAC)","171","262","65.3","1,672","6.4","8","8","14","28","92","1","2","10","104.1","10.4","15.8%"
"38","Aidan O'Connell (LV)","154","243","63.4","1,612","6.6","8","4","10","21","30","1","2","9","97.7","10.9","0.6%"
"39","Drew Lock (NYG)","107","181","59.1","1,071","5.9","6","5","12","18","133","2","2","7","85.1","12.2","0.9%"
"40","Deshaun Watson (CLE)","137","216","63.4","1,148","5.3","5","3","33","31","148","1","3","7","79.6","11.4","18.7%"
"41","Spencer Rattler (NO)","130","228","57.0","1,317","5.8","4","5","22","18","146","0","3","7","72.2","10.3","1.9%"
"42","Andy Dalton (CAR)","106","160","66.3","989","6.2","7","6","7","11","34","0","0","6","64.9","10.8","0.9%"
"43","Tyler Huntley (MIA)","86","133","64.7","829","6.2","3","3","15","26","135","2","2","5","63.7","12.7","3.5%"
"44","Malik Willis (GB)","40","54","74.1","550","10.2","3","0","8","20","138","1","1","7","51.8","7.4","51.8%"
"45","Michael Penix Jr. (ATL)","61","105","58.1","775","7.4","3","3","4","7","11","1","0","5","47.2","9.4","22.7%"
"46","Jacoby Brissett (NE)","95","161","59.0","826","5.1","2","1","18","15","62","0","1","7","46.2","6.6","28.8%"
"47","Marcus Mariota (WAS)","34","44","77.3","364","8.3","4","0","3","18","92","1","0","3","45.7","15.2","8.8%"
"48","Joshua Dobbs (SF)","32","47","68.1","361","7.7","2","2","2","9","24","2","1","3","32.8","10.9","0.6%"
"49","Tanner McKee (PHI)","30","45","66.7","323","7.2","4","0","2","5","-1","0","0","2","28.9","14.5","2.9%"
"50","Kenny Pickett (PHI)","25","42","59.5","291","6.9","2","1","4","9","15","1","0","5","26.1","5.2","1.7%"
"51","Desmond Ridder (LV)","52","85","61.2","458","5.4","2","2","10","9","36","0","2","5","23.9","4.8","0.6%"
"52","Dorian Thompson-Robinson (CLE)","61","118","51.7","440","3.7","0","6","8","21","122","0","1","6","21.8","3.6","1.5%"
"53","Jimmy Garoppolo (LAR)","27","41","65.9","334","8.1","2","1","3","2","5","0","0","1","20.9","20.9","0.8%"
"54","Tyrod Taylor (NYJ)","17","22","77.3","119","5.4","3","0","0","3","13","0","0","2","20.0","10.0","1.6%"
"55","Joe Milton III (NE)","22","29","75.9","241","8.3","1","0","0","10","16","1","1","1","19.2","19.2","4.7%"
"56","Mitchell Trubisky (BUF)","19","26","73.1","179","6.9","2","0","0","17","1","0","0","9","15.3","1.7","0.9%"
"57","Tim Boyle (NYG)","27","50","54.0","276","5.5","1","1","2","3","9","0","0","3","15.0","5.0","0.0%"
"58","Jake Haener (NO)","18","39","46.2","226","5.8","1","1","6","11","22","0","0","8","14.3","1.8","1.1%"
"59","Trey Lance (DAL)","25","41","61.0","266","6.5","0","1","4","11","41","0","0","4","13.7","3.4","2.2%"
"60","Tommy DeVito (NYG)","31","44","70.5","257","5.8","0","0","6","8","32","0","0","3","13.5","4.5","0.7%"
"61","Davis Mills (HOU)","20","36","55.6","212","5.9","0","0","2","3","11","0","0","4","9.6","2.4","2.4%"
"62","Bailey Zappe (CLE)","16","31","51.6","170","5.5","1","2","1","2","2","0","0","1","9.0","9.0","1.1%"
"63","Brandon Allen (SF)","17","30","56.7","199","6.6","1","2","2","3","4","0","1","3","8.4","2.8","0.0%"
"64","Skylar Thompson (MIA)","21","33","63.6","187","5.7","0","0","6","1","4","0","0","2","7.9","4.0","1.0%"
"65","Carson Wentz (KC)","12","19","63.2","118","6.2","0","0","4","3","0","0","0","2","4.7","2.4","0.8%"
"66","Taylor Heinicke (LAC)","3","5","60.0","28","5.6","0","0","3","2","20","0","0","4","3.2","0.8","1.0%"
"67","Hendon Hooker (DET)","6","9","66.7","62","6.9","0","0","1","5","2","0","0","3","2.7","0.9","3.0%"
"68","Feleipe Franks (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","9","2.2","0.2","0.0%"
"69","Nick Mullens (MIN)","2","2","100.0","38","19.0","0","0","0","3","-2","0","0","4","1.4","0.4","1.0%"
"70","Mike White (BUF)","3","11","27.3","28","2.5","0","0","0","0","0","0","0","1","1.1","1.1","1.1%"
"71","Kyle Allen (PIT)","1","1","100.0","19","19.0","0","0","0","0","0","0","0","1","0.8","0.8","0.7%"
"72","Josh Johnson (BAL)","2","3","66.7","17","5.7","0","0","1","4","1","0","0","4","0.7","0.2","0.7%"
"73","Chris Oladokun (KC)","0","0","0","0","0","0","0","1","1","5","0","0","1","0.5","0.5","0.9%"
"73","Jarrett Stidham (DEN)","0","0","0","0","0","0","0","0","4","5","0","0","3","0.5","0.2","2.4%"
"75","Sam Howell (SEA)","5","14","35.7","24","1.7","0","1","4","1","2","0","0","1","0.2","0.2","0.7%"
"76","Emory Jones (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"76","Austin Reed (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"76","Sam Hartman (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"76","Jaren Hall (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.5%"
"76","Jordan Travis (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"76","C.J. Beathard (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"76","Jake Luton (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"76","Trevor Siemian (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"76","Jeff Driskel (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"85","Jake Browning (CIN)","0","0","0","0","0","0","0","0","2","-2","0","0","3","-0.2","-0.1","1.1%"
"85","Kyle Trask (TB)","1","1","100.0","5","5.0","0","0","0","5","-4","0","0","4","-0.2","-0.1","1.1%"
"87","Tyson Bagent (CHI)","2","2","100.0","11","5.5","0","0","0","6","-7","0","0","4","-0.3","-0.1","4.8%"
"88","Clayton Tune (ARI)","2","2","100.0","8","4.0","0","0","0","7","-4","0","1","6","-2.1","-0.4","1.0%"
""
""
