"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Travis Kelce (KC)","152","24.6","110","1,338","12.2","19","12","2","5","0","1","17","316.3","18.6","91.9%"
"2","T.J. Hockenson (MIN)","129","21.2","86","914","10.6","5","6","0","0","0","1","17","215.4","12.7","61.2%"
"3","George Kittle (SF)","86","17.2","60","765","12.8","12","11","0","0","0","1","15","200.5","13.4","92.0%"
"4","Mark Andrews (BAL)","113","24.4","73","847","11.6","7","5","3","8","0","0","15","190.5","12.7","85.5%"
"5","Evan Engram (JAC)","98","16.8","73","766","10.5","10","4","2","13","0","0","17","176.9","10.4","17.5%"
"6","Tyler Higbee (LAR)","108","21.1","72","620","8.6","4","3","0","0","0","0","16","152.0","9.5","5.2%"
"7","Pat Freiermuth (PIT)","98","17.9","63","732","11.6","9","2","0","0","0","0","15","148.2","9.9","23.9%"
"8","Cole Kmet (CHI)","69","19.1","50","544","10.9","6","7","2","9","0","0","17","147.3","8.7","11.6%"
"9","Taysom Hill (NO)","13","2.6","9","77","8.6","1","2","96","575","7","0","16","145.8","9.1","0.8%"
"10","Dalton Schultz (DAL)","89","16.3","57","577","10.1","5","5","0","0","0","1","15","142.7","9.5","36.1%"
"11","David Njoku (CLE)","80","16","58","628","10.8","8","4","2","-8","0","1","14","142.0","10.1","30.6%"
"12","Dallas Goedert (PHI)","69","13.8","55","702","12.8","11","3","0","0","0","1","12","141.2","11.8","89.9%"
"13","Gerald Everett (LAC)","87","12.8","58","555","9.6","4","4","1","0","0","0","15","139.5","9.3","1.4%"
"14","Dawson Knox (BUF)","65","11.8","48","517","10.8","8","6","0","0","0","0","15","135.7","9.0","10.4%"
"15","Juwan Johnson (NO)","65","13","42","508","12.1","8","7","0","0","0","0","16","134.8","8.4","52.3%"
"16","Tyler Conklin (NYJ)","87","14.8","58","552","9.5","6","3","2","3","0","0","17","131.5","7.7","0.8%"
"17","Noah Fant (SEA)","63","11.3","50","486","9.7","4","4","0","0","0","0","17","122.6","7.2","3.6%"
"18","Jordan Akins (HOU)","54","9.7","37","495","13.4","8","5","0","0","0","1","15","116.5","7.8","1.0%"
"19","Zach Ertz (ARI)","69","10.9","47","406","8.6","2","4","0","0","0","0","10","115.6","11.6","3.8%"
"20","Robert Tonyan (GB)","67","12.4","53","470","8.9","6","2","0","0","0","0","17","112.0","6.6","0.0%"
"21","Hayden Hurst (CIN)","70","11.6","54","439","8.1","5","2","0","0","0","0","14","109.9","7.9","1.3%"
"22","Hunter Henry (NE)","59","11.8","41","509","12.4","10","2","0","0","0","0","16","103.9","6.5","64.6%"
"23","Mike Gesicki (MIA)","52","9.4","32","362","11.3","5","5","0","0","0","0","17","98.2","5.8","17.7%"
"24","Austin Hooper (TEN)","60","13.6","41","444","10.8","2","2","0","0","0","0","17","97.4","5.7","1.9%"
"25","Chig Okonkwo (TEN)","46","10.5","32","450","14.1","7","3","3","2","0","0","17","97.2","5.7","38.5%"
"26","Cade Otton (TB)","65","9","42","391","9.3","4","2","0","0","0","0","16","93.1","5.8","25.2%"
"27","Isaiah Likely (BAL)","60","12.9","36","373","10.4","4","3","0","0","0","0","15","91.3","6.1","85.5%"
"28","Will Dissly (SEA)","38","6.8","34","349","10.3","1","3","0","0","0","0","15","86.9","5.8","0.6%"
"29","Greg Dulcich (DEN)","55","10.3","33","411","12.5","6","2","0","0","0","0","10","86.1","8.6","15.0%"
"30","Foster Moreau (LV)","54","9.6","33","420","12.7","7","2","0","2","0","1","14","85.2","6.1","0.7%"
"31","Darren Waller (LV)","43","7.7","28","388","13.9","9","3","0","0","0","0","9","84.8","9.4","4.1%"
"32","Logan Thomas (WAS)","61","11.6","39","323","8.3","2","1","0","0","0","0","13","77.3","5.9","0.0%"
