"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"72","Justin Jackson (DET)","42","170","4.0","27","1","1","19","12","101","8.4","1","0","15","51.1","3.4","0.0%"
"73","Mark Ingram II (NO)","62","233","3.8","14","0","1","18","16","68","4.3","0","2","10","50.1","5.0","2.1%"
"74","Dare Ogunbowale (HOU)","42","123","2.9","11","0","1","26","20","104","5.2","0","0","15","48.7","3.2","1.0%"
"75","DeeJay Dallas (SEA)","35","186","5.3","27","1","0","19","17","126","7.4","0","0","15","47.2","3.1","0.1%"
"76","Boston Scott (PHI)","54","217","4.0","21","1","3","6","5","15","3.0","0","0","15","46.2","3.1","0.0%"
"77","Caleb Huntley (ATL)","76","366","4.8","30","2","1","2","2","3","1.5","0","0","12","44.9","3.7","1.0%"
"78","Elijah Mitchell (SF)","45","279","6.2","37","1","2","4","3","7","2.3","0","0","5","43.6","8.7","0.7%"
"79","Travis Homer (SEA)","19","74","3.9","16","0","0","18","16","157","9.8","1","1","12","43.1","3.6","0.6%"
"80","Raheem Blackshear (CAR)","23","77","3.3","16","0","3","12","10","93","9.3","0","1","13","43.0","3.3","1.6%"
"81","Ty Johnson (NYJ)","30","160","5.3","32","2","1","24","12","88","7.3","0","0","12","42.8","3.6","5.9%"
"82","Justice Hill (BAL)","49","262","5.3","34","1","0","12","12","58","4.8","0","1","15","42.0","2.8","10.4%"
"82","Javonte Williams (DEN)","47","204","4.3","17","0","0","22","16","76","4.8","0","1","4","42.0","10.5","97.1%"
"84","Alec Ingold (MIA)","6","8","1.3","2","0","1","23","15","105","7.0","1","0","13","38.3","2.9","0.6%"
"84","Marlon Mack (DEN)","16","84","5.3","17","0","1","10","8","99","12.4","1","0","8","38.3","4.8","0.0%"
"86","Malik Davis (DAL)","38","161","4.2","23","2","1","7","6","63","10.5","0","0","6","34.4","5.7","4.5%"
"87","Avery Williams (ATL)","22","109","5.0","21","1","1","14","13","61","4.7","0","1","17","34.0","2.0","1.1%"
"88","Jordan Mason (SF)","43","258","6.0","55","1","1","0","0","0","0","0","0","12","31.8","2.7","65.1%"
"89","C.J. Ham (MIN)","4","7","1.8","3","0","2","12","10","86","8.6","0","0","12","31.3","2.6","1.0%"
"90","Craig Reynolds (DET)","23","102","4.4","21","1","0","10","9","116","12.9","0","0","7","30.8","4.4","1.1%"
"91","Kyren Williams (LAR)","35","139","4.0","17","0","0","12","9","76","8.4","0","0","8","30.5","3.8","98.0%"
"92","Gary Brightwell (NYG)","31","141","4.5","25","1","1","8","5","39","7.8","0","0","15","29.0","1.9","0.1%"
"93","Brandon Bolden (LV)","17","66","3.9","12","0","0","10","10","62","6.2","1","0","13","28.8","2.2","0.0%"
"93","Mike Boone (DEN)","24","102","4.3","18","0","0","15","9","96","10.7","0","0","8","28.8","3.6","1.0%"
"95","Pierre Strong Jr. (NE)","10","100","10.0","44","1","1","7","7","42","6.0","0","0","10","27.2","2.7","0.6%"
"96","Jonathan Williams (WAS)","37","152","4.1","23","1","0","10","7","40","5.7","0","0","9","26.2","2.9","0.0%"
"97","Hassan Haskins (TEN)","25","93","3.7","12","0","0","12","11","57","5.2","0","0","14","26.0","1.9","0.6%"
"98","Sony Michel (LAC)","36","106","2.9","12","0","0","13","9","53","5.9","0","0","10","24.9","2.5","0.0%"
"99","Malcolm Brown (LAR)","18","81","4.5","23","1","1","6","5","37","7.4","0","0","7","22.8","3.3","0.0%"
"100","Reggie Gilliam (BUF)","0","0","0","0","0","0","11","9","76","8.4","1","0","11","22.6","2.1","0.2%"
"101","Tevin Coleman (SF)","12","26","2.2","14","0","1","3","3","44","14.7","1","0","3","22.0","7.3","0.0%"
"102","Corey Clement (ARI)","15","55","3.7","12","0","1","7","5","54","10.8","0","0","5","21.9","4.4","0.0%"
"103","Darrel Williams (ARI)","21","102","4.9","30","1","1","8","4","9","2.3","0","0","5","21.1","4.2","0.0%"
"104","Derek Watt (PIT)","9","21","2.3","4","0","1","5","5","11","2.2","1","0","12","20.2","1.7","0.0%"
"105","Patrick Ricard (BAL)","7","16","2.3","5","0","0","13","11","74","6.7","0","0","13","20.0","1.5","0.8%"
"106","Royce Freeman (HOU)","41","117","2.9","11","0","0","8","6","33","5.5","0","1","5","19.0","3.8","0.0%"
"107","Benny Snell Jr. (PIT)","20","90","4.5","16","0","1","2","2","17","8.5","0","0","9","18.7","2.1","0.0%"
"108","Zander Horvath (LAC)","4","8","2.0","3","0","0","8","5","8","1.6","2","0","8","18.6","2.3","1.0%"
"109","Keaontay Ingram (ARI)","27","60","2.2","13","0","1","5","4","21","5.3","0","0","11","18.1","1.6","1.0%"
"110","Ronald Jones II (KC)","17","70","4.1","13","0","1","1","1","22","22.0","0","0","5","16.2","3.2","0.0%"
"111","Phillip Lindsay (IND)","15","49","3.3","15","0","0","8","6","19","3.2","0","0","3","14.8","4.9","0.0%"
"112","Jordan Wilkins (IND)","13","58","4.5","9","0","0","8","6","29","4.8","0","0","4","14.7","3.7","0.0%"
"113","Salvon Ahmed (MIA)","12","64","5.3","11","0","1","1","1","8","8.0","0","0","7","14.2","2.0","0.0%"
"114","Chris Evans (CIN)","0","0","0","0","0","0","4","3","38","12.7","1","0","10","12.8","1.3","0.0%"
"115","Kene Nwangwu (MIN)","9","14","1.6","8","0","0","2","2","21","10.5","0","0","14","11.5","0.8","0.1%"
"116","Kevin Harris (NE)","18","52","2.9","14","0","1","0","0","0","0","0","0","5","11.2","2.2","1.0%"
"117","Darrynton Evans (CHI)","14","64","4.6","21","1","0","1","1","33","33.0","0","0","3","10.7","3.6","0.0%"
"118","Tony Jones Jr. (SEA)","10","24","2.4","7","0","0","8","5","30","6.0","0","0","3","10.4","3.5","0.0%"
"119","Ty Montgomery II (NE)","2","-2","-1.0","0","0","0","4","3","15","5.0","1","0","1","10.3","10.3","0.0%"
"120","Snoop Conner (JAC)","12","42","3.5","8","0","1","0","0","0","0","0","0","5","10.2","2.0","0.0%"
"120","Ke'Shawn Vaughn (TB)","17","53","3.1","12","0","0","4","3","19","6.3","0","0","9","10.2","1.1","0.0%"
"122","Ronnie Rivers (LAR)","9","21","2.3","5","0","0","5","5","29","5.8","0","0","2","10.0","5.0","0.6%"
"123","Tyrion Davis-Price (SF)","34","99","2.9","20","1","0","2","0","0","0","0","0","5","9.9","2.0","1.0%"
"124","Tyler Badie (DEN)","1","0","0.0","0","0","0","1","1","24","24.0","1","0","1","9.4","9.4","1.2%"
"124","Myles Gaskin (MIA)","10","26","2.6","10","0","0","6","4","28","7.0","0","0","2","9.4","4.7","0.0%"
"126","David Johnson (NO)","12","24","2.0","5","0","0","4","4","47","11.8","0","1","4","9.1","2.3","0.0%"
"127","Isaiah Spiller (LAC)","18","41","2.3","11","0","0","3","3","13","4.3","0","0","5","8.4","1.7","1.0%"
"128","Julius Chestnut (TEN)","9","12","1.3","5","0","0","3","3","41","13.7","0","0","6","8.3","1.4","0.9%"
"129","Trayveon Williams (CIN)","6","30","5.0","16","0","0","3","2","30","15.0","0","0","9","8.0","0.9","0.0%"
"130","Jaret Patterson (WAS)","17","78","4.6","14","0","0","1","0","0","0","0","0","2","7.8","3.9","0.6%"
"131","Spencer Brown (CAR)","9","43","4.8","7","0","0","4","2","10","5.0","0","0","2","7.3","3.7","0.0%"
"132","Zamir White (LV)","17","70","4.1","22","1","0","0","0","0","0","0","0","11","7.0","0.6","0.9%"
"133","Trestan Ebner (CHI)","24","54","2.3","11","0","0","8","2","8","4.0","0","1","11","6.2","0.6","0.0%"
"134","Anthony McFarland Jr. (PIT)","6","30","5.0","14","0","0","2","2","11","5.5","0","0","1","6.1","6.1","1.1%"
"135","Jakob Johnson (LV)","0","0","0","0","0","0","6","5","10","2.0","0","0","11","6.0","0.5","0.0%"
"136","Troy Hairston II (HOU)","0","0","0","0","0","0","8","5","19","3.8","0","0","12","5.9","0.5","1.7%"
"137","Patrick Taylor Jr. (GB)","10","31","3.1","6","0","0","1","1","17","17.0","0","0","7","5.8","0.8","0.7%"
"138","Dwayne Washington (NO)","11","38","3.5","8","0","0","1","1","7","7.0","0","0","7","5.5","0.8","0.0%"
"139","D'Ernest Johnson (CLE)","4","17","4.3","7","0","0","3","3","7","2.3","0","0","10","5.4","0.5","1.0%"
"140","Larry Rountree III (LAC)","13","19","1.5","5","0","0","2","2","14","7.0","0","0","3","5.3","1.8","0.0%"
"141","Jonathan Ward (TEN)","5","25","5.0","12","0","0","3","2","7","3.5","0","0","4","5.2","1.3","0.0%"
"142","Adam Prentice (NO)","4","9","2.3","3","0","0","3","3","9","3.0","0","0","6","4.8","0.8","0.6%"
"143","Giovani Bernard (TB)","8","28","3.5","8","0","0","2","2","-1","-0.5","0","0","4","4.7","1.2","0.0%"
"144","Mike Davis (BAL)","8","18","2.3","10","0","0","2","2","4","2.0","0","0","5","4.2","0.8","1.0%"
"145","Michael Burton (KC)","5","7","1.4","6","0","0","3","2","11","5.5","0","0","12","3.8","0.3","1.0%"
"146","J.J. Taylor (NE)","10","9","0.9","5","0","0","1","1","8","8.0","0","0","1","2.7","2.7","1.0%"
"147","Demetric Felton Jr. (CLE)","1","-4","-4.0","0","0","0","4","2","8","4.0","0","0","6","2.4","0.4","0.0%"
"148","Ty Chandler (MIN)","6","20","3.3","10","0","0","0","0","0","0","0","0","2","2.0","1.0","0.6%"
"148","Keith Smith (ATL)","1","2","2.0","2","0","0","2","1","8","8.0","0","0","10","2.0","0.2","0.0%"
"150","Trey Sermon (PHI)","2","19","9.5","14","0","0","0","0","0","0","0","0","1","1.9","1.9","1.0%"
"151","Godwin Igwebuike (SEA)","3","4","1.3","4","0","0","1","1","3","3.0","0","0","5","1.7","0.3","0.0%"
"151","Devine Ozigbo (DEN)","3","4","1.3","4","0","0","1","1","3","3.0","0","0","3","1.7","0.6","1.0%"
"153","Ty'Son Williams (ARI)","0","0","0","0","0","0","1","1","5","5.0","0","0","1","1.5","1.5","1.2%"
"154","Jerome Ford (CLE)","8","12","1.5","9","0","0","0","0","0","0","0","0","13","1.2","0.1","5.4%"
"155","Reggie Bonnafon (WAS)","3","8","2.7","5","0","0","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"156","Kylin Hill (GB)","1","7","7.0","7","0","0","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"157","Duke Johnson Jr. (BUF)","2","4","2.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"158","Damien Williams (ATL)","2","2","1.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"159","Jordan Howard (NO)","1","1","1.0","1","0","0","0","0","0","0","0","0","1","0.1","0.1","0.0%"
"160","J.P. Holtz (NO)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"160","Brandin Bryant (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.0%"
"160","Rico Dowdle (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","90.2%"
"160","Andrew Beck (DEN)","2","0","0.0","1","0","0","11","5","69","13.8","0","0","9","0.0","0.0","0.2%"
"160","Khari Blasingame (CHI)","0","0","0","0","0","0","1","0","0","0","0","0","5","0.0","0.0","0.0%"
"160","La'Mical Perine (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"160","Sandro Platzgummer (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"160","Kirk Merritt (NO)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"160","Jermar Jefferson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"160","Cullen Gillaspia (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"160","Trenton Cannon (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"160","Jason Cabinda (DET)","1","4","4.0","4","0","0","4","1","5","5.0","0","0","7","0.0","0.0","1.1%"
"160","Qadree Ollison (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"160","Kenjon Barner (TB)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"160","Bryant Koback (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.6%"
"160","Velus Jones Jr. (CHI)","9","103","11.4","42","1","1","14","7","107","15.3","1","3","11","0.0","0.0","0.9%"
"160","Connor Heyward (PIT)","2","27","13.5","21","1","0","17","12","151","12.6","1","0","17","0.0","0.0","0.2%"
"160","Brittain Brown (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.4%"
"160","John Lovett (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"160","Jashaun Corbin (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"160","Jake Funk (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"160","Ben Mason (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"182","Taiwan Jones (BUF)","0","0","0","0","0","0","0","0","0","0","0","1","7","-2.0","-0.3","1.1%"
""
""
