"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Austin Ekeler (LAC)","204","915","4.5","72","4","13","127","107","722","6.7","5","3","17","372.7","21.9","2.6%"
"2","Christian McCaffrey (SF)","244","1,139","4.7","49","9","8","108","85","741","8.7","5","0","17","356.4","21.0","99.4%"
"3","Josh Jacobs (LV)","340","1,653","4.9","86","7","12","64","53","400","7.5","0","1","17","328.3","19.3","98.5%"
"4","Derrick Henry (TEN)","349","1,538","4.4","56","10","13","41","33","398","12.1","0","3","16","302.8","18.9","98.7%"
"5","Saquon Barkley (NYG)","295","1,312","4.4","68","9","10","76","57","338","5.9","0","0","16","284.0","17.8","99.2%"
"6","Nick Chubb (CLE)","302","1,525","5.0","41","13","12","37","27","239","8.9","1","1","17","281.4","16.6","1.4%"
"7","Rhamondre Stevenson (NE)","210","1,040","5.0","49","7","5","88","69","421","6.1","1","1","17","249.1","14.7","90.1%"
"8","Tony Pollard (DAL)","193","1,007","5.2","57","9","9","55","39","371","9.5","3","0","16","248.8","15.6","89.5%"
"9","Aaron Jones Sr. (GB)","213","1,121","5.3","36","6","2","72","59","395","6.7","5","3","17","248.6","14.6","87.5%"
"10","Joe Mixon (CIN)","212","826","3.9","40","4","7","75","60","441","7.4","2","0","15","240.7","16.0","15.1%"
"11","Dalvin Cook (MIN)","264","1,173","4.4","81","5","8","56","39","295","7.6","2","4","17","237.8","14.0","0.6%"
"12","Leonard Fournette (TB)","189","668","3.5","23","1","3","83","73","523","7.2","3","0","16","227.1","14.2","0.1%"
"13","Jamaal Williams (DET)","262","1,066","4.1","58","4","17","16","12","73","6.1","0","2","17","225.9","13.3","2.0%"
"14","Najee Harris (PIT)","272","1,034","3.8","36","1","7","53","41","229","5.6","3","2","17","223.5","13.1","14.8%"
"15","Miles Sanders (PHI)","259","1,269","4.9","40","9","11","26","20","78","3.9","0","2","17","216.7","12.7","0.7%"
"16","Alvin Kamara (NO)","223","897","4.0","27","3","2","77","57","490","8.6","2","4","15","211.7","14.1","56.7%"
"17","Travis Etienne Jr. (JAC)","220","1,125","5.1","62","8","5","45","35","316","9.0","0","2","17","207.1","12.2","96.9%"
"18","Kenneth Walker III (SEA)","228","1,050","4.6","74","10","9","35","27","165","6.1","0","0","15","202.5","13.5","99.0%"
"19","James Conner (ARI)","183","782","4.3","23","3","7","58","46","300","6.5","1","1","13","200.2","15.4","37.7%"
"20","Jerick McKinnon (KC)","72","291","4.0","30","2","1","71","56","512","9.1","9","1","17","196.3","11.5","0.0%"
"21","D'Andre Swift (DET)","99","542","5.5","50","3","5","70","48","389","8.1","3","0","14","191.1","13.7","93.7%"
"22","Ezekiel Elliott (DAL)","231","876","3.8","27","5","12","23","17","92","5.4","0","0","15","185.8","12.4","1.5%"
"23","Devin Singletary (BUF)","178","822","4.6","33","5","5","52","38","280","7.4","1","3","17","178.2","10.5","2.9%"
"24","David Montgomery (CHI)","201","801","4.0","28","2","5","40","34","316","9.3","1","2","16","177.7","11.1","93.6%"
"25","Raheem Mostert (MIA)","181","891","4.9","67","6","3","42","31","202","6.5","2","1","16","168.3","10.5","0.7%"
"26","AJ Dillon (GB)","186","770","4.1","27","3","7","43","28","206","7.4","0","0","17","167.6","9.9","0.6%"
"27","Dameon Pierce (HOU)","220","939","4.3","75","7","4","39","30","165","5.5","1","2","13","166.4","12.8","1.2%"
"28","Antonio Gibson (WAS)","149","546","3.7","20","1","3","58","46","353","7.7","2","0","15","165.9","11.1","0.8%"
"29","Tyler Allgeier (ATL)","210","1,035","4.9","44","6","3","17","16","139","8.7","1","0","16","159.4","10.0","55.2%"
"30","Jeff Wilson Jr. (MIA)","176","860","4.9","41","7","5","37","22","185","8.4","1","2","16","158.5","9.9","1.0%"
"31","Cordarrelle Patterson (ATL)","144","695","4.8","40","4","8","31","21","122","5.8","0","1","13","154.7","11.9","1.0%"
"32","Latavius Murray (DEN)","171","760","4.4","52","5","6","35","27","132","4.9","0","0","14","154.2","11.0","0.0%"
"33","Jonathan Taylor (IND)","192","861","4.5","66","5","4","40","28","143","5.1","0","3","12","146.4","12.2","99.1%"
"34","Samaje Perine (CIN)","95","394","4.1","29","1","2","51","38","287","7.6","4","0","16","142.1","8.9","4.5%"
"35","Cam Akers (LAR)","188","786","4.2","42","3","7","18","13","117","9.0","0","2","15","141.3","9.4","0.6%"
"36","Rachaad White (TB)","129","481","3.7","35","2","1","58","50","290","5.8","2","3","17","139.1","8.2","77.7%"
"37","Isiah Pacheco (KC)","170","830","4.9","31","3","5","14","13","130","10.0","0","2","17","135.0","7.9","57.4%"
"38","D'Onta Foreman (CAR)","203","914","4.5","60","8","5","9","5","26","5.2","0","0","16","131.0","8.2","2.7%"
"39","Kareem Hunt (CLE)","123","468","3.8","24","2","3","44","35","210","6.0","1","0","17","126.8","7.5","2.7%"
"40","Michael Carter (NYJ)","114","402","3.5","25","3","3","54","41","288","7.0","0","1","16","126.0","7.9","1.1%"
"41","Khalil Herbert (CHI)","129","731","5.7","63","4","4","12","9","57","6.3","1","0","13","117.8","9.1","1.1%"
"42","Breece Hall (NYJ)","80","463","5.8","62","3","4","31","19","218","11.5","1","1","7","115.1","16.4","97.4%"
"43","Brian Robinson Jr. (WAS)","205","797","3.9","24","2","2","12","9","60","6.7","1","0","12","112.7","9.4","37.8%"
"44","James Cook III (BUF)","91","525","5.8","33","6","2","32","21","180","8.6","1","1","17","107.5","6.3","99.3%"
"45","Kenyan Drake (BAL)","109","482","4.4","40","5","4","26","17","89","5.2","1","0","12","104.1","8.7","1.1%"
"46","Clyde Edwards-Helaire (KC)","71","302","4.3","52","2","3","23","17","151","8.9","3","0","10","98.3","9.8","0.6%"
"47","Jaylen Warren (PIT)","77","379","4.9","31","3","1","33","28","214","7.6","0","0","16","93.3","5.8","91.1%"
"48","Damien Harris (NE)","106","462","4.4","30","2","3","23","17","97","5.7","0","0","11","90.9","8.3","9.0%"
"49","Eno Benjamin (NO)","77","313","4.1","45","1","2","34","25","193","7.7","0","0","13","89.6","6.9","0.0%"
"50","James Robinson (NYJ)","110","425","3.9","50","4","3","14","11","51","4.6","2","0","11","88.6","8.1","0.0%"
"51","Alexander Mattison (MIN)","74","283","3.8","15","0","5","18","15","91","6.1","1","0","17","88.4","5.2","0.6%"
"52","Kenneth Gainwell (PHI)","53","240","4.5","13","0","4","29","23","169","7.3","0","0","17","87.9","5.2","86.2%"
"53","Chuba Hubbard (CAR)","95","466","4.9","35","3","2","17","14","171","12.2","0","1","14","87.7","6.3","92.7%"
"54","Melvin Gordon III (DEN)","90","318","3.5","17","0","2","32","25","223","8.9","0","2","10","87.1","8.7","0.0%"
"55","Deon Jackson (IND)","68","236","3.5","17","0","1","34","30","209","7.0","1","1","12","84.5","7.0","0.0%"
"56","Nyheim Miller-Hines (BUF)","24","33","1.4","9","0","1","37","30","241","8.0","1","0","16","81.4","5.1","0.0%"
"57","J.K. Dobbins (BAL)","92","520","5.7","44","4","2","8","7","42","6.0","1","0","8","81.2","10.2","87.9%"
"58","Dontrell Hilliard (TEN)","22","145","6.6","30","2","0","26","21","177","8.4","4","0","12","77.2","6.4","0.0%"
"59","Chase Edmonds (DEN)","68","245","3.6","28","3","2","24","16","157","9.8","1","0","13","74.2","5.7","0.0%"
"60","Darrell Henderson Jr. (LAR)","70","283","4.0","23","1","3","22","17","102","6.0","0","0","10","73.5","7.4","0.0%"
"61","Rex Burkhead (HOU)","26","80","3.1","9","0","0","51","37","203","5.5","1","0","15","71.3","4.8","10.0%"
"62","JaMycal Hasty (JAC)","46","194","4.2","61","1","2","27","21","121","5.8","1","0","14","70.5","5.0","1.1%"
"63","Joshua Kelley (LAC)","69","287","4.2","22","1","2","25","14","101","7.2","0","0","12","64.8","5.4","0.0%"
"64","Zack Moss (IND)","93","456","4.9","43","2","1","13","11","39","3.5","0","1","13","64.5","5.0","1.6%"
"65","Matt Breida (NYG)","54","220","4.1","18","0","1","25","20","118","5.9","0","0","17","59.8","3.5","0.0%"
"66","Gus Edwards (BAL)","87","433","5.0","37","3","3","2","0","0","0","0","1","9","59.3","6.6","1.0%"
"67","Bam Knight (NYJ)","85","300","3.5","48","1","1","14","13","100","7.7","0","0","7","59.0","8.4","1.0%"
"68","J.D. McKissic (WAS)","22","95","4.3","33","1","0","40","27","173","6.4","0","0","9","55.8","6.2","1.0%"
"69","Ameer Abdullah (LV)","4","20","5.0","7","0","0","32","25","211","8.4","1","0","16","54.1","3.4","0.6%"
"70","Kyle Juszczyk (SF)","7","26","3.7","9","0","1","23","19","200","10.5","1","0","13","53.6","4.1","1.4%"
"71","Rashaad Penny (SEA)","57","346","6.1","41","5","2","5","4","16","4.0","0","0","5","52.2","10.4","0.0%"
