"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Cooper Kupp (LAR)","191","32.2","145","1,947","13.4","30","16","4","18","0","0","17","439.5","25.9","19.9%"
"2","Davante Adams (GB)","169","29.7","123","1,553","12.6","19","11","0","0","0","0","16","344.3","21.5","97.1%"
"3","Deebo Samuel Sr. (SF)","121","24.2","77","1,405","18.2","24","6","59","365","8","2","16","339.0","21.2","37.5%"
"4","Justin Jefferson (MIN)","167","28.9","108","1,616","15.0","27","10","6","14","0","1","17","330.4","19.4","99.0%"
"5","Ja'Marr Chase (CIN)","128","23.8","81","1,455","18.0","22","13","7","21","0","1","17","304.6","17.9","99.3%"
"6","Tyreek Hill (KC)","159","24.9","111","1,239","11.2","13","9","9","96","0","1","17","296.5","17.4","44.0%"
"7","Stefon Diggs (BUF)","164","26.4","103","1,225","11.9","12","10","0","0","0","0","17","285.5","16.8","51.8%"
"8","Diontae Johnson (PIT)","169","25.8","107","1,161","10.9","14","8","5","53","0","2","16","274.4","17.2","1.0%"
"9","Mike Evans (TB)","114","15.9","74","1,035","14.0","20","14","1","10","0","0","16","262.5","16.4","93.4%"
"10","Hunter Renfrow (LV)","128","21.2","103","1,038","10.1","10","9","3","3","0","1","17","259.1","15.2","1.5%"
"11","Keenan Allen (LAC)","157","24","106","1,138","10.7","12","6","0","0","0","0","16","257.8","16.1","12.2%"
"12","Mike Williams (LAC)","129","19.7","76","1,146","15.1","17","9","0","0","0","0","16","246.6","15.4","1.2%"
"13","Jaylen Waddle (MIA)","140","23.4","104","1,015","9.8","8","6","2","3","1","1","16","245.8","15.4","96.1%"
"14","DK Metcalf (SEA)","129","27.4","75","967","12.9","11","12","1","6","0","0","17","244.3","14.4","92.4%"
"15","Chris Godwin Jr. (TB)","127","17.7","98","1,103","11.3","15","5","4","21","1","2","14","242.4","17.3","88.3%"
"16","Tyler Lockett (SEA)","107","22.7","73","1,175","16.1","22","8","2","9","0","0","16","241.4","15.1","0.7%"
"17","Michael Pittman Jr. (IND)","129","25.8","88","1,082","12.3","12","6","5","44","0","0","17","238.6","14.0","88.8%"
"18","DJ Moore (CAR)","163","28.2","93","1,157","12.4","16","4","8","48","0","1","17","237.5","14.0","94.5%"
"19","CeeDee Lamb (DAL)","120","18.8","79","1,102","13.9","20","6","9","76","0","0","16","232.8","14.6","99.1%"
"20","Brandin Cooks (HOU)","134","25.6","90","1,037","11.5","12","6","2","21","0","0","16","231.8","14.5","0.7%"
"21","Amon-Ra St. Brown (DET)","119","21.5","90","912","10.1","11","5","7","61","1","0","16","227.3","14.2","99.2%"
"22","Hollywood Brown (BAL)","146","24.8","91","1,008","11.1","15","6","1","5","0","1","16","226.3","14.1","9.4%"
"23","Darnell Mooney (CHI)","140","26.7","81","1,055","13.0","14","4","6","32","1","0","17","219.7","12.9","21.0%"
"24","Tee Higgins (CIN)","110","20.5","74","1,091","14.7","17","6","0","0","0","1","14","219.1","15.7","97.5%"
"25","Terry McLaurin (WAS)","130","24.1","77","1,053","13.7","15","5","1","12","0","0","17","213.5","12.6","94.9%"
"26","Christian Kirk (ARI)","103","18.3","77","982","12.8","16","5","1","11","0","0","17","207.6","12.2","17.0%"
"27","Amari Cooper (DAL)","104","16.3","68","865","12.7","15","8","0","0","0","0","15","202.5","13.5","1.1%"
"28","Adam Thielen (MIN)","95","16.4","67","726","10.8","14","10","1","2","0","0","13","199.8","15.4","3.5%"
"29","Jakobi Meyers (NE)","126","23.9","83","866","10.4","12","2","1","9","0","1","16","186.3","11.6","86.7%"
"30","DeVonta Smith (PHI)","104","22.4","64","916","14.3","16","5","0","0","0","1","17","185.6","10.9","98.0%"
"31","Tyler Boyd (CIN)","94","17.4","67","828","12.4","10","5","2","22","0","0","16","183.8","11.5","1.2%"
"32","A.J. Brown (TEN)","105","20","63","869","13.8","10","5","2","10","0","0","13","180.9","13.9","98.6%"
"33","Kendrick Bourne (NE)","70","13.6","55","800","14.5","10","5","12","125","0","1","17","180.5","10.6","3.6%"
"34","Marvin Jones Jr. (JAC)","120","20.5","73","832","11.4","13","4","0","0","0","0","17","180.2","10.6","0.0%"
"35","Brandon Aiyuk (SF)","84","16.8","56","826","14.8","16","5","5","17","0","1","17","170.3","10.0","36.2%"
"36","Van Jefferson (LAR)","89","14.9","50","802","16.0","12","6","2","20","0","0","17","168.2","9.9","1.0%"
"37","Chase Claypool (PIT)","105","16.3","59","860","14.6","13","2","14","96","0","0","15","166.6","11.1","1.1%"
"38","Russell Gage Jr. (ATL)","94","17","66","770","11.7","8","4","0","0","0","2","13","163.0","12.5","0.0%"
"39","Cole Beasley (BUF)","112","18","82","693","8.5","5","1","0","0","0","0","16","159.3","10.0","0.0%"
"40","K.J. Osborn (MIN)","82","14.1","50","655","13.1","10","7","1","10","0","0","17","158.5","9.3","1.4%"
"41","A.J. Green (ARI)","92","16.5","54","848","15.7","16","3","0","0","0","0","16","156.8","9.8","0.7%"
"42","Tim Patrick (DEN)","85","16.8","53","734","13.8","10","5","0","0","0","0","16","156.4","9.8","1.0%"
"43","Marquez Callaway (NO)","84","17.6","46","698","15.2","9","6","0","0","0","0","17","151.8","8.9","0.0%"
"44","Courtland Sutton (DEN)","98","19.3","58","776","13.4","9","2","0","0","0","0","17","150.2","8.8","91.9%"
"45","Cedrick Wilson Jr. (DAL)","61","9.6","45","602","13.4","8","6","2","11","0","0","14","147.8","10.6","1.1%"
"46","DeAndre Hopkins (ARI)","64","11.4","42","572","13.6","7","8","0","0","0","0","10","147.2","14.7","0.7%"
"47","Allen Lazard (GB)","60","10.8","40","513","12.8","8","8","3","32","0","0","14","142.5","10.2","0.7%"
"48","Mecole Hardman Jr. (KC)","83","13.2","59","693","11.7","8","2","8","46","0","2","17","140.9","8.3","0.6%"
"49","Robbie Chosen (CAR)","110","18.9","53","519","9.8","3","5","3","36","0","0","17","138.5","8.1","0.0%"
"50","Elijah Moore (NYJ)","77","13.2","43","538","12.5","9","5","5","54","1","0","11","138.2","12.6","0.6%"
"51","Robert Woods (LAR)","69","11.5","45","556","12.4","8","4","8","46","1","0","9","137.2","15.2","1.2%"
"52","Jarvis Landry (CLE)","87","17.4","52","570","11.0","7","2","6","40","2","2","12","133.0","11.1","7.1%"
"53","Kalif Raymond (DET)","71","12.9","48","576","12.0","8","4","4","28","0","0","16","132.4","8.3","1.2%"
"54","Emmanuel Sanders (BUF)","72","11.7","42","626","14.9","10","4","2","31","0","0","14","131.7","9.4","0.0%"
"55","Odell Beckham Jr. (LAR)","82","14.8","44","537","12.2","7","5","2","14","0","0","14","129.1","9.2","3.0%"
"56","Laviska Shenault Jr. (JAC)","100","17.2","63","619","9.8","5","0","11","41","0","1","16","127.0","7.9","0.0%"
"57","Byron Pringle (KC)","60","9.3","42","568","13.5","11","5","0","0","0","1","16","126.8","7.9","0.0%"
"58","Gabe Davis (BUF)","63","10.2","35","549","15.7","13","6","0","0","0","0","15","125.9","8.4","0.6%"
"59","Braxton Berrios (NYJ)","65","11.2","46","431","9.4","5","2","7","40","2","1","16","121.1","7.6","0.6%"
"59","Antonio Brown (TB)","62","8.6","42","545","13.0","10","4","1","6","0","0","7","121.1","17.3","0.9%"
"61","Quez Watkins (PHI)","62","13.1","43","647","15.0","12","1","1","3","0","0","17","116.0","6.8","0.1%"
"62","Deonte Harty (NO)","59","12.4","36","570","15.8","5","3","5","41","0","1","13","113.1","8.7","0.0%"
"63","Jamison Crowder (NYJ)","71","12.3","51","447","8.8","3","2","0","0","0","1","12","109.7","9.1","1.0%"
"63","Donovan Peoples-Jones (CLE)","58","11.6","34","597","17.6","12","3","0","0","0","1","14","109.7","7.8","0.0%"
"65","Bryan Edwards (LV)","59","9.9","34","571","16.8","11","3","1","0","0","0","16","109.1","6.8","0.0%"
"66","Nick Westbrook-Ikhine (TEN)","57","11","38","476","12.5","5","4","0","0","0","1","15","107.6","7.2","1.5%"
"67","Zay Jones (LV)","70","11.7","47","546","11.6","8","1","2","3","0","1","15","105.9","7.1","1.0%"
"68","Corey Davis (NYJ)","59","10.1","34","492","14.5","9","4","0","0","0","1","9","105.2","11.7","0.0%"
"69","DeVante Parker (MIA)","73","12.2","40","515","12.9","7","2","0","0","0","0","10","103.5","10.4","0.0%"
"69","Rashod Bateman (BAL)","68","11.6","46","515","11.2","8","1","0","0","0","0","12","103.5","8.6","12.3%"
"71","Nelson Agholor (NE)","64","12.4","37","473","12.8","9","3","3","11","0","0","15","103.4","6.9","1.0%"
"72","Jalen Guyton (LAC)","48","7.6","31","448","14.5","5","3","7","34","0","0","16","97.2","6.1","0.0%"
"73","Zach Pascal (IND)","69","13.8","38","384","10.1","5","3","2","21","0","1","16","94.5","5.9","0.0%"
"74","Randall Cobb (GB)","39","7","28","375","13.4","6","5","1","1","0","1","11","93.6","8.5","2.6%"
"75","Joshua Palmer (LAC)","49","7.8","33","353","10.7","3","4","1","6","0","0","15","92.9","6.2","1.6%"
"76","Michael Gallup (DAL)","62","9.8","35","445","12.7","6","2","0","0","0","0","9","91.5","10.2","1.1%"
