"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"50","Robert Tonyan (GB)","29","5.1","18","204","11.3","4","2","0","0","0","0","8","50.4","6.3","0.0%"
"50","James O'Shaughnessy (JAC)","34","5.9","24","244","10.2","5","0","0","0","0","0","7","50.4","7.2","0.0%"
"52","Will Dissly (SEA)","26","5.2","21","231","11.0","5","1","0","0","0","0","13","50.1","3.9","0.6%"
"53","MyCole Pruitt (TEN)","19","3.8","14","145","10.4","2","3","0","0","0","0","13","48.5","3.7","1.0%"
"54","Marcedes Lewis (GB)","28","5.1","23","214","9.3","3","0","0","0","0","0","13","44.4","3.4","0.0%"
"55","Jordan Akins (HOU)","33","6.5","24","214","8.9","1","0","1","3","0","2","12","41.7","3.5","1.0%"
"56","Maxx Williams (ARI)","17","3","16","193","12.1","3","1","0","0","0","0","5","41.3","8.3","0.0%"
"57","Tyler Kroft (NYJ)","25","4.2","16","173","10.8","3","1","0","0","0","0","9","39.3","4.4","0.0%"
"58","Stephen Anderson (LAC)","19","3.1","16","165","10.3","3","1","0","0","0","0","14","38.5","2.8","0.0%"
"59","Pharaoh Brown (HOU)","34","6.8","23","171","7.4","2","0","0","0","0","1","13","38.1","2.9","0.0%"
"60","Ian Thomas (CAR)","30","5","18","188","10.4","3","0","0","0","0","0","14","36.8","2.6","0.1%"
"61","Zach Gentry (PIT)","25","4","19","167","8.8","2","0","0","0","0","0","10","35.7","3.6","0.0%"
"61","Brock Wright (DET)","17","3.1","12","117","9.8","2","2","0","0","0","0","8","35.7","4.5","0.8%"
"63","O.J. Howard (TB)","21","2.7","14","135","9.6","1","1","0","0","0","0","11","33.5","3.0","0.0%"
"64","Blake Jarwin (DAL)","17","2.7","11","96","8.7","1","2","0","0","0","0","8","32.6","4.1","4.0%"
"65","Eric Ebron (PIT)","18","2.8","12","84","7.0","0","1","1","1","1","0","8","32.5","4.1","0.0%"
"66","Nick Vannett (NO)","15","3.1","9","133","14.8","2","1","0","0","0","0","7","28.3","4.0","0.0%"
"67","Adam Shaheen (MIA)","16","2.7","12","110","9.2","1","0","0","0","0","0","9","23.0","2.6","0.0%"
"68","Jody Fortson Jr. (KC)","5","0.9","5","47","9.4","1","2","0","0","0","0","4","21.7","5.4","0.0%"
"69","Kylen Granson (IND)","15","3","11","106","9.6","1","0","0","0","0","0","10","21.6","2.2","1.2%"
"70","Lee Smith (ATL)","11","2","9","65","7.2","1","1","0","0","0","0","10","21.5","2.2","0.0%"
"71","Jacob Hollister (JAC)","14","2.4","9","55","6.1","0","1","0","0","0","0","7","20.5","2.9","1.0%"
"72","Tommy Sweeney (BUF)","12","2","9","44","4.9","0","1","0","0","0","0","7","19.4","2.8","0.0%"
"73","Jesse James (CHI)","8","1.6","7","62","8.9","0","1","0","0","0","0","5","19.2","3.8","0.0%"
"74","Drew Sample (CIN)","15","2.9","11","81","7.4","0","0","0","0","0","0","10","19.1","1.9","0.6%"
"74","Chris Manhertz (JAC)","9","1.7","6","71","11.8","1","1","0","0","0","0","10","19.1","1.9","0.1%"
"76","Eric Saubert (DEN)","12","2.4","8","47","5.9","0","1","0","0","0","0","10","18.7","1.9","0.9%"
"76","Blake Bell (KC)","13","2.4","9","87","9.7","2","0","4","10","0","0","12","18.7","1.6","0.0%"
"78","Noah Gray (KC)","10","1.8","7","36","5.1","0","1","0","0","0","0","7","16.6","2.4","6.3%"
"79","Jesper Horsted (CHI)","3","0.6","2","21","10.5","0","2","0","0","0","0","4","16.1","4.0","0.0%"
"80","Antony Auclair (HOU)","5","1","5","47","9.4","0","1","0","0","0","0","4","15.7","3.9","0.0%"
"81","Josh Oliver (BAL)","15","2.7","9","66","7.3","0","0","0","0","0","0","11","15.6","1.4","1.2%"
"82","Ross Dwelley (SF)","5","1","4","51","12.8","1","1","0","0","0","0","4","15.1","3.8","0.0%"
"83","Chris Herndon IV (MIN)","7","1.2","4","40","10.0","0","1","0","0","0","0","6","14.0","2.3","0.0%"
