"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"45","Miles Sanders (PHI)","137","754","5.5","38","7","0","34","26","158","6.1","0","1","12","117.2","9.8","0.7%"
"46","Ty Johnson (NYJ)","61","238","3.9","24","2","2","55","34","372","10.9","2","1","15","117.0","7.8","5.9%"
"47","Rhamondre Stevenson (NE)","133","606","4.6","21","1","5","18","14","123","8.8","0","1","12","114.9","9.6","90.1%"
"48","Nyheim Miller-Hines (IND)","56","276","4.9","34","2","2","57","40","310","7.8","1","2","17","112.6","6.6","0.0%"
"49","Kareem Hunt (CLE)","78","386","4.9","33","2","5","27","22","174","7.9","0","0","8","110.0","13.8","2.7%"
"50","Mark Ingram II (NO)","160","554","3.5","28","2","2","35","27","162","6.0","0","1","14","108.6","7.8","2.1%"
"51","Zack Moss (BUF)","96","345","3.6","17","0","4","32","23","197","8.6","1","1","13","105.2","8.1","1.6%"
"52","Rex Burkhead (HOU)","122","427","3.5","36","2","3","32","25","186","7.4","0","0","15","104.3","7.0","10.0%"
"53","D'Ernest Johnson (CLE)","100","534","5.3","30","4","3","25","19","137","7.2","0","0","13","104.1","8.0","1.0%"
"54","Latavius Murray (BAL)","119","501","4.2","46","3","6","13","10","75","7.5","0","0","14","103.6","7.4","0.0%"
"55","Kenyan Drake (LV)","63","254","4.0","21","1","2","40","30","291","9.7","1","0","12","102.5","8.5","1.1%"
"56","Boston Scott (PHI)","87","373","4.3","23","2","7","16","13","83","6.4","0","1","11","98.6","9.0","0.0%"
"57","D'Onta Foreman (TEN)","133","566","4.3","35","4","3","11","9","123","13.7","0","1","9","93.9","10.4","2.7%"
"58","Ameer Abdullah (CAR)","51","166","3.3","15","0","0","53","38","289","7.6","1","0","17","89.5","5.3","0.6%"
"59","Justin Jackson (LAC)","68","364","5.4","75","2","2","25","22","178","8.1","0","1","14","86.2","6.2","0.0%"
"60","Samaje Perine (CIN)","55","246","4.5","46","2","1","31","27","196","7.3","1","0","15","83.2","5.5","4.5%"
"61","David Johnson (HOU)","67","228","3.4","15","0","0","42","32","225","7.0","1","1","13","81.3","6.3","0.0%"
"62","Ronald Jones II (TB)","101","428","4.2","30","1","4","13","10","64","6.4","0","2","15","79.2","5.3","0.0%"
"63","Khalil Herbert (CHI)","103","433","4.2","29","4","2","16","14","96","6.9","0","0","16","78.9","4.9","1.1%"
"64","Kyle Juszczyk (SF)","8","22","2.8","6","0","1","38","30","296","9.9","1","0","15","73.8","4.9","1.4%"
"65","Jeremy McNichols (TEN)","41","156","3.8","14","0","0","38","28","240","8.6","1","0","13","73.6","5.7","0.8%"
"66","Dontrell Hilliard (TEN)","56","350","6.3","68","2","2","26","19","87","4.6","0","1","8","72.7","9.1","0.0%"
"67","Alex Collins (SEA)","108","411","3.8","25","2","2","10","9","87","9.7","0","1","11","68.8","6.3","19.0%"
"68","Jordan Howard (PHI)","86","406","4.7","25","1","3","5","2","19","9.5","0","0","7","62.5","8.9","0.0%"
"69","Travis Homer (SEA)","21","177","8.4","73","2","1","20","16","161","10.1","0","0","14","61.8","4.4","0.6%"
"70","Damien Williams (CHI)","40","164","4.1","23","1","2","23","16","103","6.4","1","0","12","60.7","5.1","0.0%"
"71","DeeJay Dallas (SEA)","33","138","4.2","15","0","2","23","21","133","6.3","0","0","17","60.1","3.5","0.1%"
"72","Duke Johnson Jr. (MIA)","71","330","4.6","27","1","3","5","4","41","10.3","0","0","5","59.1","11.8","0.0%"
"72","Giovani Bernard (TB)","8","58","7.3","24","1","0","29","23","123","5.3","3","0","10","59.1","5.9","0.0%"
"74","Derrick Gore (KC)","51","256","5.0","51","2","2","9","8","105","13.1","0","0","8","56.1","7.0","0.0%"
"75","Jaret Patterson (WAS)","68","266","3.9","13","0","2","12","10","73","7.3","0","0","15","55.9","3.7","0.6%"
"76","Tevin Coleman (NYJ)","84","356","4.2","20","1","0","16","11","49","4.5","0","0","11","51.5","4.7","0.0%"
"76","Jeff Wilson Jr. (SF)","79","294","3.7","17","0","2","8","7","31","4.4","0","0","9","51.5","5.7","1.0%"
"78","Demetric Felton Jr. (CLE)","7","24","3.4","12","0","0","21","18","181","10.1","2","0","15","50.5","3.4","0.0%"
"79","Dare Ogunbowale (JAC)","43","137","3.2","12","0","1","21","13","114","8.8","1","0","13","50.1","3.9","1.0%"
"80","Peyton Barber (LV)","55","212","3.9","27","1","2","13","10","67","6.7","0","0","10","49.9","5.0","1.0%"
"81","Chris Evans (CIN)","17","77","4.5","13","0","0","17","15","151","10.1","2","0","9","49.8","5.5","0.0%"
