"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Justin Jefferson (MIN)","184","28.5","128","1,809","14.1","28","8","4","24","1","0","17","368.6","21.7","99.0%"
"2","Tyreek Hill (MIA)","170","30.2","119","1,710","14.4","25","7","7","32","1","0","17","347.2","20.4","44.0%"
"3","Davante Adams (LV)","180","32.2","100","1,516","15.2","24","14","3","-1","0","0","17","335.5","19.7","97.1%"
"4","Stefon Diggs (BUF)","156","28.1","110","1,455","13.2","17","11","1","-3","0","0","17","321.2","18.9","51.8%"
"5","CeeDee Lamb (DAL)","156","28.7","107","1,359","12.7","24","9","10","47","0","0","17","301.6","17.7","99.1%"
"6","A.J. Brown (PHI)","145","29","88","1,496","17.0","23","11","0","0","0","2","17","299.6","17.6","98.6%"
"7","Amon-Ra St. Brown (DET)","146","26.3","106","1,161","11.0","11","6","9","95","0","0","16","267.6","16.7","99.2%"
"8","Jaylen Waddle (MIA)","117","20.9","75","1,356","18.1","21","8","3","26","0","1","17","259.2","15.2","96.1%"
"9","DeVonta Smith (PHI)","136","27.2","95","1,196","12.6","18","7","0","0","0","1","17","254.6","15.0","98.0%"
"10","Amari Cooper (CLE)","132","26.4","78","1,160","14.9","18","9","0","0","0","0","17","247.0","14.5","1.1%"
"11","Ja'Marr Chase (CIN)","134","22.4","87","1,046","12.0","13","9","5","8","0","2","13","242.4","18.6","99.3%"
"12","Christian Kirk (JAC)","133","23.1","84","1,108","13.2","18","8","5","11","0","1","17","241.9","14.2","17.0%"
"13","Tyler Lockett (SEA)","117","21.1","84","1,033","12.3","14","9","0","0","0","2","16","237.3","14.8","0.7%"
"14","Terry McLaurin (WAS)","120","22.5","77","1,191","15.5","16","5","7","29","0","0","17","229.0","13.5","94.9%"
"15","Brandon Aiyuk (SF)","114","22.8","78","1,015","13.0","17","8","2","23","0","1","17","227.8","13.4","36.2%"
"16","DK Metcalf (SEA)","141","25.4","90","1,048","11.6","11","6","0","0","0","2","17","226.8","13.3","92.4%"
"17","Mike Evans (TB)","127","17.6","77","1,124","14.6","19","6","0","0","0","0","15","225.4","15.0","93.4%"
"18","Tee Higgins (CIN)","110","18.4","75","1,042","13.9","14","7","0","0","0","0","15","223.2","14.9","97.5%"
"19","Chris Godwin Jr. (TB)","142","19.6","104","1,023","9.8","10","3","3","5","0","2","15","222.8","14.9","88.3%"
"20","Michael Pittman Jr. (IND)","141","24.5","99","925","9.3","8","4","3","30","0","1","16","216.5","13.5","88.8%"
"21","Garrett Wilson (NYJ)","147","25.2","83","1,103","13.3","13","4","4","4","0","1","17","215.7","12.7","97.2%"
"22","Jerry Jeudy (DEN)","100","18.6","67","972","14.5","14","6","4","40","0","0","15","204.2","13.6","41.1%"
"23","Cooper Kupp (LAR)","98","19","75","812","10.8","11","6","9","52","1","1","9","201.4","22.4","19.9%"
"24","DJ Moore (CAR)","118","27.5","63","888","14.1","17","7","10","53","0","0","17","199.1","11.7","94.5%"
"25","Chris Olave (NO)","119","23.8","72","1,042","14.5","13","4","0","0","0","2","15","198.2","13.2","98.0%"
