"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","New England Patriots (NE)","47","25","11","14","5","1","2","16","232.0","14.5","80.6%"
"2","Pittsburgh Steelers (PIT)","54","20","18","19","3","0","1","16","181.0","11.3","66.0%"
"3","San Francisco 49ers (SF)","48","12","15","21","5","0","0","16","163.0","10.2","27.8%"
"4","Baltimore Ravens (BAL)","37","13","12","15","6","0","0","16","153.0","9.6","46.5%"
"5","Kansas City Chiefs (KC)","45","16","7","12","3","0","1","16","148.0","9.3","27.4%"
"6","Los Angeles Rams (LAR)","50","13","11","13","4","1","0","16","146.0","9.1","76.5%"
"7","Minnesota Vikings (MIN)","48","17","14","18","2","1","0","16","145.0","9.1","62.3%"
"8","New Orleans Saints (NO)","51","13","10","10","3","1","1","16","143.0","8.9","22.4%"
"9","Tampa Bay Buccaneers (TB)","47","12","16","20","6","0","0","16","137.0","8.6","22.4%"
"9","Buffalo Bills (BUF)","44","14","9","15","0","1","1","16","137.0","8.6","32.8%"
"11","New York Jets (NYJ)","35","12","9","8","5","2","1","16","134.0","8.4","8.2%"
"12","Tennessee Titans (TEN)","43","14","9","10","3","1","1","16","133.0","8.3","13.0%"
"13","Indianapolis Colts (IND)","41","15","8","13","1","2","2","16","126.0","7.9","20.5%"
"14","Seattle Seahawks (SEA)","28","16","16","18","3","0","0","16","124.0","7.8","95.5%"
"15","Philadelphia Eagles (PHI)","43","11","9","15","3","0","0","16","113.0","7.1","82.1%"
"16","Green Bay Packers (GB)","41","17","7","11","0","0","0","16","110.0","6.9","33.6%"
"17","Chicago Bears (CHI)","32","10","9","12","1","1","1","16","105.0","6.6","16.7%"
"18","Jacksonville Jaguars (JAC)","47","10","9","13","2","0","0","16","103.0","6.4","65.4%"
"19","Denver Broncos (DEN)","40","10","6","8","1","0","0","16","101.0","6.3","93.0%"
"20","Dallas Cowboys (DAL)","39","7","10","13","1","0","0","16","99.0","6.2","19.4%"
"21","Atlanta Falcons (ATL)","28","12","8","13","2","0","1","16","98.0","6.1","16.1%"
"22","Carolina Panthers (CAR)","53","14","7","8","1","2","0","16","95.0","5.9","7.8%"
"23","Washington Commanders (WAS)","46","13","9","15","0","0","1","16","94.0","5.9","18.0%"
"23","Houston Texans (HOU)","31","12","10","14","2","0","0","16","94.0","5.9","94.8%"
"25","Cleveland Browns (CLE)","38","14","6","12","1","0","0","16","91.0","5.7","33.6%"
"26","New York Giants (NYG)","36","10","6","8","2","1","0","16","87.0","5.4","28.3%"
"27","Los Angeles Chargers (LAC)","30","11","3","5","0","0","1","16","81.0","5.1","49.2%"
"28","Detroit Lions (DET)","28","7","11","13","1","0","2","16","78.0","4.9","43.4%"
"29","Arizona Cardinals (ARI)","40","7","10","19","0","0","0","16","68.0","4.3","6.0%"
"30","Cincinnati Bengals (CIN)","31","11","5","9","0","1","1","16","67.0","4.2","5.2%"
"31","Miami Dolphins (MIA)","23","13","3","9","1","1","1","16","53.0","3.3","10.2%"
"32","Las Vegas Raiders (OAK)","32","9","6","8","2","0","0","16","21.0","1.3","11.6%"
""
""
