"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","CeeDee Lamb (DAL)","181","30","135","1,749","13.0","29","12","14","113","2","2","17","403.2","23.7","99.1%"
"2","Tyreek Hill (MIA)","171","31.1","119","1,799","15.1","29","13","6","15","0","1","16","376.4","23.5","44.0%"
"3","Amon-Ra St. Brown (DET)","164","28.8","119","1,515","12.7","24","10","4","24","0","1","16","330.9","20.7","99.2%"
"4","Puka Nacua (LAR)","160","29","105","1,486","14.2","25","6","12","89","0","0","17","298.5","17.6","99.5%"
"5","A.J. Brown (PHI)","158","30.2","106","1,456","13.7","21","7","0","0","0","2","17","289.6","17.0","98.6%"
"6","DJ Moore (CHI)","136","28.7","96","1,364","14.2","25","8","4","21","1","1","17","286.5","16.9","94.5%"
"7","Mike Evans (TB)","136","24.7","79","1,255","15.9","20","13","0","0","0","0","17","282.5","16.6","93.4%"
"8","Keenan Allen (LAC)","150","24.6","108","1,243","11.5","19","7","2","6","0","1","13","278.9","21.5","12.2%"
"9","Stefon Diggs (BUF)","160","29.4","107","1,183","11.1","10","8","1","5","0","1","17","273.8","16.1","51.8%"
"10","Davante Adams (LV)","175","32.9","103","1,144","11.1","13","8","0","0","0","0","17","265.4","15.6","97.1%"
"11","Ja'Marr Chase (CIN)","145","24.5","100","1,216","12.2","14","7","3","-6","0","0","16","262.7","16.4","99.3%"
"12","Nico Collins (HOU)","109","19.3","80","1,297","16.2","25","8","1","7","0","0","15","260.4","17.4","99.3%"
"13","Michael Pittman Jr. (IND)","156","28.6","109","1,152","10.6","10","4","0","0","0","1","16","250.2","15.6","88.8%"
"14","Brandon Aiyuk (SF)","105","22.3","75","1,342","17.9","28","7","0","0","0","1","16","249.2","15.6","36.2%"
"15","Deebo Samuel Sr. (SF)","89","18.6","60","892","14.9","15","7","37","225","5","0","15","243.7","16.2","37.5%"
"16","Chris Olave (NO)","138","23.9","87","1,123","12.9","16","5","0","0","0","0","16","231.3","14.5","98.0%"
"17","Adam Thielen (CAR)","137","25.7","103","1,014","9.8","9","4","1","6","0","0","17","231.0","13.6","3.5%"
"18","Calvin Ridley (JAC)","136","22.3","76","1,016","13.4","17","8","9","23","0","0","17","229.9","13.5","33.0%"
"19","DeVonta Smith (PHI)","112","21.6","81","1,066","13.2","14","7","0","0","0","1","16","227.6","14.2","98.0%"
"20","Amari Cooper (CLE)","128","21.1","72","1,250","17.4","21","5","0","0","0","1","15","227.0","15.1","1.1%"
"21","DK Metcalf (SEA)","119","21.7","66","1,114","16.9","19","8","0","0","0","0","16","225.4","14.1","92.4%"
"22","DeAndre Hopkins (TEN)","137","29","75","1,057","14.1","15","7","2","9","0","0","17","223.6","13.2","0.7%"
"23","Jordan Addison (MIN)","108","18","70","911","13.0","15","10","1","2","0","0","17","221.3","13.0","85.8%"
"24","Jakobi Meyers (LV)","106","19.9","71","807","11.4","8","8","4","24","2","0","16","218.6","13.7","86.7%"
"25","Jayden Reed (GB)","94","16.7","64","793","12.4","13","8","11","119","2","0","16","217.2","13.6","79.0%"
"26","Garrett Wilson (NYJ)","168","29.8","95","1,042","11.0","11","3","4","0","0","2","17","213.2","12.5","97.2%"
"27","Rashee Rice (KC)","102","16.9","79","938","11.9","10","7","1","-3","0","1","16","212.5","13.3","98.0%"
"28","Chris Godwin Jr. (TB)","130","23.8","83","1,024","12.3","14","2","4","38","1","0","17","209.2","12.3","88.3%"
"28","Terry McLaurin (WAS)","132","21.9","79","1,002","12.7","15","4","0","0","0","0","17","209.2","12.3","94.9%"
"30","George Pickens (PIT)","106","21.6","63","1,140","18.1","22","5","3","18","0","0","17","208.8","12.3","98.9%"
"31","Zay Flowers (BAL)","108","22.7","77","858","11.1","12","5","8","56","1","0","16","206.4","12.9","97.1%"
"32","Tyler Lockett (SEA)","122","22.2","79","894","11.3","9","5","0","0","0","0","17","202.4","11.9","0.7%"
"33","Justin Jefferson (MIN)","100","16.6","68","1,074","15.8","25","5","1","-12","0","1","10","202.2","20.2","99.0%"
"34","Jaylen Waddle (MIA)","104","19","72","1,014","14.1","12","4","3","12","0","0","14","198.6","14.2","96.1%"
"35","Courtland Sutton (DEN)","90","18.8","59","772","13.1","14","10","0","0","0","3","16","190.2","11.9","91.9%"
"36","Drake London (ATL)","110","22","69","905","13.1","17","2","0","0","0","0","16","174.4","10.9","99.0%"
"36","Romeo Doubs (GB)","96","17","59","674","11.4","7","8","0","0","0","0","17","174.4","10.3","75.9%"
"38","Brandin Cooks (DAL)","81","13.6","54","657","12.2","11","8","5","35","0","0","16","173.2","10.8","0.7%"
"39","Tank Dell (HOU)","75","13.2","47","709","15.1","10","7","11","51","0","0","11","165.0","15.0","28.2%"
"40","Cooper Kupp (LAR)","95","17.2","59","737","12.5","10","5","1","-3","0","0","12","164.4","13.7","19.9%"
"41","Gabe Davis (BUF)","81","15","45","746","16.6","12","7","1","-2","0","1","17","161.4","9.5","0.6%"
"42","Curtis Samuel (WAS)","91","15.2","62","613","9.9","7","4","7","39","1","0","16","157.2","9.8","1.1%"
"43","Josh Downs (IND)","98","17.7","68","771","11.3","10","2","0","0","0","0","17","157.1","9.2","79.8%"
"44","Rashid Shaheed (NO)","75","12.9","46","719","15.6","12","5","7","37","0","1","16","155.6","9.7","46.8%"
"45","Diontae Johnson (PIT)","87","17.8","51","717","14.1","10","5","0","0","0","0","13","152.7","11.7","1.0%"
"46","Darius Slayton (NYG)","79","15.9","50","770","15.4","11","4","0","0","0","0","17","151.0","8.9","8.6%"
"47","Christian Kirk (JAC)","85","14.1","57","787","13.8","13","3","1","6","0","2","12","150.3","12.5","17.0%"
"48","Jaxon Smith-Njigba (SEA)","93","16.9","63","628","10.0","7","4","0","0","0","0","17","149.8","8.8","99.4%"
"49","Tyler Boyd (CIN)","98","16.4","67","667","10.0","6","2","2","11","0","0","17","145.8","8.6","1.2%"
"50","Jerry Jeudy (DEN)","87","18.2","54","758","14.0","10","2","0","0","0","0","16","141.8","8.9","41.1%"
"51","Tee Higgins (CIN)","76","13","42","656","15.6","8","5","0","0","0","0","12","137.6","11.5","97.5%"
"52","Hollywood Brown (ARI)","101","18.8","51","574","11.3","8","4","2","23","0","0","13","134.7","10.4","9.4%"
"53","Wan'Dale Robinson (NYG)","78","15.8","60","525","8.8","7","1","9","87","1","0","15","133.2","8.9","82.2%"
"54","Elijah Moore (CLE)","104","17.5","59","640","10.8","9","2","9","11","0","2","16","132.1","8.3","0.6%"
"55","Josh Reynolds (DET)","64","11.3","40","608","15.2","17","5","0","0","0","1","16","128.8","8.1","1.1%"
"56","Jahan Dotson (WAS)","83","13.9","49","518","10.6","5","4","0","0","0","0","17","124.8","7.3","5.7%"
"57","K.J. Osborn (MIN)","75","12.5","48","540","11.3","7","3","0","0","0","0","15","120.0","8.0","1.4%"
"58","Dontayvion Wicks (GB)","58","10.4","39","581","14.9","11","4","1","1","0","1","15","119.8","8.0","14.3%"
"59","DJ Chark Jr. (CAR)","66","12.2","35","525","15.0","9","5","0","0","0","1","14","115.5","8.3","1.3%"
"60","Michael Wilson (ARI)","58","10.7","38","565","14.9","7","3","0","0","0","0","13","114.5","8.8","89.6%"
"61","Khalil Shakir (BUF)","45","8.3","39","611","15.7","10","2","1","10","0","0","17","113.1","6.7","70.1%"
"62","Tutu Atwell (LAR)","67","12","39","483","12.4","8","3","5","31","0","0","16","112.4","7.0","2.5%"
"63","Odell Beckham Jr. (BAL)","64","13.3","35","565","16.1","10","3","0","0","0","1","14","107.5","7.7","3.0%"
"64","DeMario Douglas (NE)","79","14.8","49","561","11.4","6","0","8","41","0","1","14","107.2","7.7","9.5%"
"65","Joshua Palmer (LAC)","61","9.9","38","581","15.3","9","2","1","6","0","1","11","106.7","9.7","1.6%"
"66","Noah Brown (HOU)","55","9.8","33","567","17.2","14","2","1","-1","0","0","10","101.6","10.2","0.7%"
"67","Christian Watson (GB)","53","9.3","28","422","15.1","5","5","4","11","0","0","9","101.3","11.3","91.8%"
"68","Kendrick Bourne (NE)","55","10.1","37","406","11.0","5","4","1","4","0","1","8","100.0","12.5","3.6%"
"69","Kalif Raymond (DET)","44","8","35","489","14.0","9","1","7","75","0","0","17","97.4","5.7","1.2%"
"70","Nelson Agholor (BAL)","45","9.4","35","381","10.9","4","4","0","0","0","0","16","97.1","6.1","1.0%"
"71","Trey Palmer (TB)","68","12.4","39","385","9.9","6","3","3","22","0","1","17","95.7","5.6","2.3%"
"72","Alec Pierce (IND)","65","11.9","32","514","16.1","8","2","0","0","0","0","17","95.4","5.6","90.7%"
"73","Quentin Johnston (LAC)","67","11","38","431","11.3","5","2","3","9","0","0","17","94.0","5.5","78.8%"
"74","Michael Thomas (NO)","64","11.1","39","448","11.5","4","1","0","0","0","0","10","89.8","9.0","0.7%"
"75","Robert Woods (HOU)","75","13.3","40","426","10.7","2","1","1","7","0","0","14","89.3","6.4","1.2%"
"76","Justin Watson (KC)","53","8.9","27","460","17.0","8","3","0","0","0","1","15","89.0","5.9","1.0%"
"77","Michael Gallup (DAL)","57","9.4","34","418","12.3","6","2","0","0","0","0","17","87.8","5.2","1.1%"
"78","Demarcus Robinson (LAR)","39","7.1","26","371","14.3","7","4","1","23","0","1","9","87.4","9.7","1.0%"
"79","Nick Westbrook-Ikhine (TEN)","45","9.3","28","370","13.2","8","3","0","0","0","0","13","85.0","6.5","1.5%"
"80","Jonathan Mingo (CAR)","85","15.8","43","418","9.7","6","0","0","0","0","0","15","84.8","5.7","0.6%"
"81","Jameson Williams (DET)","42","7.4","24","354","14.8","5","2","3","29","1","0","12","80.3","6.7","95.1%"
"82","Darnell Mooney (CHI)","61","12.6","31","414","13.4","7","1","2","5","0","0","14","78.9","5.6","21.0%"
"83","Zay Jones (JAC)","64","10.6","34","321","9.4","3","2","0","0","0","0","9","78.1","8.7","1.0%"
"84","Rashod Bateman (BAL)","56","11.6","32","367","11.5","2","1","1","18","0","0","16","76.5","4.8","12.3%"
