"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"23","Geno Smith (LV)","302","448","67.4","3,025","6.8","19","17","55","41","109","0","1","15","190.9","12.7","24.5%"
"24","Brock Purdy (SF)","197","284","69.4","2,167","7.6","20","10","11","33","147","3","2","9","187.4","20.8","91.5%"
"25","Tua Tagovailoa (MIA)","260","384","67.7","2,660","6.9","20","15","30","20","43","0","1","14","175.6","12.5","25.0%"
"26","Tyler Shough (NO)","221","327","67.6","2,384","7.3","10","6","31","45","186","3","2","11","164.0","14.9","62.4%"
"27","Joe Flacco (CIN)","251","416","60.3","2,479","6.0","15","10","18","21","35","1","3","13","156.9","12.1","8.1%"
"28","Justin Fields (NYJ)","128","204","62.7","1,259","6.2","7","1","27","71","383","4","3","9","143.6","16.0","16.1%"
"29","Joe Burrow (CIN)","173","259","66.8","1,809","7.0","17","5","17","14","41","0","0","8","139.4","17.4","97.2%"
"30","J.J. McCarthy (MIN)","140","243","57.6","1,632","6.7","11","12","27","37","181","4","2","10","137.3","13.7","18.8%"
"31","Mac Jones (SF)","201","289","69.6","2,151","7.4","13","6","16","36","60","0","2","11","136.2","12.4","15.8%"
"32","Marcus Mariota (WAS)","139","227","61.2","1,695","7.5","10","7","16","50","297","1","3","12","132.4","11.0","8.8%"
"33","Michael Penix Jr. (ATL)","166","276","60.1","1,982","7.2","9","3","13","21","70","1","2","9","123.2","13.7","22.7%"
"34","Jayden Daniels (WAS)","114","188","60.6","1,262","6.7","8","3","18","58","278","2","2","7","117.1","16.7","98.0%"
"35","Kirk Cousins (ATL)","166","269","61.7","1,721","6.4","10","5","13","14","7","1","1","10","108.6","10.9","18.6%"
"36","Spencer Rattler (NO)","174","257","67.7","1,586","6.2","8","5","18","31","167","0","2","9","104.1","11.6","1.9%"
"37","Shedeur Sanders (CLE)","120","212","56.6","1,400","6.6","7","10","23","21","169","1","1","8","95.0","11.9","23.2%"
"38","Kyler Murray (ARI)","110","161","68.3","962","6.0","6","3","16","29","173","1","1","5","80.8","16.2","76.7%"
"39","Carson Wentz (MIN)","110","169","65.1","1,216","7.2","6","5","19","11","57","0","0","5","75.3","15.1","0.8%"
"40","Dillon Gabriel (CLE)","110","185","59.5","937","5.1","7","2","19","14","86","0","0","10","72.0","7.2","0.8%"
"41","Davis Mills (HOU)","91","159","57.2","915","5.8","5","1","8","13","60","1","0","6","69.6","11.6","2.4%"
"42","Tyrod Taylor (NYJ)","80","134","59.7","779","5.8","5","5","14","27","143","1","1","6","64.4","10.7","1.6%"
"43","Jake Browning (CIN)","81","125","64.8","771","6.2","6","8","9","9","39","1","0","5","56.7","11.3","1.1%"
"44","Russell Wilson (NYG)","69","119","58.0","831","7.0","3","3","10","18","106","0","0","6","52.8","8.8","1.0%"
"45","Malik Willis (GB)","30","35","85.7","422","12.1","3","0","3","22","123","2","1","4","51.1","12.8","51.8%"
"46","Jameis Winston (NYG)","37","66","56.1","567","8.6","2","2","3","7","23","1","1","3","45.2","15.1","7.9%"
"47","Tyler Huntley (BAL)","52","67","77.6","426","6.4","2","0","8","24","151","0","0","5","40.1","8.0","3.5%"
"48","Quinn Ewers (MIA)","55","83","66.3","622","7.5","3","3","8","8","19","0","0","4","36.2","9.1","6.1%"
"49","Brady Cook (NYJ)","88","153","57.5","739","4.8","2","7","19","13","49","0","1","5","35.4","7.1","0.6%"
"50","Philip Rivers (IND)","58","92","63.0","544","5.9","4","3","5","2","-1","0","0","3","34.7","11.6","2.8%"
"51","Riley Leonard (IND)","39","67","58.2","415","6.2","2","3","2","6","27","2","2","5","32.0","6.4","7.6%"
"52","Mitchell Trubisky (BUF)","25","35","71.4","313","8.9","4","0","0","9","6","0","0","4","31.2","7.8","0.9%"
"53","Josh Johnson (WAS)","34","54","63.0","372","6.9","1","2","2","12","55","1","1","5","26.3","5.3","0.7%"
"54","Mason Rudolph (PIT)","38","52","73.1","310","6.0","2","2","2","7","6","0","1","5","17.0","3.4","1.6%"
"55","Tanner McKee (PHI)","24","43","55.8","274","6.4","1","1","3","8","8","0","0","4","14.7","3.7","2.9%"
"56","Trey Lance (LAC)","27","57","47.4","226","4.0","0","1","6","17","85","0","1","4","14.6","3.7","2.2%"
"57","Joe Milton III (DAL)","15","24","62.5","183","7.6","1","2","0","5","50","0","1","4","12.2","3.1","4.7%"
"58","Chris Oladokun (KC)","35","55","63.6","235","4.3","1","0","8","5","18","0","2","3","11.1","3.7","0.9%"
"59","Andy Dalton (CAR)","25","37","67.6","293","7.9","1","1","8","5","-2","0","2","4","10.5","2.6","0.9%"
"60","Kenny Pickett (LV)","28","45","62.2","188","4.2","1","2","8","5","22","0","1","6","9.7","1.6","1.7%"
"61","Max Brosmer (MIN)","47","71","66.2","328","4.6","0","4","14","7","11","0","1","7","8.2","1.2","0.6%"
"62","Cooper Rush (BAL)","34","52","65.4","303","5.8","0","4","1","4","-4","0","1","4","5.8","1.5","1.2%"
"63","Aidan O'Connell (LV)","10","22","45.5","102","4.6","0","0","1","1","7","0","0","1","4.8","4.8","0.6%"
"64","Shane Buechele (KC)","7","14","50.0","88","6.3","0","0","5","1","4","0","0","1","3.9","3.9","0.0%"
"65","Clayton Tune (GB)","7","15","46.7","42","2.8","0","1","5","5","23","0","0","2","3.0","1.5","1.0%"
"66","Teddy Bridgewater (TB)","8","15","53.3","62","4.1","0","0","2","3","4","0","0","4","2.9","0.7","1.0%"
"67","Tyson Bagent (CHI)","3","4","75.0","47","11.8","0","0","0","2","7","0","0","3","2.6","0.9","4.8%"
"68","Anthony Richardson Sr. (IND)","1","2","50.0","9","4.5","0","0","0","4","-1","0","0","2","2.2","1.1","15.5%"
"69","Joshua Dobbs (NE)","7","10","70.0","65","6.5","0","0","0","10","-5","0","0","4","2.1","0.5","0.6%"
"70","Brandon Allen (TEN)","17","30","56.7","72","2.4","0","1","1","0","0","0","0","1","1.9","1.9","0.0%"
"71","Zach Wilson (MIA)","6","11","54.5","32","2.9","0","0","0","3","1","0","0","4","1.4","0.4","0.7%"
"72","Gardner Minshew II (KC)","6","13","46.2","37","2.8","0","1","0","6","2","0","0","4","0.7","0.2","3.4%"
"73","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","2","4","0","0","12","0.4","0.0","0.0%"
"74","Malik Cunningham (DET)","0","0","0","0","0","0","0","0","1","1","0","0","1","0.1","0.1","1.1%"
"74","Drew Lock (SEA)","2","3","66.7","15","5.0","0","0","0","6","-5","0","0","5","0.1","0.0","0.9%"
"76","Stetson Bennett IV (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"76","Will Grier (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"76","Logan Woodside (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"76","Brett Rypien (CIN)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.0%"
"80","Adrian Martinez (SF)","0","0","0","0","0","0","0","0","1","-1","0","0","1","-0.1","-0.1","0.0%"
"80","Kedon Slovis (ARI)","1","2","50.0","-2","-1.0","0","0","0","0","0","0","0","2","-0.1","-0.1","0.0%"
"80","Nick Mullens (JAC)","3","3","100.0","19","6.3","0","0","0","12","-8","0","0","5","-0.1","0.0","1.0%"
"80","Jarrett Stidham (DEN)","0","0","0","0","0","0","0","0","1","-1","0","0","1","-0.1","-0.1","2.4%"
"84","Kyle Allen (DET)","0","2","0.0","0","0.0","0","0","0","3","-3","0","0","4","-0.3","-0.1","0.7%"
"85","Jimmy Garoppolo (LAR)","0","0","0","0","0","0","0","0","9","-10","0","0","5","-1.0","-0.2","0.8%"
"86","Jalen Milroe (SEA)","0","0","0","0","0","0","0","0","3","4","0","1","4","-1.6","-0.4","7.0%"
""
""
