"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"199","Mike Thomas (LAR)","5","0.9","2","14","7.0","0","0","0","0","0","0","16","3.4","0.2","0.0%"
"201","Cody Hollister (TEN)","2","0.5","2","13","6.5","0","0","0","0","0","0","5","3.3","0.7","0.0%"
"202","Rashard Davis (TEN)","1","0.2","1","16","16.0","0","0","0","0","0","0","1","2.6","2.6","0.0%"
"203","Jeff Smith (NYJ)","2","0.4","1","12","12.0","0","0","0","0","0","0","1","2.2","2.2","0.0%"
"204","John Ursua (SEA)","1","0.2","1","11","11.0","0","0","0","0","0","0","3","2.1","0.7","0.0%"
"204","De'Anthony Thomas (BAL)","2","0.4","1","6","6.0","0","0","2","5","0","0","14","2.1","0.2","0.0%"
"206","Austin Carr (NO)","4","0.8","1","9","9.0","0","0","0","0","0","0","7","1.9","0.3","0.0%"
"207","Dwayne Harris (OAK)","1","0.2","1","7","7.0","0","0","0","0","0","0","3","1.7","0.6","2.0%"
"208","Jaleel Scott (BAL)","3","0.7","1","6","6.0","0","0","0","0","0","0","3","1.6","0.5","0.0%"
"209","Krishawn Hogan (NO)","1","0.2","1","4","4.0","0","0","0","0","0","0","8","1.4","0.2","0.0%"
"210","Cyril Grayson Jr. (TB)","1","0.2","1","3","3.0","0","0","0","0","0","0","2","1.3","0.7","0.0%"
"211","John Franklin III (TB)","0","0","0","0","0","0","0","1","11","0","0","1","1.1","1.1","0.0%"
"212","J.J. Jones (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Max McCaffrey (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Mose Frazier (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Alonzo Russell (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Charone Peake (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Keenan Reynolds (SEA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Leonte Carroo (MIA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Jaydon Mickens (TB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Josh Doctson (MIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Jehu Chesson (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Noah Brown (DAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"212","Keon Hatcher (OAK)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Gehrig Dieter (KC)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"212","Josh Malone (NYJ)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"212","Taywan Taylor (CLE)","1","0.2","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"212","Andy Jones (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Corey Coleman (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Chad Williams (IND)","1","0.2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Kaelin Clay (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Ty Montgomery II (NYJ)","17","3.4","13","90","6.9","1","0","32","103","0","0","16","0.0","0.0","0.0%"
"212","Rashad Greene (JAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Bradley Marquez (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Eli Rogers (PIT)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Tony Jones (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Davion Davis (MIN)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"212","Travis Fulgham (DET)","3","0.6","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"212","Juwann Winfree (DEN)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"212","Lil'Jordan Humphrey (NO)","1","0.2","0","0","0","0","0","0","0","0","0","5","0.0","0.0","1.1%"
"212","Gary Jennings Jr. (MIA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Cam Phillips (BUF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Janarion Grant (BAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Tom Kennedy (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"212","Trenton Irwin (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Spencer Schnell (TB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Jalen Guyton (LAC)","2","0.3","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"212","Nsimba Webster (LAR)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"212","Victor Bolden Jr. (BUF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Deante Burton (DAL)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","1.0%"
"212","Lance Lenoir Jr. (DAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Riley McCarron (NE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Justin Hardee Sr. (NO)","1","0.2","0","0","0","0","0","0","0","0","0","16","0.0","0.0","1.0%"
"212","JoJo Natson (LAR)","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"212","Marcus Kemp (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Keith Kirkwood (NO)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Saeed Blacknall (OAK)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Rico Gafford (OAK)","2","0","2","66","33.0","1","1","0","0","0","0","4","0.0","0.0","0.0%"
"212","Equanimeous St. Brown (GB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","J'Mon Moore (GB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Daurice Fountain (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Jester Weah (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
