"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Sam LaPorta (DET)","120","21.2","86","889","10.3","8","10","1","4","0","0","17","239.3","14.1","95.1%"
"2","Evan Engram (JAC)","143","23.6","114","963","8.4","9","4","0","0","0","2","17","230.3","13.5","17.5%"
"3","Travis Kelce (KC)","121","20.3","93","984","10.6","12","5","0","0","0","1","15","219.4","14.6","91.9%"
"4","T.J. Hockenson (MIN)","127","21.1","95","960","10.1","13","5","0","0","0","1","15","219.0","14.6","61.2%"
"5","George Kittle (SF)","90","18.9","65","1,020","15.7","18","6","1","2","0","0","16","203.2","12.7","92.0%"
"6","David Njoku (CLE)","123","20.5","81","882","10.9","12","6","0","0","0","2","16","201.2","12.6","30.6%"
"7","Trey McBride (ARI)","106","19.8","81","825","10.2","9","3","0","0","0","0","17","181.5","10.7","99.1%"
"8","Cole Kmet (CHI)","90","18.9","73","719","9.8","9","6","3","2","0","0","17","181.1","10.7","11.6%"
"9","Jake Ferguson (DAL)","102","17.1","71","761","10.7","8","5","0","0","0","0","17","177.1","10.4","90.6%"
"10","Dalton Schultz (HOU)","88","15.4","59","635","10.8","7","5","0","0","0","1","15","150.5","10.0","36.1%"
"11","Dalton Kincaid (BUF)","91","16.9","73","673","9.2","5","2","0","0","0","1","16","150.3","9.4","74.4%"
"12","Taysom Hill (NO)","40","7","33","291","8.8","2","2","81","401","4","1","16","143.5","9.0","0.8%"
"13","Kyle Pitts Sr. (ATL)","90","18","53","667","12.6","7","3","1","-4","0","0","17","137.3","8.1","96.0%"
"14","Dallas Goedert (PHI)","83","15.8","59","592","10.0","6","3","1","1","0","0","14","136.3","9.7","89.9%"
"15","Mark Andrews (BAL)","61","13","45","544","12.1","8","6","1","0","0","0","10","135.4","13.5","85.5%"
"16","Logan Thomas (WAS)","78","12.9","55","496","9.0","3","4","1","2","0","2","16","126.8","7.9","0.0%"
"17","Jonnu Smith (ATL)","70","14","50","582","11.6","4","3","1","0","0","1","17","124.2","7.3","5.9%"
"18","Tyler Conklin (NYJ)","87","15.5","61","621","10.2","7","0","1","0","0","0","17","123.1","7.2","0.8%"
"19","Hunter Henry (NE)","61","11.4","42","419","10.0","2","6","0","0","0","0","14","119.9","8.6","64.6%"
"20","Cade Otton (TB)","67","12.1","47","455","9.7","6","4","0","0","0","1","17","116.5","6.9","25.2%"
"21","Chig Okonkwo (TEN)","77","16.1","54","528","9.8","6","1","2","6","0","0","17","113.4","6.7","38.5%"
"22","Darren Waller (NYG)","74","15.1","52","552","10.6","8","1","0","0","0","0","12","113.2","9.4","4.1%"
"23","Gerald Everett (LAC)","70","11.5","51","411","8.1","4","3","3","10","0","0","15","111.1","7.4","1.4%"
"24","Tyler Higbee (LAR)","70","12.5","47","495","10.5","6","2","0","0","0","0","15","108.5","7.2","5.2%"
"25","Isaiah Likely (BAL)","40","8.3","30","411","13.7","6","5","0","0","0","0","17","101.1","5.9","85.5%"
"26","Juwan Johnson (NO)","59","10.1","37","368","9.9","7","4","0","0","0","0","13","97.8","7.5","52.3%"
"27","Tanner Hudson (CIN)","50","8.3","39","352","9.0","3","1","0","0","0","0","12","80.2","6.7","1.2%"
"28","Donald Parham Jr. (LAC)","41","6.7","27","285","10.6","2","4","0","0","0","0","14","79.5","5.7","1.0%"
"29","Tucker Kraft (GB)","40","7.3","31","355","11.5","5","2","0","0","0","0","17","78.5","4.6","93.4%"
"30","Pat Freiermuth (PIT)","47","9.5","32","308","9.6","3","2","0","0","0","0","12","76.8","6.4","23.9%"
"31","Luke Musgrave (GB)","46","8.1","34","352","10.4","5","1","0","0","0","0","11","75.2","6.8","7.8%"
"32","Noah Fant (SEA)","43","7.8","32","414","12.9","7","0","0","0","0","0","17","73.4","4.3","3.6%"
"33","Kylen Granson (IND)","50","9","30","368","12.3","5","1","1","2","0","0","15","73.0","4.9","1.2%"
"34","Durham Smythe (MIA)","43","7.5","35","366","10.5","3","0","0","0","0","0","13","71.6","5.5","0.6%"
"35","Michael Mayer (LV)","40","7.6","27","304","11.3","2","2","0","0","0","0","14","71.4","5.1","14.9%"
"36","Noah Gray (KC)","41","6.8","28","305","10.9","4","2","1","1","0","0","17","70.6","4.2","6.3%"
"37","Mike Gesicki (NE)","45","8.7","29","244","8.4","0","2","0","0","0","0","15","65.4","4.4","17.7%"
"38","Colby Parkinson (SEA)","34","6.2","25","247","9.9","5","2","0","0","0","0","15","61.7","4.1","23.2%"
"39","Adam Trautman (DEN)","35","7","22","204","9.3","2","3","0","0","0","0","17","60.4","3.6","0.6%"
"39","Tommy Tremble (CAR)","32","6.3","23","194","8.4","2","3","0","0","0","0","16","60.4","3.8","1.8%"
"41","Dawson Knox (BUF)","36","6.8","22","186","8.5","0","2","0","0","0","0","12","54.6","4.6","10.4%"
"42","Josh Oliver (MIN)","28","4.5","22","213","9.7","3","2","0","0","0","1","17","53.3","3.1","1.2%"
"43","Zach Ertz (ARI)","43","8","27","187","6.9","0","1","0","0","0","0","7","51.7","7.4","3.8%"
"44","Brevin Jordan (HOU)","21","3.9","17","219","12.9","3","2","0","0","0","0","13","50.9","3.9","0.6%"
"45","Daniel Bellinger (NYG)","28","5.6","25","255","10.2","4","0","0","0","0","0","17","50.5","3.0","4.5%"
"46","Drew Sample (CIN)","27","4.7","22","163","7.4","1","2","0","0","0","0","17","50.3","3.0","0.6%"
"47","Mo Alie-Cox (IND)","22","4.1","13","161","12.4","2","3","0","0","0","0","17","49.1","2.9","0.6%"
"48","Austin Hooper (LV)","31","6.1","25","234","9.4","2","0","0","0","0","0","16","48.4","3.0","1.9%"
"49","Foster Moreau (NO)","25","4.3","21","193","9.2","1","1","0","0","0","0","15","46.3","3.1","0.7%"
"50","Hayden Hurst (CAR)","32","6.1","18","184","10.2","1","1","0","0","0","0","10","42.4","4.2","1.3%"
"51","Will Dissly (SEA)","22","4.1","17","172","10.1","2","1","0","0","0","0","13","40.2","3.1","0.6%"
"51","Johnny Mundt (MIN)","23","4","17","172","10.1","2","1","0","0","0","0","11","40.2","3.7","0.1%"
"53","Connor Heyward (PIT)","34","6.8","23","167","7.3","0","0","1","0","0","0","17","39.7","2.3","0.2%"
"54","Andrew Beck (HOU)","13","2.6","11","55","5.0","1","2","5","3","1","1","13","38.8","3.0","0.2%"
"55","Will Mallory (IND)","26","4.8","18","207","11.5","1","0","0","0","0","0","12","38.7","3.2","1.0%"
"56","Harrison Bryant (CLE)","20","3.5","13","81","6.2","1","3","5","8","0","1","15","37.9","2.5","0.0%"
