"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Ja'Marr Chase (CIN)","175","28.2","127","1,708","13.4","19","17","3","32","0","0","17","403.0","23.7","99.3%"
"2","Justin Jefferson (MIN)","154","29.5","103","1,533","14.9","28","10","1","3","0","0","17","317.5","18.7","99.0%"
"3","Amon-Ra St. Brown (DET)","141","27","115","1,263","11.0","14","12","2","6","0","1","17","316.2","18.6","99.2%"
"4","Brian Thomas Jr. (JAC)","133","25.5","87","1,282","14.7","18","10","6","48","0","0","17","284.0","16.7","90.5%"
"5","Drake London (ATL)","158","29.5","100","1,271","12.7","12","9","1","-3","0","0","17","280.8","16.5","99.0%"
"6","Malik Nabers (NYG)","170","30.4","109","1,204","11.0","16","7","5","2","0","0","15","273.6","18.2","98.9%"
"7","Terry McLaurin (WAS)","117","23.4","82","1,096","13.4","12","13","2","2","0","1","17","267.8","15.8","94.9%"
"8","CeeDee Lamb (DAL)","152","24.4","101","1,194","11.8","16","6","14","70","0","1","15","263.4","17.6","99.1%"
"9","Jaxon Smith-Njigba (SEA)","137","24.1","100","1,130","11.3","14","6","5","26","0","0","17","253.0","14.9","99.4%"
"10","Garrett Wilson (NYJ)","154","26.2","101","1,104","10.9","16","7","2","5","0","2","17","251.9","14.8","97.2%"
"11","Davante Adams (NYJ)","141","23.8","85","1,063","12.5","16","8","0","0","0","0","14","241.3","17.2","97.1%"
"12","Jerry Jeudy (CLE)","145","22.8","90","1,229","13.7","13","4","0","0","0","0","17","240.9","14.2","41.1%"
"12","Ladd McConkey (LAC)","112","22.7","82","1,149","14.0","15","7","0","0","0","0","16","240.9","15.1","96.5%"
"14","Mike Evans (TB)","110","19.6","74","1,004","13.6","15","11","0","0","0","0","14","240.4","17.2","93.4%"
"15","Courtland Sutton (DEN)","135","24.4","81","1,081","13.3","17","8","0","0","0","1","17","240.3","14.1","91.9%"
"16","DJ Moore (CHI)","140","26.3","98","966","9.9","11","6","14","75","0","1","17","238.1","14.0","94.5%"
"17","Tee Higgins (CIN)","109","17.5","73","911","12.5","12","10","0","0","0","1","12","222.1","18.5","97.5%"
"18","Tyreek Hill (MIA)","123","21.8","81","959","11.8","13","6","8","53","0","0","17","218.2","12.8","44.0%"
"19","Jakobi Meyers (LV)","129","21.7","87","1,027","11.8","16","4","2","23","0","0","15","218.0","14.5","86.7%"
"20","A.J. Brown (PHI)","97","23.3","67","1,079","16.1","17","7","0","0","0","0","13","216.9","16.7","98.6%"
"21","Jordan Addison (MIN)","99","19.1","63","875","13.9","13","9","3","20","1","0","15","212.5","14.2","85.8%"
"22","Jameson Williams (DET)","91","17.4","58","1,001","17.3","17","7","11","61","1","0","15","212.2","14.1","95.1%"
"23","Nico Collins (HOU)","99","18","68","1,006","14.8","14","7","0","0","0","0","12","210.6","17.6","99.3%"
"24","Jauan Jennings (SF)","113","22.1","77","975","12.7","12","6","0","0","0","0","15","210.5","14.0","41.0%"
"25","Zay Flowers (BAL)","116","25.3","74","1,059","14.3","19","4","9","56","0","0","17","209.5","12.3","97.1%"
"26","Puka Nacua (LAR)","106","19.7","79","990","12.5","11","3","11","46","1","0","11","206.6","18.8","99.5%"
"27","DeVonta Smith (PHI)","89","21.3","68","833","12.3","14","8","1","1","0","0","13","199.4","15.3","98.0%"
"28","Calvin Ridley (TEN)","120","24","64","1,017","15.9","19","4","8","55","1","1","17","199.2","11.7","33.0%"
"29","Jayden Reed (GB)","75","16.1","55","857","15.6","15","6","20","163","1","1","17","197.0","11.6","79.0%"
"30","Marvin Harrison Jr. (ARI)","116","21.9","62","885","14.3","14","8","0","0","0","1","17","196.5","11.6","91.7%"
"31","Darnell Mooney (ATL)","106","19.7","64","992","15.5","21","5","0","0","0","0","16","193.2","12.1","21.0%"
"32","DK Metcalf (SEA)","108","19","66","992","15.0","20","5","0","0","0","2","15","191.2","12.7","92.4%"
"33","Xavier Worthy (KC)","98","17.3","59","638","10.8","4","6","20","104","3","0","17","187.2","11.0","81.7%"
"34","Keenan Allen (CHI)","121","22.8","70","744","10.6","9","7","0","0","0","0","15","185.4","12.4","12.2%"
"35","Josh Downs (IND)","107","21.4","72","803","11.2","10","5","1","12","0","0","14","183.5","13.1","79.8%"
"36","Wan'Dale Robinson (NYG)","140","25.2","93","699","7.5","4","3","3","18","0","0","17","182.7","10.7","82.2%"
"37","Khalil Shakir (BUF)","100","20","76","821","10.8","9","4","2","4","0","0","15","182.5","12.2","70.1%"
"38","Cooper Kupp (LAR)","100","18.6","67","710","10.6","10","6","2","10","0","0","12","175.0","14.6","19.9%"
"39","Quentin Johnston (LAC)","91","18.4","55","711","12.9","12","8","3","6","0","0","15","174.7","11.6","78.8%"
"40","Rashod Bateman (BAL)","72","16.1","45","756","16.8","11","9","0","0","0","0","17","174.6","10.3","12.3%"
